ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00001.jpeg.json,341.862361907959,132.92580032348633,424.934024810791,240.92142868041992
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00002.jpeg.json,343.0867118835449,127.97461318969727,428.6227912902832,225.87835311889648
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00003.jpeg.json,343.91265869140625,131.36573791503906,424.3423156738281,233.1620635986328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00004.jpeg.json,340.31259536743164,142.02904510498047,418.09426498413086,242.05481719970703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00005.jpeg.json,338.03086853027344,145.57229614257812,417.18421936035156,245.1929931640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00006.jpeg.json,344.6556587219238,129.20389938354492,428.9942741394043,228.41276931762695
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00007.jpeg.json,346.21994400024414,136.06980514526367,422.78420639038086,239.99895095825195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00008.jpeg.json,340.4729194641113,133.5626106262207,425.12910079956055,232.16233444213867
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00009.jpeg.json,342.5246162414551,136.9841079711914,425.3531303405762,240.40032196044922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00010.jpeg.json,336.47264862060547,143.50039291381836,423.72754669189453,247.84534072875977
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00011.jpeg.json,341.16677474975586,129.16730880737305,428.3789710998535,240.38002395629883
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00012.jpeg.json,333.39351654052734,137.1609764099121,424.96704864501953,246.43738174438477
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00013.jpeg.json,341.14476013183594,124.62478256225586,426.7818145751953,240.61212539672852
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00014.jpeg.json,338.218994140625,130.55582809448242,422.3929443359375,247.93376541137695
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00015.jpeg.json,344.4135932922363,119.39923858642578,432.9647026062012,234.06841278076172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00016.jpeg.json,346.73384857177734,119.49422836303711,429.6093215942383,230.78125381469727
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00017.jpeg.json,341.3930549621582,139.04455184936523,424.12360763549805,239.53931045532227
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00018.jpeg.json,339.90954208374023,139.89505767822266,419.3103675842285,239.16545867919922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00019.jpeg.json,333.45387268066406,145.2067527770996,414.39857482910156,244.01361465454102
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00020.jpeg.json,343.26348876953125,128.54100036621094,423.2536926269531,229.6098175048828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00021.jpeg.json,342.137508392334,146.2133445739746,416.0382423400879,241.98508071899414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00022.jpeg.json,340.31811904907227,149.11285400390625,413.94790267944336,242.54092407226562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00023.jpeg.json,339.5925636291504,159.14826583862305,409.75585556030273,251.27553176879883
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00024.jpeg.json,341.2696533203125,153.25659942626953,412.8863830566406,246.60494232177734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00025.jpeg.json,340.5305633544922,149.2281036376953,412.8130645751953,244.0122833251953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00026.jpeg.json,345.54547119140625,146.24370193481445,416.04119873046875,237.4744987487793
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00027.jpeg.json,343.53577423095703,151.97271347045898,411.08333587646484,240.17587661743164
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00028.jpeg.json,345.89770126342773,160.26345825195312,410.33569717407227,245.22003173828125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00029.jpeg.json,347.0152339935303,160.2008934020996,408.528528213501,243.76941299438477
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00030.jpeg.json,345.9491558074951,158.6778450012207,405.16031074523926,245.9052848815918
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00031.jpeg.json,342.81176948547363,163.59317016601562,402.1210308074951,250.72030639648438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00032.jpeg.json,339.061279296875,162.90998077392578,402.5909118652344,248.13842010498047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00033.jpeg.json,344.8624382019043,152.09978485107422,410.5772590637207,234.32642364501953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00034.jpeg.json,346.06035804748535,160.83906936645508,406.457311630249,248.72574996948242
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00035.jpeg.json,342.25764083862305,149.9632797241211,409.4390754699707,237.1237564086914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00036.jpeg.json,348.9088668823242,157.98898696899414,407.2176284790039,248.17803573608398
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00037.jpeg.json,344.3875789642334,161.18059921264648,404.3599491119385,250.48279190063477
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00038.jpeg.json,339.12391662597656,158.6404800415039,406.20814514160156,245.16045379638672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00039.jpeg.json,345.44287109375,158.0025405883789,410.2044372558594,248.03459930419922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00040.jpeg.json,338.8187446594238,148.52248001098633,411.2640800476074,242.1534538269043
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00041.jpeg.json,342.8319435119629,148.5662841796875,414.302791595459,240.5238037109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00042.jpeg.json,337.2362060546875,155.78649139404297,410.5270080566406,250.90381622314453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00043.jpeg.json,340.6691207885742,146.28200912475586,414.0718460083008,248.8463478088379
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00044.jpeg.json,332.3320770263672,134.56085586547852,420.5676727294922,237.58373641967773
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00045.jpeg.json,341.867431640625,123.2865219116211,424.1704406738281,233.5246353149414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00046.jpeg.json,336.4335632324219,136.10826873779297,420.0796813964844,242.2171401977539
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00047.jpeg.json,339.50611114501953,135.115234375,423.53380584716797,246.44338989257812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00048.jpeg.json,328.1020278930664,142.81143188476562,418.9956283569336,254.2122802734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00049.jpeg.json,315.2003364562988,142.46314239501953,419.81696701049805,257.4002914428711
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00050.jpeg.json,316.0945243835449,137.0689239501953,425.2443733215332,251.0326690673828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00051.jpeg.json,332.3256530761719,128.1274757385254,437.7772216796875,253.9026756286621
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00052.jpeg.json,337.2017135620117,109.26759338378906,453.2272415161133,253.4490203857422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00053.jpeg.json,334.7531318664551,105.6829833984375,456.6417045593262,251.42279052734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00054.jpeg.json,327.05684661865234,102.56475830078125,460.5167007446289,254.5091552734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00055.jpeg.json,332.400634765625,97.50532531738281,477.22503662109375,259.03343200683594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00056.jpeg.json,318.5229721069336,85.44898986816406,486.9916763305664,262.53929138183594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00057.jpeg.json,293.2663879394531,82.97564697265625,484.7394714355469,292.99139404296875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00058.jpeg.json,281.6647186279297,52.303611755371094,491.58668518066406,294.6563491821289
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00059.jpeg.json,309.18448638916016,41.52714538574219,544.5020980834961,348.4644317626953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__11-sentando-com-casaco-na-cadeira/ann/00060.jpeg.json,287.06640625,42.64677429199219,557.0081176757812,379.6365509033203
