ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00001.jpeg.json,589.3098068237305,709.5670623779297,798.826301574707,907.3992462158203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00002.jpeg.json,591.1419830322266,707.5373687744141,800.0130462646484,913.5818939208984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00003.jpeg.json,589.3378829956055,699.7297973632812,800.2791213989258,922.5513916015625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00004.jpeg.json,591.3392639160156,707.5700759887695,799.9172668457031,919.8081588745117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00005.jpeg.json,591.6562652587891,704.4608459472656,800.5105438232422,931.8096008300781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00006.jpeg.json,594.3138198852539,710.0368499755859,799.0714950561523,915.2057647705078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00007.jpeg.json,575.6273345947266,708.1271057128906,799.5171356201172,927.7093811035156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00008.jpeg.json,594.6101760864258,708.5955581665039,798.3869552612305,923.5871810913086
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00009.jpeg.json,592.2756576538086,678.5082855224609,797.2812881469727,929.4910430908203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00010.jpeg.json,593.1736221313477,700.8640899658203,793.5686874389648,970.5093231201172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00011.jpeg.json,594.2439117431641,700.9261016845703,801.8895111083984,916.7514495849609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00012.jpeg.json,595.6186294555664,706.8712463378906,800.8821029663086,902.5757141113281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00013.jpeg.json,594.1312713623047,711.9874649047852,801.5545196533203,921.9655990600586
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00014.jpeg.json,590.6110687255859,704.1359176635742,800.6223907470703,930.0571365356445
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00015.jpeg.json,590.3873519897461,702.2989959716797,801.9467544555664,918.6961822509766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00016.jpeg.json,588.5123596191406,708.2435760498047,802.7210388183594,903.9256134033203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00017.jpeg.json,589.1013107299805,694.5111618041992,798.8174514770508,893.1582717895508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00018.jpeg.json,591.5964508056641,695.8342361450195,800.4822235107422,913.3462448120117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00019.jpeg.json,589.3213348388672,706.1705627441406,797.5055084228516,928.3173522949219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00020.jpeg.json,591.3366851806641,702.0354461669922,800.4246673583984,909.8802032470703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00021.jpeg.json,588.3328857421875,698.9580154418945,797.5499267578125,910.3278121948242
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00022.jpeg.json,588.41455078125,697.1512985229492,800.3970947265625,920.8009719848633
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00023.jpeg.json,590.2522201538086,705.3794555664062,799.2630386352539,937.7639770507812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00024.jpeg.json,590.2591934204102,705.5853652954102,801.5832138061523,914.2976303100586
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00025.jpeg.json,591.5740966796875,708.382453918457,800.405029296875,927.969596862793
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00026.jpeg.json,591.7068862915039,707.9956436157227,798.1707382202148,925.9300155639648
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__15-apoio-de-frente-escuro/ann/00027.jpeg.json,588.9789733886719,703.9900360107422,801.2578430175781,928.2382965087891
