ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00001.jpeg.json,590.7660675048828,706.447021484375,804.7401580810547,886.9613037109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00002.jpeg.json,586.9676055908203,705.3734817504883,802.6701507568359,884.4839401245117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00003.jpeg.json,590.8248138427734,708.3890151977539,801.7149200439453,880.2546615600586
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00004.jpeg.json,590.5344314575195,702.6602783203125,802.7482223510742,884.3352661132812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00005.jpeg.json,589.0838088989258,708.862434387207,801.2957077026367,884.9335250854492
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00006.jpeg.json,590.2393112182617,710.0316696166992,801.7250442504883,883.9658889770508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00007.jpeg.json,588.3573532104492,706.6247406005859,803.8661575317383,883.9365386962891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00008.jpeg.json,589.6381759643555,705.4209594726562,804.0769729614258,883.6724243164062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00009.jpeg.json,591.9117813110352,705.5708618164062,802.5782089233398,883.3305053710938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00010.jpeg.json,589.7127990722656,707.1676254272461,803.2303161621094,878.6900405883789
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00011.jpeg.json,594.7095413208008,706.0447769165039,803.894645690918,880.4952621459961
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00012.jpeg.json,587.6980514526367,708.0633087158203,801.0776443481445,880.5795745849609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00013.jpeg.json,590.390266418457,712.0050430297852,801.5043869018555,882.0869369506836
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00014.jpeg.json,588.0168838500977,707.892707824707,803.2483749389648,884.2744064331055
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00015.jpeg.json,589.0862579345703,708.0305557250977,804.2291107177734,880.6722030639648
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00016.jpeg.json,601.8860168457031,708.3540878295898,803.9163513183594,880.4020767211914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00017.jpeg.json,592.2257232666016,708.7391815185547,802.3807220458984,883.3018951416016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00018.jpeg.json,589.0607452392578,708.2824172973633,803.9515228271484,882.4963302612305
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00019.jpeg.json,589.1033706665039,704.2128829956055,803.5539779663086,884.4339065551758
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00020.jpeg.json,605.8826751708984,698.5428771972656,804.8753814697266,881.5430603027344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00021.jpeg.json,591.8469924926758,706.7870864868164,804.0101852416992,882.8787460327148
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00022.jpeg.json,589.42822265625,702.1622009277344,802.1405639648438,881.0667419433594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00023.jpeg.json,612.4321594238281,704.5687103271484,804.3194885253906,880.5054473876953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00024.jpeg.json,591.7057037353516,708.6860809326172,803.4197235107422,879.9894561767578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00025.jpeg.json,588.3427200317383,707.3637466430664,800.9440841674805,879.8214950561523
