ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00001.jpeg.json,556.4315872192383,701.5228652954102,812.2744064331055,886.7489242553711
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00002.jpeg.json,550.7122192382812,701.2454223632812,814.3544311523438,883.4111328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00003.jpeg.json,550.7608337402344,699.6184234619141,811.1740417480469,883.4461517333984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00004.jpeg.json,549.8498992919922,701.6322937011719,813.6958160400391,884.1814880371094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00005.jpeg.json,559.8028564453125,704.7368698120117,818.3906860351562,880.6213455200195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00006.jpeg.json,544.2732391357422,702.4704818725586,805.7008819580078,887.2625503540039
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00007.jpeg.json,542.4685211181641,700.0946197509766,808.5520477294922,894.6278533935547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00008.jpeg.json,538.5674591064453,699.5067672729492,821.6531219482422,892.0012893676758
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00009.jpeg.json,539.0234069824219,701.0998229980469,809.9186096191406,890.9327697753906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00010.jpeg.json,539.7227325439453,705.777702331543,816.2060394287109,885.0674514770508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00011.jpeg.json,551.1486511230469,703.0610198974609,822.7350158691406,885.6808013916016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00012.jpeg.json,551.870849609375,706.5066604614258,824.6787719726562,883.4350509643555
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00013.jpeg.json,553.7103576660156,705.1672286987305,807.5417175292969,884.0458450317383
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00014.jpeg.json,549.1288146972656,699.6262130737305,820.8694152832031,884.7251663208008
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00015.jpeg.json,549.8599700927734,696.3139572143555,813.1830596923828,886.8676223754883
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00016.jpeg.json,541.4091339111328,700.1714172363281,815.7547454833984,885.6731262207031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00017.jpeg.json,548.1436004638672,700.9747161865234,812.1100616455078,889.7927398681641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00018.jpeg.json,544.6461639404297,701.6228790283203,808.8155059814453,891.4000091552734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00019.jpeg.json,543.4266510009766,700.3395919799805,827.2219696044922,888.1762771606445
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00020.jpeg.json,542.88427734375,703.372673034668,812.8721923828125,886.4008865356445
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00021.jpeg.json,554.8724822998047,706.3720703125,806.5327911376953,881.3724365234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00022.jpeg.json,552.5280303955078,699.1778182983398,818.7530975341797,881.3951797485352
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00023.jpeg.json,564.1695404052734,704.07958984375,813.3385772705078,879.2662963867188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00024.jpeg.json,558.7005310058594,700.2881469726562,819.6459655761719,883.2243041992188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00025.jpeg.json,564.2625122070312,700.1668014526367,830.6204223632812,882.0771560668945
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00026.jpeg.json,564.1619110107422,705.9184646606445,810.7761993408203,881.463249206543
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00027.jpeg.json,562.9213714599609,705.9973068237305,812.0433502197266,883.5266189575195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00028.jpeg.json,557.4600524902344,705.4380264282227,807.3424987792969,877.7565536499023
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00029.jpeg.json,561.5519409179688,701.6770706176758,820.7815551757812,887.5112228393555
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00030.jpeg.json,549.9615936279297,702.5018997192383,817.9132232666016,881.9079513549805
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00031.jpeg.json,548.8131713867188,699.1875686645508,830.8073120117188,885.1589889526367
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00032.jpeg.json,558.6037139892578,702.6126403808594,833.4781341552734,881.1914978027344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00033.jpeg.json,536.8231201171875,701.339225769043,807.8258056640625,887.5089797973633
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00034.jpeg.json,544.2329711914062,698.0061721801758,823.2408447265625,887.054313659668
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00035.jpeg.json,530.0294952392578,704.8775253295898,817.6087493896484,884.2051773071289
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00036.jpeg.json,540.4200592041016,703.1008529663086,805.1723480224609,890.9520034790039
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00037.jpeg.json,538.1766662597656,705.4706192016602,827.5387878417969,883.7060165405273
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00038.jpeg.json,543.3891448974609,701.0370483398438,806.5701446533203,888.1803588867188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00039.jpeg.json,538.1633148193359,701.3238220214844,807.5311431884766,891.5622863769531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00040.jpeg.json,542.6324005126953,700.2825469970703,819.9274139404297,886.7026214599609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00041.jpeg.json,540.9813385009766,704.5332641601562,817.9885711669922,884.4652099609375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00042.jpeg.json,553.8833465576172,703.3995132446289,809.1479644775391,879.1053695678711
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00043.jpeg.json,530.0004730224609,702.9789962768555,806.9106597900391,889.481330871582
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00044.jpeg.json,539.6486358642578,700.220588684082,807.6523284912109,887.530143737793
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__23-sentar-e-com-dificuldade/ann/00045.jpeg.json,544.8431243896484,700.7663497924805,809.5673370361328,885.075813293457
