ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00001.jpeg.json,591.5513305664062,708.9445419311523,801.8399047851562,880.1601943969727
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00002.jpeg.json,588.2695770263672,708.2262268066406,799.7017364501953,880.3617248535156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00003.jpeg.json,584.5583114624023,708.8456039428711,800.8844985961914,890.0118789672852
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00004.jpeg.json,590.2068099975586,706.0624084472656,799.1965713500977,873.8703308105469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00005.jpeg.json,589.5551071166992,706.3753662109375,801.6643753051758,886.0933837890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00006.jpeg.json,587.9814529418945,707.7645950317383,798.0576095581055,880.2389450073242
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00007.jpeg.json,589.237190246582,707.2969436645508,798.2813034057617,875.9230270385742
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00008.jpeg.json,587.9832229614258,706.5983734130859,799.7020797729492,879.0655059814453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00009.jpeg.json,590.1992797851562,707.1254043579102,799.0526123046875,878.5802841186523
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00010.jpeg.json,590.4531097412109,708.2205810546875,799.3147125244141,890.9042358398438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00011.jpeg.json,592.0270690917969,708.765266418457,801.8731384277344,881.1563034057617
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00012.jpeg.json,590.4907989501953,706.771842956543,801.9509735107422,879.4606399536133
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00013.jpeg.json,592.2403564453125,707.8591461181641,800.0829467773438,878.5191497802734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00014.jpeg.json,588.5793838500977,707.2375640869141,800.0582504272461,879.8571014404297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00015.jpeg.json,591.8193283081055,708.4126815795898,800.9110794067383,882.2624282836914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00016.jpeg.json,589.3392028808594,707.0878219604492,800.7443542480469,877.2373123168945
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00017.jpeg.json,588.8329010009766,708.2884979248047,800.8095550537109,885.2516632080078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00018.jpeg.json,592.5142211914062,707.8226013183594,801.2334594726562,883.2489929199219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00019.jpeg.json,590.1498489379883,707.6815338134766,800.9843673706055,881.8559417724609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00020.jpeg.json,589.5514221191406,707.2025299072266,799.2445983886719,876.9421844482422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00021.jpeg.json,589.8989334106445,708.0658569335938,801.2434616088867,885.4679565429688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00022.jpeg.json,591.6734161376953,707.3526916503906,803.6523284912109,883.0269470214844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00023.jpeg.json,589.9547882080078,707.4005126953125,798.2565155029297,878.5911865234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00024.jpeg.json,589.8951110839844,707.368408203125,799.1733093261719,885.5050659179688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00025.jpeg.json,591.7008438110352,708.5654373168945,802.7944564819336,880.8608322143555
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00026.jpeg.json,589.3287353515625,707.8363800048828,801.4172973632812,878.7760467529297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00027.jpeg.json,590.7058258056641,707.5849761962891,801.1519012451172,879.2969207763672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00028.jpeg.json,588.739372253418,706.573616027832,799.4489212036133,878.029411315918
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00029.jpeg.json,590.2391204833984,706.9327163696289,802.6316070556641,877.2961044311523
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__27-polichinelo/ann/00030.jpeg.json,587.9221038818359,704.8918914794922,799.3514556884766,878.8065948486328
