ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00001.jpeg.json,585.9537582397461,705.7840118408203,797.9692153930664,873.8065643310547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00002.jpeg.json,587.3730850219727,705.2719955444336,799.2155990600586,881.3859024047852
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00003.jpeg.json,587.6085357666016,705.2606048583984,798.3820648193359,879.8396148681641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00004.jpeg.json,588.3190689086914,705.663703918457,797.8392562866211,880.524284362793
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00005.jpeg.json,587.0126419067383,705.5433807373047,798.385124206543,876.3589630126953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00006.jpeg.json,586.3282012939453,705.5609359741211,797.9832000732422,880.3837661743164
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00007.jpeg.json,588.4518508911133,704.800407409668,796.9366989135742,873.4570388793945
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00008.jpeg.json,587.7451629638672,705.2037734985352,797.3181915283203,884.1232528686523
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00009.jpeg.json,585.0022888183594,704.8889617919922,798.1380310058594,877.6790313720703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00010.jpeg.json,585.3013076782227,706.0943756103516,797.6179428100586,879.0416107177734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00011.jpeg.json,580.4857711791992,705.8067626953125,798.040657043457,878.1524047851562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00012.jpeg.json,585.40771484375,705.4991760253906,799.2127075195312,875.4426574707031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00013.jpeg.json,586.0280609130859,705.3151245117188,799.3544464111328,879.6640014648438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00014.jpeg.json,586.559211730957,704.8954315185547,798.6288986206055,878.4323272705078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00015.jpeg.json,586.8264770507812,704.9794769287109,798.4365234375,875.2367706298828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00016.jpeg.json,586.9555587768555,705.0564193725586,799.4904251098633,879.9570083618164
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00017.jpeg.json,587.3433837890625,705.7519073486328,799.3933715820312,877.9779510498047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00018.jpeg.json,588.0631713867188,705.0867919921875,799.1949462890625,883.4154663085938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00019.jpeg.json,585.7808303833008,705.529411315918,798.6045455932617,877.9279861450195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00020.jpeg.json,588.5543365478516,704.8153228759766,799.3623504638672,880.9093475341797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00021.jpeg.json,587.4596252441406,705.6198806762695,798.2204895019531,880.815788269043
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00022.jpeg.json,587.467414855957,705.08984375,799.0950241088867,880.9686279296875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00023.jpeg.json,585.4884719848633,705.6737060546875,799.4115524291992,878.4940185546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00024.jpeg.json,586.3183212280273,704.7559127807617,798.5412368774414,880.802131652832
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00025.jpeg.json,588.4154891967773,706.0457229614258,799.6608047485352,884.4131393432617
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00026.jpeg.json,591.330940246582,706.0931243896484,799.0092697143555,877.6012725830078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00027.jpeg.json,588.3678665161133,705.3590087890625,799.278923034668,884.412841796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00028.jpeg.json,590.431396484375,706.1957397460938,798.4227294921875,878.0571899414062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00029.jpeg.json,586.9010162353516,706.117919921875,799.1835784912109,883.5901489257812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__34-toalha-na-cabeca/ann/00030.jpeg.json,591.6757888793945,704.4164123535156,799.3581466674805,877.4382019042969
