ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00001.jpeg.json,492.67472076416016,691.1475601196289,619.6011581420898,896.3225326538086
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00002.jpeg.json,482.13346099853516,654.8065795898438,619.9210433959961,887.2506103515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00003.jpeg.json,483.58333587646484,660.1417236328125,620.6885757446289,894.933349609375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00004.jpeg.json,481.7401809692383,653.7426528930664,619.4030685424805,892.3821029663086
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00005.jpeg.json,484.19300842285156,663.0480728149414,617.7872772216797,893.3687973022461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00006.jpeg.json,479.02405548095703,657.1260299682617,613.7820358276367,892.902961730957
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00007.jpeg.json,486.1330871582031,697.3172988891602,618.1300964355469,895.1832504272461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00008.jpeg.json,495.2739715576172,683.3325576782227,627.0896148681641,892.8992538452148
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00009.jpeg.json,479.84964752197266,639.4715728759766,635.0027084350586,894.3027191162109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00010.jpeg.json,479.4210433959961,644.250846862793,633.4765396118164,895.1328201293945
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00011.jpeg.json,479.67659759521484,640.4737014770508,626.3440933227539,892.5736618041992
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00012.jpeg.json,480.3714065551758,640.8572158813477,632.6711349487305,892.2182235717773
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00013.jpeg.json,478.0404739379883,641.3057327270508,634.5341720581055,896.7512130737305
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00014.jpeg.json,480.9797058105469,642.8280410766602,637.0858459472656,890.0760726928711
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00015.jpeg.json,480.4542236328125,644.9770736694336,629.054443359375,894.4056777954102
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00016.jpeg.json,480.9097137451172,647.3347091674805,621.3118438720703,893.5876541137695
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00017.jpeg.json,474.51915740966797,645.5957489013672,617.7118606567383,895.8106842041016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00018.jpeg.json,489.97450256347656,693.8482818603516,612.2659759521484,895.3442230224609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00019.jpeg.json,497.7366638183594,705.756233215332,610.1549377441406,894.5996017456055
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00020.jpeg.json,501.8285026550293,716.6227340698242,613.0732307434082,893.1362380981445
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00021.jpeg.json,486.33687591552734,681.8889923095703,612.6320571899414,894.5513153076172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00022.jpeg.json,495.74005126953125,695.1390380859375,612.4096069335938,895.1240844726562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00023.jpeg.json,496.32970809936523,702.8286209106445,611.512393951416,893.9570236206055
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00024.jpeg.json,490.2069778442383,682.5362167358398,617.748649597168,891.7202529907227
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00025.jpeg.json,480.77149200439453,659.3556137084961,616.0952072143555,894.9534072875977
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00026.jpeg.json,490.9725036621094,693.1701049804688,612.9220886230469,897.5778198242188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00027.jpeg.json,495.52389907836914,704.5536651611328,616.6653099060059,896.2880096435547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00028.jpeg.json,500.1941452026367,693.6208343505859,619.2697830200195,893.0020904541016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00029.jpeg.json,485.2742385864258,677.8275375366211,618.9938888549805,893.5547256469727
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00030.jpeg.json,490.7421646118164,702.4795532226562,610.0500717163086,897.5012817382812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00031.jpeg.json,498.25959396362305,711.2084579467773,611.0104866027832,896.9042739868164
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00032.jpeg.json,495.14090728759766,691.931282043457,613.6306381225586,895.0220260620117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00033.jpeg.json,494.0740165710449,697.2681579589844,611.3322944641113,895.6483459472656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00034.jpeg.json,496.57373046875,702.1443099975586,612.3209838867188,896.3013687133789
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00035.jpeg.json,495.54260635375977,700.0199584960938,612.531551361084,896.4376831054688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00036.jpeg.json,502.42343521118164,705.7947006225586,610.0695457458496,894.2148208618164
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00037.jpeg.json,491.04619216918945,682.612678527832,610.4699211120605,894.0671310424805
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00038.jpeg.json,490.6398620605469,690.7704010009766,608.7270202636719,894.6121673583984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00039.jpeg.json,493.09178161621094,690.0183944702148,611.2099151611328,897.0138320922852
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00040.jpeg.json,500.8785209655762,704.3422698974609,610.2304878234863,893.7761993408203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00041.jpeg.json,496.6304931640625,692.3094177246094,613.9322509765625,892.7507629394531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00042.jpeg.json,493.50929260253906,685.0411529541016,616.2625579833984,893.9175872802734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00043.jpeg.json,493.2735595703125,685.7490310668945,616.4965209960938,898.3766403198242
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00044.jpeg.json,484.1101837158203,649.0673522949219,615.6904144287109,890.2770080566406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00045.jpeg.json,489.2827911376953,660.7078475952148,619.6807708740234,898.8403701782227
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__9-caindo-de-barriga/ann/00046.jpeg.json,487.2250061035156,653.3775329589844,622.5202941894531,897.4281921386719
