ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__13-teste-da-camisa-de-botoes/ann/00001.jpeg.json,996.1082916259766,418.62892150878906,1467.163314819336,792.2630462646484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__13-teste-da-camisa-de-botoes/ann/00002.jpeg.json,988.2903747558594,461.1112060546875,1469.2298889160156,793.4112548828125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__13-teste-da-camisa-de-botoes/ann/00003.jpeg.json,999.4933013916016,474.90614318847656,1337.039535522461,890.9864349365234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__13-teste-da-camisa-de-botoes/ann/00004.jpeg.json,961.0597076416016,400.47271728515625,1292.511703491211,849.9032592773438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__13-teste-da-camisa-de-botoes/ann/00005.jpeg.json,968.0705108642578,434.1519012451172,1307.2349090576172,821.7556915283203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__13-teste-da-camisa-de-botoes/ann/00006.jpeg.json,978.6702728271484,417.0554656982422,1372.090591430664,785.9927520751953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__13-teste-da-camisa-de-botoes/ann/00007.jpeg.json,952.7892456054688,442.19981384277344,1302.4046020507812,853.6864166259766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__13-teste-da-camisa-de-botoes/ann/00008.jpeg.json,969.6716003417969,429.40086364746094,1244.9405822753906,873.5833892822266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__13-teste-da-camisa-de-botoes/ann/00009.jpeg.json,985.8537292480469,473.5685577392578,1431.1301574707031,815.2397918701172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__13-teste-da-camisa-de-botoes/ann/00010.jpeg.json,969.3431396484375,418.98521423339844,1225.3470458984375,862.8343658447266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__13-teste-da-camisa-de-botoes/ann/00011.jpeg.json,982.0692901611328,443.1565856933594,1229.7988739013672,900.5360412597656
