ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00001.jpeg.json,996.8939208984375,428.6137390136719,1370.53955078125,853.7778625488281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00002.jpeg.json,1019.2750091552734,438.0283966064453,1406.0077056884766,850.7872772216797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00003.jpeg.json,985.8792266845703,439.8447570800781,1403.5526580810547,710.5219421386719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00004.jpeg.json,996.6464233398438,436.5226745605469,1384.4655151367188,840.5085754394531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00005.jpeg.json,987.8048095703125,448.6012878417969,1426.6658935546875,739.3645324707031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00006.jpeg.json,1012.9213714599609,428.1186828613281,1369.625015258789,847.0800476074219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00007.jpeg.json,997.9943237304688,425.3179931640625,1400.0498657226562,717.7740478515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00008.jpeg.json,1004.2248229980469,429.4204864501953,1393.9330139160156,838.8650360107422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00009.jpeg.json,997.0602874755859,417.02532958984375,1392.309585571289,711.2080688476562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00010.jpeg.json,998.7618560791016,412.249755859375,1384.070541381836,826.602783203125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00011.jpeg.json,980.0510406494141,438.46484375,1434.477035522461,738.4979248046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00012.jpeg.json,1002.4522857666016,425.44154357910156,1404.857162475586,863.0639495849609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00013.jpeg.json,1023.8010864257812,448.58143615722656,1401.0635375976562,849.7112884521484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00014.jpeg.json,1025.690933227539,435.85450744628906,1413.559799194336,829.5190277099609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00015.jpeg.json,992.8540496826172,407.6226501464844,1402.7993927001953,716.7407531738281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00016.jpeg.json,991.2152557373047,418.0027160644531,1395.4551544189453,806.9096374511719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00017.jpeg.json,1027.3733215332031,449.5373077392578,1426.9687194824219,852.5203094482422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00018.jpeg.json,994.7150726318359,419.4813690185547,1364.505142211914,794.9752960205078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00019.jpeg.json,1006.1614227294922,435.67393493652344,1387.3225860595703,849.0997467041016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00020.jpeg.json,990.2287445068359,415.1183166503906,1412.742935180664,734.9649353027344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00021.jpeg.json,1006.5527801513672,433.6603088378906,1356.2862091064453,843.5325622558594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00022.jpeg.json,994.7201538085938,420.45318603515625,1349.7692260742188,846.8279418945312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__20-entrar-agachar-e-para-no-escuro/ann/00023.jpeg.json,1000.2189788818359,444.02818298339844,1403.1268463134766,840.8064117431641
