ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00001.jpeg.json,753.8937530517578,271.49839782714844,989.9579010009766,559.4997711181641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00002.jpeg.json,734.895393371582,279.40357971191406,984.1382675170898,559.3760833740234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00003.jpeg.json,755.8394165039062,275.9287567138672,982.8894958496094,557.3106842041016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00004.jpeg.json,736.727424621582,288.6390075683594,985.2614974975586,556.5870666503906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00005.jpeg.json,734.0043487548828,277.5572204589844,988.3754425048828,556.6479797363281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00006.jpeg.json,747.5176315307617,279.857177734375,990.0234146118164,560.15673828125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00007.jpeg.json,743.1427841186523,281.7641906738281,982.1253128051758,559.1468200683594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00008.jpeg.json,734.2727737426758,285.9589385986328,984.8133163452148,557.5492401123047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00009.jpeg.json,744.1338500976562,292.1984405517578,982.4273986816406,552.8788299560547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00010.jpeg.json,758.5600204467773,274.56207275390625,987.5872268676758,559.5134887695312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00011.jpeg.json,741.4963607788086,283.2527160644531,980.3037185668945,561.0393371582031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00012.jpeg.json,737.0533218383789,290.5530090332031,978.2271041870117,554.7205505371094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00013.jpeg.json,771.3579864501953,285.6445617675781,987.2368927001953,559.6242980957031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00014.jpeg.json,738.6565551757812,279.9074401855469,976.0445251464844,558.0386657714844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00015.jpeg.json,742.0523986816406,289.52880859375,978.46630859375,551.8253173828125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00016.jpeg.json,758.5384063720703,276.3507080078125,990.1264801025391,558.5755615234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00017.jpeg.json,731.7923889160156,282.4678497314453,989.6734008789062,557.0592498779297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00018.jpeg.json,751.2005157470703,276.6296691894531,983.4613800048828,559.4635925292969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00019.jpeg.json,730.8917999267578,286.284423828125,988.5558624267578,556.679443359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00020.jpeg.json,759.909065246582,284.557861328125,984.2499618530273,555.63037109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00021.jpeg.json,754.7296600341797,283.7521057128906,989.4998016357422,556.5116271972656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00022.jpeg.json,743.2635726928711,285.80517578125,983.5620803833008,556.4896240234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00023.jpeg.json,742.9744567871094,295.43174743652344,977.1779174804688,555.7345123291016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00024.jpeg.json,724.3882141113281,292.0474090576172,983.7978515625,557.2539825439453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00025.jpeg.json,724.5401916503906,286.9410095214844,985.375732421875,556.9641418457031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00026.jpeg.json,749.1082534790039,284.2991027832031,990.0585861206055,558.7304382324219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00027.jpeg.json,735.1271209716797,287.9215545654297,996.8967742919922,560.4945831298828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00028.jpeg.json,721.8203430175781,284.63377380371094,997.2411499023438,556.3154449462891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00029.jpeg.json,748.9399108886719,287.0859832763672,988.8328247070312,557.9839630126953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00030.jpeg.json,728.7153472900391,288.7422637939453,988.2304840087891,558.1598358154297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00031.jpeg.json,750.2871627807617,293.52268981933594,984.0107803344727,557.9534454345703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00032.jpeg.json,731.6773452758789,285.15687561035156,983.060417175293,552.6849822998047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00033.jpeg.json,757.5881729125977,277.86328125,995.3256149291992,558.9124145507812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00034.jpeg.json,734.6545867919922,280.421875,989.5781707763672,559.7146606445312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00035.jpeg.json,723.3443298339844,276.7006072998047,988.370361328125,557.6893463134766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00036.jpeg.json,745.427360534668,279.0263671875,988.0729751586914,553.1697387695312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00037.jpeg.json,708.3207092285156,284.98500061035156,986.2160034179688,553.4078826904297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00038.jpeg.json,751.6374282836914,278.86016845703125,991.5754318237305,558.8299560546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00039.jpeg.json,741.2949905395508,280.9589080810547,990.2398910522461,559.9928131103516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00040.jpeg.json,746.8994903564453,276.2333984375,986.3869781494141,556.6277465820312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00041.jpeg.json,744.9445495605469,281.4483947753906,979.0836181640625,557.3739929199219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00042.jpeg.json,762.1274795532227,280.7750549316406,991.999137878418,556.1307067871094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00043.jpeg.json,740.4770736694336,282.5694580078125,982.084602355957,556.2725830078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00044.jpeg.json,723.3158340454102,286.75694274902344,978.317497253418,559.3375396728516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00045.jpeg.json,741.3779754638672,292.12379455566406,980.9451751708984,559.9019622802734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00046.jpeg.json,746.6759490966797,294.3496398925781,978.8616790771484,558.6425476074219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00047.jpeg.json,741.6993637084961,271.83985900878906,974.4572830200195,558.7112884521484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00048.jpeg.json,744.2787704467773,278.0457763671875,974.7592239379883,554.6491088867188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00049.jpeg.json,754.7430648803711,287.4220886230469,998.1303787231445,554.5730895996094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00050.jpeg.json,744.5686492919922,285.5143127441406,983.5795745849609,560.2782287597656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00051.jpeg.json,732.1772384643555,276.66868591308594,979.7742080688477,562.5650177001953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00052.jpeg.json,727.4795837402344,287.5520782470703,984.9594116210938,557.3375091552734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00053.jpeg.json,756.9078826904297,288.2915344238281,979.1075897216797,560.2705993652344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00054.jpeg.json,734.3922882080078,283.14756774902344,977.7037506103516,558.5667877197266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00055.jpeg.json,737.7238082885742,289.36614990234375,973.3772964477539,556.8490600585938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00056.jpeg.json,742.7584762573242,298.3614807128906,975.8518447875977,555.2798767089844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00057.jpeg.json,749.3938598632812,295.7596740722656,991.7784118652344,562.6047058105469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00058.jpeg.json,725.5399475097656,281.8348846435547,992.510498046875,557.2738800048828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00059.jpeg.json,737.7435760498047,276.06158447265625,990.3051605224609,558.2232055664062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00060.jpeg.json,740.8365020751953,276.86572265625,986.0667266845703,554.94677734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00061.jpeg.json,734.6528091430664,285.0978240966797,982.7394332885742,557.7382354736328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00062.jpeg.json,740.7778091430664,278.94163513183594,992.9846725463867,555.0321197509766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00063.jpeg.json,740.3377380371094,279.7840881347656,994.7188110351562,556.4131774902344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__16-abdominal-no-escuro/ann/00064.jpeg.json,746.8115158081055,274.63604736328125,979.9492568969727,558.4594116210938
