ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00001.jpeg.json,718.8816223144531,279.48316955566406,991.5794982910156,574.2794036865234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00002.jpeg.json,722.7822875976562,288.63465881347656,1006.84228515625,586.6290130615234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00003.jpeg.json,721.4935302734375,279.80006408691406,1001.1709594726562,604.7613372802734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00004.jpeg.json,698.5403289794922,263.88731384277344,1002.5999908447266,575.5682525634766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00005.jpeg.json,707.1043395996094,272.73683166503906,999.0538024902344,569.7951507568359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00006.jpeg.json,706.2909240722656,277.9026641845703,1000.0117492675781,572.4059295654297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00007.jpeg.json,724.1132202148438,282.40940856933594,992.365478515625,572.6665191650391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00008.jpeg.json,733.9557952880859,291.41981506347656,1003.5971221923828,578.3166351318359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00009.jpeg.json,725.2752532958984,281.408203125,995.2621612548828,570.3197021484375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00010.jpeg.json,724.8409118652344,284.67478942871094,983.9810485839844,569.5732574462891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00011.jpeg.json,728.7512054443359,291.7523956298828,1005.2407989501953,583.8696746826172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00012.jpeg.json,727.5936279296875,272.3319854736328,995.3433227539062,581.2173309326172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00013.jpeg.json,712.5514984130859,288.704833984375,995.2285919189453,589.072021484375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__17-flexao-com-pesos-no-escuro/ann/00014.jpeg.json,715.5745239257812,275.5014343261719,995.332763671875,585.1460266113281
