ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00001.jpeg.json,754.0236053466797,303.4003448486328,970.0001678466797,563.2117156982422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00002.jpeg.json,755.135612487793,303.27272033691406,974.2966690063477,559.7123870849609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00003.jpeg.json,751.1649475097656,299.3675842285156,982.50537109375,563.5474548339844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00004.jpeg.json,748.0068893432617,298.91416931152344,974.1243667602539,561.8872222900391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00005.jpeg.json,748.1274185180664,292.7706756591797,979.0075607299805,561.4657745361328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00006.jpeg.json,737.2491912841797,287.96449279785156,970.7820281982422,562.7420501708984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00007.jpeg.json,750.5311508178711,302.8880310058594,972.4007034301758,560.6764831542969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00008.jpeg.json,754.2323684692383,301.3836212158203,978.6436386108398,563.8500213623047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00009.jpeg.json,751.5553970336914,306.78614807128906,975.7077560424805,558.3040618896484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00010.jpeg.json,761.3128890991211,303.7163391113281,981.2229690551758,558.1111145019531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00011.jpeg.json,758.5412902832031,294.63929748535156,977.50634765625,566.8137664794922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00012.jpeg.json,744.1775207519531,287.9510955810547,977.3309936523438,557.0423736572266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00013.jpeg.json,768.3536758422852,292.68475341796875,982.5098190307617,581.7821655273438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00014.jpeg.json,735.3871688842773,290.38853454589844,981.4191970825195,563.9392242431641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00015.jpeg.json,762.224853515625,305.33470153808594,983.5239562988281,562.4479522705078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00016.jpeg.json,762.3823928833008,304.9273910522461,986.4358139038086,560.8729019165039
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00017.jpeg.json,762.5658264160156,303.8200988769531,983.027587890625,560.3510437011719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00018.jpeg.json,767.6104507446289,293.41448974609375,979.1897506713867,567.9318237304688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00019.jpeg.json,743.4179916381836,291.68519592285156,973.382453918457,561.0136566162109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00020.jpeg.json,747.1319427490234,290.9613952636719,978.3370819091797,562.6764221191406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00021.jpeg.json,744.0340118408203,292.0831756591797,980.7876129150391,561.4261627197266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00022.jpeg.json,745.6127166748047,292.40277099609375,974.4166107177734,558.5632934570312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00023.jpeg.json,748.7628707885742,296.6372375488281,977.4529800415039,571.3498229980469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00024.jpeg.json,747.1208190917969,294.6661834716797,970.587890625,566.6272735595703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00025.jpeg.json,748.6555709838867,296.2030792236328,977.9057998657227,559.1896209716797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00026.jpeg.json,748.2480545043945,296.0792999267578,981.7521591186523,565.1186370849609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00027.jpeg.json,743.0304718017578,293.157958984375,974.1468048095703,562.5848999023438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00028.jpeg.json,753.8094024658203,297.0526580810547,979.2702178955078,560.5297393798828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00029.jpeg.json,752.827766418457,297.3310089111328,972.4165878295898,560.9031829833984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00030.jpeg.json,747.2435302734375,301.8548126220703,983.4497375488281,561.4928436279297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00031.jpeg.json,747.9979705810547,299.00689697265625,975.9222259521484,560.8776245117188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00032.jpeg.json,748.5922241210938,296.48358154296875,970.9819641113281,565.0732421875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00033.jpeg.json,748.6469192504883,299.8452606201172,975.3001327514648,563.3110504150391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00034.jpeg.json,748.7945785522461,301.06187438964844,974.347541809082,558.3523101806641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00035.jpeg.json,748.4149322509766,297.31944274902344,977.1485137939453,562.5805816650391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00036.jpeg.json,747.6430969238281,296.4020538330078,973.9302368164062,560.3384857177734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00037.jpeg.json,750.7281036376953,298.60675048828125,974.2156524658203,562.0501708984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00038.jpeg.json,744.4527206420898,294.96173095703125,975.9938430786133,564.0304565429688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00039.jpeg.json,752.7030181884766,288.35302734375,970.7820587158203,560.1796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00040.jpeg.json,752.1321105957031,297.9941101074219,975.2869873046875,564.7018737792969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00041.jpeg.json,744.9448471069336,293.861572265625,975.9524002075195,561.0099487304688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00042.jpeg.json,745.4570770263672,290.53546142578125,979.8737640380859,568.3353271484375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00043.jpeg.json,747.9383926391602,295.5436706542969,972.3913497924805,564.8689270019531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00044.jpeg.json,752.1508255004883,292.42723083496094,969.0511093139648,558.7175445556641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00045.jpeg.json,756.8077621459961,305.97772216796875,974.4173049926758,561.6133422851562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00046.jpeg.json,758.5525741577148,294.7440185546875,974.1568069458008,563.393310546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00047.jpeg.json,739.4069442749023,300.71412658691406,980.7734451293945,558.4636688232422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00048.jpeg.json,751.039794921875,296.48480224609375,989.9812927246094,560.8939208984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00049.jpeg.json,741.1145782470703,292.37596130371094,970.6151885986328,558.7489166259766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00050.jpeg.json,750.2373046875,301.3270568847656,976.3733825683594,564.0368347167969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00051.jpeg.json,756.0436630249023,293.9607849121094,976.3778762817383,558.0204772949219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00052.jpeg.json,753.8695373535156,297.09718322753906,979.681396484375,568.3222503662109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00053.jpeg.json,744.7055282592773,293.06365966796875,974.9799270629883,559.5016479492188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00054.jpeg.json,751.0923690795898,305.8208312988281,972.5900344848633,560.2894592285156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00055.jpeg.json,756.5157852172852,303.4511032104492,978.945915222168,559.294319152832
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00056.jpeg.json,760.1633071899414,302.44981384277344,983.5012130737305,562.0406036376953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00057.jpeg.json,772.8388595581055,298.9186248779297,975.8578262329102,564.0313262939453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00058.jpeg.json,738.7889556884766,291.0061950683594,977.5223541259766,561.2003479003906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00059.jpeg.json,746.9899215698242,289.2353820800781,977.8771133422852,561.6606140136719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00060.jpeg.json,747.3270721435547,302.3260803222656,971.9559173583984,560.8382873535156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00061.jpeg.json,759.8919982910156,297.38848876953125,971.6444702148438,562.7174682617188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00062.jpeg.json,756.1745223999023,303.4735870361328,974.955207824707,560.8069915771484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00063.jpeg.json,756.965690612793,301.8724136352539,978.0044937133789,557.7813339233398
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00064.jpeg.json,768.7778396606445,300.9538116455078,980.2100448608398,559.3765716552734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00065.jpeg.json,762.1448059082031,298.57386779785156,978.5416259765625,574.4070892333984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00066.jpeg.json,757.7548446655273,287.92405700683594,973.1301345825195,558.0588531494141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00067.jpeg.json,752.7798309326172,300.4952697753906,980.4141082763672,561.1399230957031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00068.jpeg.json,755.4719161987305,302.1885223388672,970.9482192993164,562.7185821533203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__21-andar-agachado-no-escuro/ann/00069.jpeg.json,749.5318908691406,305.12427520751953,977.6356201171875,559.2889938354492
