ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00001.jpeg.json,309.5823211669922,317.77781677246094,701.8209991455078,810.5221099853516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00002.jpeg.json,331.16265869140625,279.2476501464844,702.6314086914062,807.4575500488281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00003.jpeg.json,331.3516387939453,288.8130798339844,694.9747772216797,815.8177795410156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00004.jpeg.json,318.2545623779297,252.79049682617188,698.0584259033203,815.4129943847656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00005.jpeg.json,320.8205108642578,276.80157470703125,700.7347869873047,818.5551147460938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00006.jpeg.json,293.91539001464844,304.64666748046875,732.9057769775391,821.7931518554688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00007.jpeg.json,314.30157470703125,303.2689514160156,712.9343872070312,815.9631042480469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00008.jpeg.json,302.1372833251953,316.52801513671875,697.2714080810547,805.8869018554688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00009.jpeg.json,326.6351318359375,293.1271209716797,694.6839599609375,804.2029571533203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00010.jpeg.json,337.9664001464844,322.3007049560547,733.5001525878906,819.4348907470703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00011.jpeg.json,314.9349670410156,305.6424102783203,715.9195251464844,817.2607879638672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00012.jpeg.json,315.5235595703125,323.6148223876953,715.9735107421875,814.0597381591797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00013.jpeg.json,335.3271789550781,284.483642578125,702.2865905761719,811.0706787109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00014.jpeg.json,329.2489318847656,311.0359649658203,711.6938171386719,818.7417449951172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00015.jpeg.json,310.50714111328125,286.2127990722656,694.3645629882812,818.7787780761719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00016.jpeg.json,256.46282958984375,300.9098358154297,697.7197875976562,803.2240753173828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__24-sentar-levantar-com-dificuldade-no-escuro/ann/00017.jpeg.json,320.2936706542969,299.4363250732422,690.5653381347656,811.3330841064453
