ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00001.jpeg.json,1068.8861846923828,343.61248779296875,1393.7195281982422,873.6198120117188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00002.jpeg.json,1076.4361572265625,323.5741882324219,1392.3458251953125,880.8280334472656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00003.jpeg.json,1071.107162475586,328.5103454589844,1385.2000885009766,879.7389221191406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00004.jpeg.json,1097.8922576904297,325.1574401855469,1411.7825469970703,867.4640197753906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00005.jpeg.json,1107.6483306884766,332.6707458496094,1413.7483978271484,875.3374328613281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00006.jpeg.json,1081.1866149902344,326.8193359375,1404.0892639160156,879.197021484375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00007.jpeg.json,1119.1590881347656,325.4023742675781,1421.1208190917969,871.6888122558594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00008.jpeg.json,1077.2744903564453,308.8590087890625,1403.1683807373047,862.306640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00009.jpeg.json,1093.1007843017578,335.8856506347656,1401.2217254638672,883.0942077636719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00010.jpeg.json,1131.3691101074219,321.9740905761719,1432.2053527832031,879.2827453613281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00011.jpeg.json,1080.2923736572266,329.55133056640625,1400.167221069336,882.4826049804688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00012.jpeg.json,1119.439682006836,336.21356201171875,1417.8111724853516,900.4539184570312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00013.jpeg.json,1083.9078369140625,329.3485412597656,1391.818359375,879.4854431152344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00014.jpeg.json,1124.9628448486328,309.148193359375,1428.2522430419922,834.314697265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00015.jpeg.json,1100.4219665527344,322.5855407714844,1411.4347229003906,848.0555725097656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00016.jpeg.json,1095.7022705078125,324.5064392089844,1415.710205078125,850.8435363769531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00017.jpeg.json,1136.4681701660156,297.9786071777344,1432.7336120605469,872.9355773925781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__29-abdominal/ann/00018.jpeg.json,1092.5722045898438,306.4180603027344,1404.2627563476562,878.1826477050781
