ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00001.jpeg.json,1166.6127624511719,446.6987609863281,1342.8824768066406,636.6707458496094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00002.jpeg.json,1175.1753311157227,442.52940368652344,1327.023582458496,637.5760040283203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00003.jpeg.json,1167.414695739746,449.40271759033203,1336.7203750610352,638.3962326049805
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00004.jpeg.json,1167.7063751220703,450.92293548583984,1351.188217163086,641.4724502563477
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00005.jpeg.json,1168.068717956543,435.8221206665039,1392.2382278442383,634.2409896850586
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00006.jpeg.json,1130.6369400024414,364.9027557373047,1320.1921005249023,635.1389923095703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00007.jpeg.json,1165.7206573486328,446.89684295654297,1351.7032928466797,638.1589431762695
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00008.jpeg.json,1164.803207397461,430.94842529296875,1356.0164947509766,640.1657104492188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00009.jpeg.json,1165.009017944336,446.5613250732422,1360.6366119384766,638.7228546142578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00010.jpeg.json,1112.3336639404297,426.9787139892578,1323.1937408447266,634.6356048583984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00011.jpeg.json,1115.2692337036133,399.8390350341797,1329.0724411010742,635.0638580322266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00012.jpeg.json,1098.707130432129,435.82381439208984,1323.557273864746,637.5295791625977
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00013.jpeg.json,1110.3795623779297,402.7348403930664,1344.406509399414,634.9751815795898
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00014.jpeg.json,1095.6858825683594,428.9338912963867,1328.0401306152344,635.9377517700195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00015.jpeg.json,1110.6125793457031,401.1181106567383,1327.8487854003906,637.2553024291992
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00016.jpeg.json,1100.2137756347656,417.14623260498047,1344.6217346191406,637.1217727661133
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00017.jpeg.json,1104.9346008300781,406.7931900024414,1330.7664489746094,640.2920761108398
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00018.jpeg.json,1103.0925674438477,406.7456283569336,1319.692527770996,638.2947769165039
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00019.jpeg.json,1102.2496871948242,406.5999755859375,1328.613899230957,637.9851684570312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00020.jpeg.json,1095.9000091552734,412.93077850341797,1328.6232452392578,641.1824417114258
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00021.jpeg.json,1128.9806671142578,401.71861267089844,1371.4029998779297,638.5724029541016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00022.jpeg.json,1096.5801391601562,434.45404052734375,1352.667724609375,636.4593505859375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00023.jpeg.json,1118.1580123901367,425.2125015258789,1350.899543762207,634.8398666381836
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00024.jpeg.json,1098.300682067871,422.9794158935547,1320.668800354004,642.0928497314453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00025.jpeg.json,1105.710678100586,402.82899475097656,1323.9636993408203,636.3470916748047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00026.jpeg.json,1106.2546005249023,407.1588363647461,1323.6600723266602,642.0655288696289
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00027.jpeg.json,1104.4116592407227,402.75463104248047,1332.6120223999023,636.110725402832
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00028.jpeg.json,1099.562240600586,414.3121795654297,1319.4142608642578,639.1997833251953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00029.jpeg.json,1108.4046783447266,400.2987518310547,1320.0562591552734,637.0111846923828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__32-entrar-e-agachar/ann/00030.jpeg.json,1101.2313766479492,410.53431701660156,1325.6232986450195,640.6692962646484
