ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00001.jpeg.json,1161.3910293579102,362.52268981933594,1312.237205505371,636.6508331298828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00002.jpeg.json,1104.0418243408203,413.5888366699219,1308.9236297607422,637.3560485839844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00003.jpeg.json,1120.7758712768555,375.68406677246094,1274.8117752075195,638.2287750244141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00004.jpeg.json,1146.1346740722656,409.82713317871094,1334.5649719238281,639.4288482666016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00005.jpeg.json,1095.1083145141602,425.2704620361328,1309.092185974121,636.1902313232422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00006.jpeg.json,1128.916748046875,398.3553771972656,1311.3326416015625,633.2408752441406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00007.jpeg.json,1116.702018737793,414.8091812133789,1303.981086730957,634.9818344116211
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00008.jpeg.json,1131.3054962158203,416.70738220214844,1305.7210540771484,637.8056793212891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00009.jpeg.json,1139.8770370483398,409.6411590576172,1308.2944107055664,638.5310211181641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00010.jpeg.json,1139.4277267456055,416.7997131347656,1312.902229309082,636.8984680175781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00011.jpeg.json,1148.0117645263672,381.46656799316406,1309.2969512939453,638.2628021240234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00012.jpeg.json,1108.494758605957,415.6115188598633,1306.6622848510742,638.5983810424805
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00013.jpeg.json,1131.7101287841797,399.7487106323242,1316.2975616455078,633.363166809082
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00014.jpeg.json,1116.307746887207,411.7220993041992,1304.5475997924805,638.8056716918945
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00015.jpeg.json,1129.0826873779297,400.3951950073242,1315.2780303955078,637.8551712036133
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00016.jpeg.json,1102.4924545288086,391.78273010253906,1303.018653869629,635.9195404052734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00017.jpeg.json,1138.7197341918945,358.8361511230469,1300.8624801635742,648.3950500488281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00018.jpeg.json,1116.7589416503906,405.2508544921875,1307.5942077636719,635.135986328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00019.jpeg.json,1112.8979034423828,392.58154296875,1308.910140991211,628.8265991210938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00020.jpeg.json,1144.4759063720703,356.76988220214844,1300.7852630615234,644.7530670166016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00021.jpeg.json,1114.5472259521484,407.76918029785156,1309.723159790039,631.9169158935547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00022.jpeg.json,1097.0345916748047,386.70452880859375,1279.5727081298828,634.7056274414062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00023.jpeg.json,1111.2567825317383,415.52632904052734,1308.4479293823242,640.9814834594727
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00024.jpeg.json,1108.0954132080078,384.3513641357422,1285.9520721435547,634.1243438720703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00025.jpeg.json,1117.2229080200195,413.0725784301758,1315.0398483276367,635.6918258666992
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00026.jpeg.json,1131.5116729736328,379.5562744140625,1304.2770233154297,639.1945190429688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00027.jpeg.json,1113.2927017211914,403.6959533691406,1313.579246520996,637.2111511230469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00028.jpeg.json,1123.3839645385742,378.7070007324219,1293.1335525512695,640.3010559082031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00029.jpeg.json,1106.3976974487305,401.9352798461914,1313.6823196411133,637.1097640991211
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00030.jpeg.json,1121.7438507080078,382.5005645751953,1303.646224975586,640.3027801513672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00031.jpeg.json,1146.411476135254,403.56266021728516,1326.6403427124023,643.8604354858398
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00032.jpeg.json,1109.5675354003906,401.7541198730469,1309.0718688964844,636.9292907714844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00033.jpeg.json,1103.4980926513672,379.28015899658203,1285.7774810791016,633.2435836791992
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00034.jpeg.json,1113.6925888061523,413.0705795288086,1310.7135391235352,635.7428359985352
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00035.jpeg.json,1095.3096237182617,413.5093078613281,1299.983772277832,638.3243103027344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00036.jpeg.json,1127.5025634765625,398.56837463378906,1320.7061157226562,637.4741058349609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00037.jpeg.json,1127.8202896118164,391.2610549926758,1309.4601669311523,635.4233932495117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00038.jpeg.json,1122.3915100097656,391.9828567504883,1312.2651062011719,632.4938278198242
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00039.jpeg.json,1121.3027267456055,390.88548278808594,1309.563117980957,635.8447418212891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00040.jpeg.json,1126.249984741211,378.72886657714844,1299.3446197509766,642.4470367431641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00041.jpeg.json,1110.7310409545898,407.0036315917969,1321.8025283813477,632.0907897949219
