ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00001.jpeg.json,1111.8227081298828,407.4503173828125,1433.5928192138672,1061.793212890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00002.jpeg.json,1191.3872833251953,403.781005859375,1472.4889373779297,1072.2542724609375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00003.jpeg.json,1194.1848754882812,424.1274108886719,1470.4942016601562,1079.5138244628906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00004.jpeg.json,1134.3962707519531,445.0229797363281,1412.9242858886719,1061.6482849121094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00005.jpeg.json,1153.092529296875,491.9515686035156,1419.642822265625,1076.1050720214844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00006.jpeg.json,1172.9551544189453,491.6451110839844,1443.0195770263672,1080.4879455566406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00007.jpeg.json,1169.287094116211,435.51190185546875,1455.819107055664,1078.8029174804688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00008.jpeg.json,1106.8531036376953,441.2813720703125,1425.9287567138672,1063.372314453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00009.jpeg.json,1195.2990112304688,366.9249267578125,1502.7549438476562,1076.177734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00010.jpeg.json,1198.4744262695312,344.9877014160156,1500.5068969726562,1068.6051940917969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00011.jpeg.json,1178.633773803711,398.6228942871094,1471.522476196289,1071.5668029785156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00012.jpeg.json,1187.0389099121094,398.03973388671875,1475.0282287597656,1072.2321166992188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00013.jpeg.json,1125.7098846435547,446.1603698730469,1428.1906280517578,1064.2351379394531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00014.jpeg.json,1132.2732238769531,452.56378173828125,1444.2402038574219,1070.6885375976562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00015.jpeg.json,1058.6267852783203,474.8853454589844,1385.2452850341797,1058.9807434082031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00016.jpeg.json,1138.2840270996094,447.42279052734375,1437.2649230957031,1068.7207641601562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00017.jpeg.json,1147.1859130859375,445.97705078125,1431.2703857421875,1062.03662109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00018.jpeg.json,1140.6953887939453,451.124755859375,1433.2050018310547,1050.832275390625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00019.jpeg.json,1143.5341491699219,483.0142822265625,1431.4983215332031,1062.4306640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00020.jpeg.json,1101.523696899414,465.8005676269531,1403.199691772461,1064.8946228027344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00021.jpeg.json,1147.3150939941406,483.23846435546875,1439.6183776855469,1069.7163696289062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00022.jpeg.json,1159.23388671875,428.6646728515625,1447.194091796875,1061.7728271484375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00023.jpeg.json,1138.8678588867188,467.27728271484375,1423.7327270507812,1056.2819213867188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00024.jpeg.json,1150.7566375732422,511.0911865234375,1438.4196319580078,1077.290771484375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00025.jpeg.json,1149.8483276367188,509.16583251953125,1445.5520629882812,1075.1605834960938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00026.jpeg.json,1162.3645477294922,463.6145935058594,1465.5326690673828,1073.2423400878906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00027.jpeg.json,1129.0730438232422,449.4892272949219,1428.8081817626953,1052.4974670410156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00028.jpeg.json,1126.2916564941406,492.7911682128906,1424.2375183105469,1057.9974060058594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00029.jpeg.json,1166.6735076904297,538.2300720214844,1447.5998077392578,1078.3356018066406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00030.jpeg.json,1171.5704803466797,525.4130554199219,1454.2071075439453,1074.0711975097656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00031.jpeg.json,1156.1878814697266,537.4691467285156,1435.249496459961,1074.4833679199219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00032.jpeg.json,1161.9595642089844,514.5895080566406,1436.8233947753906,1061.1945495605469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00033.jpeg.json,1170.9342956542969,531.3000793457031,1438.9851379394531,1065.9548034667969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00034.jpeg.json,1181.1515350341797,539.2487182617188,1429.7436065673828,1067.1777954101562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00035.jpeg.json,1184.560775756836,629.8374328613281,1450.6356353759766,1078.5834655761719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00036.jpeg.json,1187.7967224121094,567.4828796386719,1426.9717102050781,1063.4645080566406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00037.jpeg.json,1189.6521911621094,701.6450347900391,1440.1539611816406,1080.580551147461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00038.jpeg.json,1190.7157592773438,720.0486450195312,1435.3046264648438,1081.2578735351562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00039.jpeg.json,1190.8604278564453,709.1903381347656,1436.2557830810547,1081.1365661621094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00040.jpeg.json,1195.3413696289062,715.3915557861328,1435.0060424804688,1076.1985321044922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00041.jpeg.json,1198.6081085205078,736.5941925048828,1435.6283416748047,1072.6995086669922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00042.jpeg.json,1200.6874542236328,772.8869476318359,1428.3613739013672,1079.761245727539
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00043.jpeg.json,1201.7961807250977,767.1851043701172,1438.5381698608398,1079.8764190673828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00044.jpeg.json,1201.9372253417969,725.6316528320312,1439.1950988769531,1089.6287231445312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00045.jpeg.json,1208.4360122680664,653.0391998291016,1443.251853942871,1079.248764038086
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00046.jpeg.json,1200.6294174194336,600.5769195556641,1438.2209243774414,1078.488998413086
