ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00001.jpeg.json,384.036376953125,563.0877838134766,773.3687744140625,986.2486419677734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00002.jpeg.json,388.2098693847656,568.3864898681641,798.2195739746094,999.5541839599609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00003.jpeg.json,408.9521484375,572.98193359375,821.205810546875,999.72119140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00004.jpeg.json,406.53294372558594,570.4681243896484,776.7199859619141,994.5819244384766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00005.jpeg.json,414.83892822265625,569.0342559814453,801.3735961914062,999.5757293701172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00006.jpeg.json,400.324462890625,569.6110382080078,786.384033203125,999.9654998779297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00007.jpeg.json,410.6919250488281,570.085205078125,794.4417419433594,995.745361328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00008.jpeg.json,403.6873474121094,562.8844757080078,777.3556213378906,1001.3458709716797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00009.jpeg.json,406.1965789794922,572.5187377929688,802.9134063720703,1006.5836791992188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00010.jpeg.json,393.4156036376953,602.6829071044922,810.2816619873047,1006.0146026611328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00011.jpeg.json,383.0888366699219,559.2499694824219,799.3789367675781,995.8751525878906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00012.jpeg.json,403.9958953857422,560.9353332519531,777.7234649658203,1000.1642761230469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00013.jpeg.json,396.47218322753906,566.1869506835938,809.4726409912109,1000.1001586914062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00014.jpeg.json,375.94410705566406,569.5645599365234,792.4350433349609,994.8603668212891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00015.jpeg.json,424.06951904296875,570.210205078125,836.9503784179688,1014.3782958984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00016.jpeg.json,413.64393615722656,566.6367340087891,754.9705657958984,991.9339447021484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00017.jpeg.json,410.9084930419922,572.2846984863281,789.5446319580078,1003.4545593261719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00018.jpeg.json,413.1824188232422,567.5902252197266,799.5987091064453,1004.6989593505859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00019.jpeg.json,416.2825164794922,572.1335601806641,828.9463653564453,1008.0638275146484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00020.jpeg.json,414.81236267089844,574.4793243408203,770.6073150634766,999.0082244873047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00021.jpeg.json,409.7140808105469,570.8494415283203,796.7330627441406,998.1384735107422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00022.jpeg.json,427.68324279785156,565.0250244140625,809.9446868896484,1004.3272705078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00023.jpeg.json,405.0099639892578,567.5721130371094,821.2701873779297,1000.4770812988281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00024.jpeg.json,389.15313720703125,565.2055816650391,771.3624877929688,995.4753265380859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00025.jpeg.json,392.007568359375,563.5892639160156,795.9202880859375,993.1408386230469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00026.jpeg.json,373.12754821777344,574.5397338867188,802.2966461181641,997.8549194335938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00027.jpeg.json,379.84751892089844,566.1543579101562,771.6407623291016,1000.3941040039062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00028.jpeg.json,415.25709533691406,569.0645294189453,798.4853363037109,988.3304901123047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00029.jpeg.json,411.1846008300781,558.2269592285156,766.9157409667969,995.6167907714844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00030.jpeg.json,413.8224182128906,566.3250427246094,792.0093688964844,1004.2296447753906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00031.jpeg.json,414.36912536621094,558.7125854492188,795.6596832275391,1010.5114135742188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00032.jpeg.json,399.5696563720703,565.9231567382812,825.6987762451172,1010.4091186523438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00033.jpeg.json,413.64866638183594,574.0045013427734,840.3608551025391,1012.7900543212891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00034.jpeg.json,398.5148468017578,564.4474029541016,765.0846405029297,993.8609466552734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00035.jpeg.json,405.5517120361328,564.9920959472656,794.3702850341797,1002.2334899902344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00036.jpeg.json,421.02049255371094,567.2920532226562,797.8028717041016,1005.9784545898438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00037.jpeg.json,417.97630310058594,571.334716796875,812.8686676025391,1003.8677978515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00038.jpeg.json,411.9743194580078,567.2684631347656,765.5919647216797,993.6774597167969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00039.jpeg.json,413.26280212402344,561.488525390625,792.3261871337891,1001.0108642578125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__12-cair-no-escuro/ann/00040.jpeg.json,412.8697052001953,562.0980072021484,802.6221160888672,1006.0577545166016
