ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00001.jpeg.json,509.9925079345703,524.5397186279297,855.3578338623047,958.2195587158203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00002.jpeg.json,510.84263610839844,526.800537109375,841.2126617431641,994.0003662109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00003.jpeg.json,504.41200256347656,519.7242889404297,845.5776214599609,965.8777618408203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00004.jpeg.json,504.4023742675781,514.2508544921875,846.4808044433594,952.2218017578125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00005.jpeg.json,496.7386932373047,523.5859375,856.9706573486328,956.94580078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00006.jpeg.json,503.8564453125,520.9337005615234,850.922119140625,999.6933746337891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00007.jpeg.json,496.367431640625,520.0162200927734,857.7613525390625,960.4820709228516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00008.jpeg.json,504.6078338623047,527.4967956542969,831.6272735595703,1001.5318908691406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00009.jpeg.json,512.0355224609375,519.6875305175781,839.3349609375,928.6048278808594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00010.jpeg.json,511.5970458984375,518.7059326171875,827.388671875,909.6915283203125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00011.jpeg.json,514.3076629638672,514.1630249023438,843.3931427001953,924.1619262695312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00012.jpeg.json,512.3734893798828,515.4148864746094,860.9652557373047,922.5062561035156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00013.jpeg.json,506.5419006347656,519.5790863037109,844.1415710449219,955.1891021728516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00014.jpeg.json,499.2986145019531,525.0458831787109,851.0861511230469,946.8029937744141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00015.jpeg.json,501.1578369140625,527.0416717529297,842.8428955078125,977.7490997314453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00016.jpeg.json,501.35438537597656,525.9191284179688,834.0108489990234,964.3228149414062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00017.jpeg.json,510.15602111816406,512.2112274169922,840.7973480224609,959.6295928955078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00018.jpeg.json,507.5607147216797,523.2506256103516,849.2890167236328,927.2200775146484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00019.jpeg.json,504.0676727294922,533.4423980712891,852.2080841064453,977.7756195068359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__19-busto-do-manequim-no-escuro/ann/00020.jpeg.json,504.79078674316406,523.3367004394531,843.3483734130859,990.1145935058594
