ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00001.jpeg.json,1365.9230499267578,989.8472175598145,1579.2463836669922,1074.4015922546387
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00002.jpeg.json,1366.1525421142578,991.9711608886719,1581.232406616211,1079.3680419921875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00003.jpeg.json,1366.744255065918,991.2979316711426,1582.508186340332,1081.860424041748
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00004.jpeg.json,1366.4369735717773,990.648567199707,1582.4077529907227,1081.5841903686523
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00005.jpeg.json,1364.992332458496,990.6521949768066,1582.177345275879,1081.6354331970215
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00006.jpeg.json,1365.2653579711914,990.5260772705078,1582.6366806030273,1080.828384399414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00007.jpeg.json,1365.4081726074219,989.099983215332,1582.1368713378906,1082.3459091186523
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00008.jpeg.json,1365.9221649169922,990.0115623474121,1583.3114776611328,1084.028018951416
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00009.jpeg.json,1364.4915161132812,989.5533981323242,1581.6532592773438,1082.374122619629
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00010.jpeg.json,1363.4192428588867,991.108455657959,1582.9155960083008,1082.2153053283691
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00011.jpeg.json,1363.6538848876953,989.9162101745605,1582.9051361083984,1082.0798530578613
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00012.jpeg.json,1365.5795669555664,989.4425773620605,1583.1987533569336,1081.89009475708
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00013.jpeg.json,1364.6597366333008,990.8222351074219,1582.3208541870117,1079.3406372070312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00014.jpeg.json,1363.6222457885742,989.4517288208008,1582.2756423950195,1083.163963317871
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00015.jpeg.json,1365.1259841918945,990.0776596069336,1583.3854904174805,1082.6154861450195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00016.jpeg.json,1364.649299621582,989.5401229858398,1582.2173385620117,1082.5115432739258
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00017.jpeg.json,1366.258316040039,989.4690895080566,1583.2330780029297,1083.0283164978027
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00018.jpeg.json,1367.8325271606445,989.9461402893066,1584.521598815918,1084.710018157959
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00019.jpeg.json,1367.0749588012695,990.324592590332,1583.5949020385742,1084.2212142944336
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00020.jpeg.json,1370.822654724121,989.234302520752,1586.2866592407227,1086.0961723327637
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00021.jpeg.json,1368.751594543457,989.9468231201172,1584.8224411010742,1083.5165252685547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00022.jpeg.json,1367.3734283447266,990.1073036193848,1583.0435028076172,1083.4366722106934
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__2-desmaiando/ann/00023.jpeg.json,1365.4778289794922,990.3022346496582,1581.9398345947266,1083.2377738952637
