ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00001.jpeg.json,513.7262954711914,644.7634582519531,677.7221298217773,888.4891662597656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00002.jpeg.json,458.75880432128906,651.1489181518555,673.7210540771484,888.338264465332
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00003.jpeg.json,513.5417251586914,646.7787017822266,679.0595932006836,887.7727508544922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00004.jpeg.json,494.8844985961914,647.2390441894531,676.1144638061523,892.5705261230469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00005.jpeg.json,460.30506134033203,644.2467498779297,680.0173263549805,897.0865631103516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00006.jpeg.json,444.91917419433594,641.8060836791992,675.7018585205078,895.5264358520508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00007.jpeg.json,462.6868209838867,643.6216049194336,676.5687942504883,894.3519058227539
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00008.jpeg.json,470.86829376220703,648.0051803588867,673.786735534668,887.0117874145508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00009.jpeg.json,502.16534423828125,642.8163757324219,678.1822509765625,887.9565734863281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00010.jpeg.json,421.3699951171875,651.1296463012695,680.1769409179688,896.325309753418
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00011.jpeg.json,398.59739685058594,651.1529693603516,682.1088409423828,876.7222747802734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00012.jpeg.json,509.04224395751953,643.4074554443359,672.7499313354492,889.1035919189453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00013.jpeg.json,453.39295196533203,651.4842224121094,673.615837097168,883.1364440917969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00014.jpeg.json,467.90369415283203,686.3985443115234,672.9257125854492,895.2528228759766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00015.jpeg.json,478.44124603271484,657.2308807373047,674.4871597290039,888.7442779541016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00016.jpeg.json,469.9061965942383,671.0779342651367,673.6342697143555,891.8579788208008
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00017.jpeg.json,479.62464904785156,659.0831680297852,674.7930145263672,891.1092147827148
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00018.jpeg.json,479.5529556274414,662.4002075195312,675.8084945678711,891.36572265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00019.jpeg.json,487.1916732788086,658.0403671264648,675.8462295532227,892.1306533813477
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00020.jpeg.json,481.58306884765625,665.3763961791992,676.7599487304688,885.7567825317383
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00021.jpeg.json,470.5318145751953,695.5648422241211,675.9852752685547,893.6055068969727
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00022.jpeg.json,494.27770233154297,681.8033905029297,675.3828201293945,890.7363433837891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00023.jpeg.json,524.9675827026367,649.7625198364258,675.098518371582,891.4244918823242
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00024.jpeg.json,501.8965835571289,645.2806396484375,675.8866195678711,896.4398193359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00025.jpeg.json,471.898193359375,655.4898376464844,677.4864501953125,892.3008117675781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__25-queda-com-manequim/ann/00026.jpeg.json,479.8127899169922,663.5486602783203,674.2160186767578,895.4547576904297
