ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00001.jpeg.json,605.9229965209961,498.4276428222656,787.5169448852539,722.6048889160156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00002.jpeg.json,608.507682800293,493.95957946777344,786.6689529418945,714.6422271728516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00003.jpeg.json,610.8189392089844,490.31346893310547,794.0630187988281,714.9185256958008
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00004.jpeg.json,614.5481414794922,486.8097915649414,787.2987213134766,708.1686019897461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00005.jpeg.json,608.7081832885742,484.36671447753906,791.5780715942383,715.5474090576172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00006.jpeg.json,603.9436187744141,500.41698455810547,789.5660247802734,712.2861404418945
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00007.jpeg.json,606.6151428222656,492.1355743408203,790.9170837402344,718.9245452880859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00008.jpeg.json,609.7769241333008,490.27008056640625,786.5627975463867,713.6494750976562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00009.jpeg.json,602.9366302490234,480.5199737548828,792.2855377197266,721.2786712646484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00010.jpeg.json,607.2796020507812,498.15887451171875,789.4430541992188,721.6429443359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00011.jpeg.json,605.6432266235352,489.2249450683594,786.9629745483398,712.7933044433594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00012.jpeg.json,605.4864883422852,485.74625396728516,790.1325302124023,727.5263290405273
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00013.jpeg.json,610.1611328125,488.2409439086914,789.8161010742188,717.9405136108398
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00014.jpeg.json,604.8126602172852,484.05628967285156,789.3301620483398,714.1481781005859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00015.jpeg.json,611.1628723144531,489.4568099975586,790.5981140136719,720.5715103149414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00016.jpeg.json,606.8304138183594,485.72476959228516,786.5704650878906,717.2079696655273
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00017.jpeg.json,607.0746459960938,489.9343490600586,789.9240112304688,716.1608657836914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__26-teste-camisa-com-botoes/ann/00018.jpeg.json,603.6226119995117,492.24852752685547,785.459358215332,716.9016189575195
