ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00001.jpeg.json,1035.8533935546875,702.1133728027344,1363.3941650390625,1079.4427795410156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00002.jpeg.json,1036.633041381836,704.6737518310547,1372.3233795166016,1075.1543731689453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00003.jpeg.json,1032.4179229736328,704.870849609375,1358.1973114013672,1081.3270263671875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00004.jpeg.json,1041.544448852539,700.5182647705078,1399.917221069336,1075.0300750732422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00005.jpeg.json,1028.0579223632812,704.8241577148438,1387.7794799804688,1077.8015747070312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00006.jpeg.json,1048.79541015625,700.0971374511719,1379.8218994140625,1077.6959533691406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00007.jpeg.json,1022.0502319335938,704.6678466796875,1372.5499877929688,1076.3026123046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00008.jpeg.json,1031.731201171875,703.7120513916016,1372.8284912109375,1075.803451538086
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00009.jpeg.json,1046.3041229248047,699.5578765869141,1395.2587432861328,1074.6795501708984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00010.jpeg.json,1046.3574981689453,701.2579040527344,1384.5305633544922,1079.0205383300781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00011.jpeg.json,1021.4392547607422,710.6937713623047,1370.7063751220703,1082.6579132080078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00012.jpeg.json,1044.610855102539,702.3148956298828,1375.381820678711,1076.4784393310547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00013.jpeg.json,1038.3247985839844,702.6408386230469,1374.9969787597656,1078.1269836425781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00014.jpeg.json,1033.0764617919922,700.8944549560547,1366.0030059814453,1077.4859161376953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00015.jpeg.json,1051.9520263671875,701.1397705078125,1359.916748046875,1077.819091796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00016.jpeg.json,1036.9571380615234,706.9174041748047,1373.7996978759766,1078.4580841064453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00017.jpeg.json,1046.2861938476562,703.0482177734375,1378.2189331054688,1076.6029052734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00018.jpeg.json,1032.9752655029297,704.1616821289062,1365.4827423095703,1079.6791381835938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00019.jpeg.json,1033.895736694336,704.7695770263672,1370.6192779541016,1073.0083770751953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00020.jpeg.json,1042.74462890625,702.81689453125,1379.6771240234375,1077.62158203125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00021.jpeg.json,1038.41943359375,700.6111602783203,1362.4764404296875,1073.1863250732422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00022.jpeg.json,1046.4007720947266,704.2499847412109,1362.952865600586,1077.071792602539
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00023.jpeg.json,1041.3013000488281,701.1373138427734,1357.2206726074219,1079.5457916259766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00024.jpeg.json,1042.697494506836,700.7604675292969,1365.406753540039,1078.7127990722656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00025.jpeg.json,1040.0538940429688,706.536376953125,1362.0731811523438,1077.9700927734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00026.jpeg.json,1041.8269500732422,698.7758178710938,1362.5994415283203,1078.3115844726562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00027.jpeg.json,1041.5445709228516,701.8759307861328,1366.690658569336,1078.1526336669922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00028.jpeg.json,1045.5038299560547,699.8677978515625,1374.6621856689453,1076.4197998046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00029.jpeg.json,1016.6642150878906,705.0518493652344,1371.5845642089844,1079.5523986816406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00030.jpeg.json,1038.1253814697266,699.2406768798828,1364.131332397461,1078.9683074951172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00031.jpeg.json,1048.1367797851562,702.6529235839844,1390.2360229492188,1080.6036682128906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00032.jpeg.json,1032.7728424072266,709.2715148925781,1379.876205444336,1077.4812927246094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00033.jpeg.json,1043.9004669189453,701.8029327392578,1380.3237762451172,1074.2118377685547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00034.jpeg.json,1028.1607818603516,703.204833984375,1379.5262298583984,1081.37451171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00035.jpeg.json,1040.1585540771484,705.117919921875,1375.2921295166016,1075.4248046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00036.jpeg.json,1038.9711151123047,702.4377136230469,1360.7455596923828,1076.0543518066406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00037.jpeg.json,1046.6625213623047,701.3168792724609,1399.2936553955078,1078.592300415039
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00038.jpeg.json,1041.4862060546875,704.6277465820312,1374.11474609375,1079.3319702148438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00039.jpeg.json,1031.438949584961,707.9732971191406,1386.214614868164,1073.7359313964844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00040.jpeg.json,1041.0706024169922,701.8751373291016,1384.0463409423828,1077.593734741211
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00041.jpeg.json,1043.7537384033203,701.0144653320312,1373.6631317138672,1081.2379760742188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00042.jpeg.json,1033.6623077392578,705.1714172363281,1374.5360565185547,1080.2182312011719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00043.jpeg.json,1051.7984313964844,692.1977844238281,1386.8845520019531,1076.1181335449219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00044.jpeg.json,1039.1925964355469,703.9268493652344,1364.6189270019531,1080.1231994628906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00045.jpeg.json,1034.1278991699219,705.3416900634766,1369.9497375488281,1081.1607513427734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00046.jpeg.json,1044.239486694336,706.0548858642578,1386.282485961914,1078.9589080810547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00047.jpeg.json,1033.6451416015625,703.1366271972656,1384.384521484375,1077.5412292480469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00048.jpeg.json,1046.7383117675781,700.5483856201172,1392.0075378417969,1075.6306915283203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00049.jpeg.json,1035.1249694824219,704.9151153564453,1389.5254211425781,1077.0137176513672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00050.jpeg.json,1041.5216217041016,701.5450592041016,1375.7249603271484,1078.0831146240234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00051.jpeg.json,1036.573715209961,701.3274993896484,1355.502212524414,1077.193618774414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00052.jpeg.json,1045.3893127441406,698.7090606689453,1365.5839538574219,1077.7168426513672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00053.jpeg.json,1034.61181640625,705.9057312011719,1362.4925537109375,1075.8932189941406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00054.jpeg.json,1036.025405883789,705.142333984375,1377.197494506836,1074.6895751953125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00055.jpeg.json,1040.4502868652344,703.1204071044922,1373.6498107910156,1074.6310577392578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00056.jpeg.json,1036.0105743408203,702.0693664550781,1372.3402557373047,1077.1929626464844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00057.jpeg.json,1033.937759399414,697.8388061523438,1369.531723022461,1073.2515258789062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00058.jpeg.json,1023.6711578369141,703.6168670654297,1347.7603607177734,1081.5667266845703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00059.jpeg.json,1034.295883178711,702.191162109375,1371.034683227539,1074.65576171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00060.jpeg.json,988.9411773681641,719.4748382568359,1389.071029663086,1077.447769165039
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00061.jpeg.json,1047.1089172363281,697.3413391113281,1372.9012145996094,1074.9377136230469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00062.jpeg.json,1023.5272521972656,708.7803802490234,1391.0494079589844,1074.303726196289
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00063.jpeg.json,1043.7645263671875,699.7187194824219,1372.6982421875,1076.2669982910156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00064.jpeg.json,1039.8585968017578,702.0180206298828,1369.3307342529297,1079.3386688232422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00065.jpeg.json,1036.7335052490234,703.7895050048828,1363.319595336914,1078.3835906982422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00066.jpeg.json,1029.7008361816406,709.0186157226562,1362.2619323730469,1079.0282592773438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00067.jpeg.json,1034.3075561523438,703.5415954589844,1353.7459106445312,1081.1637268066406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00068.jpeg.json,1048.8236236572266,699.4742736816406,1371.8243255615234,1078.5625915527344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00069.jpeg.json,1033.893569946289,704.1348571777344,1362.183334350586,1076.5250549316406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00070.jpeg.json,1039.9212951660156,699.0801086425781,1372.3714294433594,1079.1348571777344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00071.jpeg.json,1030.5878448486328,702.5275726318359,1377.8907928466797,1078.2725982666016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00072.jpeg.json,1031.1278381347656,703.3251647949219,1374.8094177246094,1075.7945861816406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00073.jpeg.json,1046.416748046875,699.5941772460938,1378.416259765625,1080.3803100585938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00074.jpeg.json,1034.8272094726562,714.4668884277344,1379.0385131835938,1075.8069152832031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00075.jpeg.json,1051.9691467285156,699.7271118164062,1372.8156433105469,1080.1022338867188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00076.jpeg.json,1036.1266784667969,705.2734832763672,1372.5576477050781,1078.7744903564453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00077.jpeg.json,1045.8509979248047,699.0228576660156,1359.8495635986328,1077.8859558105469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00078.jpeg.json,1033.0309600830078,701.197265625,1366.2108612060547,1074.9693603515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00079.jpeg.json,996.6510925292969,718.5354919433594,1370.3299865722656,1080.5681457519531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00080.jpeg.json,1042.2144622802734,698.5169982910156,1376.7125396728516,1069.5707702636719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00081.jpeg.json,1009.9640960693359,702.4439849853516,1397.958999633789,1067.305160522461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00082.jpeg.json,974.8157348632812,708.4038238525391,1361.1630249023438,1077.479721069336
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00083.jpeg.json,780.1229400634766,707.9554901123047,1266.3499603271484,1067.3993682861328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00084.jpeg.json,319.9263610839844,673.9795379638672,833.6500549316406,1003.8328399658203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__28-apoio-de-frente/ann/00085.jpeg.json,387.7280731201172,703.0696258544922,832.6811065673828,1016.6422882080078
