ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00001.jpeg.json,1043.7990036010742,704.9027862548828,1292.8666458129883,1066.2739715576172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00002.jpeg.json,1050.8784637451172,705.0628204345703,1312.2705841064453,1069.7142791748047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00003.jpeg.json,1050.252456665039,701.8349151611328,1313.353012084961,1063.8450164794922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00004.jpeg.json,1051.954574584961,696.1874847412109,1318.410171508789,1069.349380493164
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00005.jpeg.json,1051.0682067871094,701.6182861328125,1317.0946350097656,1041.0826416015625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00006.jpeg.json,1051.3913116455078,703.3766174316406,1332.1103973388672,1060.0232849121094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00007.jpeg.json,1052.5897521972656,699.6878051757812,1311.3671569824219,1073.5551147460938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00008.jpeg.json,1048.4787902832031,704.2500610351562,1328.2283630371094,1082.8645629882812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00009.jpeg.json,1045.1981506347656,701.2168121337891,1309.1518249511719,1056.5992279052734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00010.jpeg.json,1047.0330657958984,708.1157684326172,1303.195083618164,1076.8556671142578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00011.jpeg.json,1048.7469482421875,704.5205841064453,1319.900146484375,1062.4573211669922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00012.jpeg.json,1046.0691986083984,704.8906402587891,1318.0860748291016,1073.7874603271484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00013.jpeg.json,1050.6862487792969,700.41162109375,1318.7716369628906,1073.494140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00014.jpeg.json,1049.7635040283203,709.3316040039062,1340.9040985107422,1057.6276245117188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00015.jpeg.json,1050.4230194091797,703.90576171875,1306.5998077392578,1071.9439697265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00016.jpeg.json,1047.6328125,703.9152526855469,1319.3961181640625,1069.3972473144531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00017.jpeg.json,1051.7462005615234,698.939697265625,1318.109878540039,1076.5665283203125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00018.jpeg.json,1056.009048461914,706.2324523925781,1336.356674194336,1044.4873962402344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00019.jpeg.json,1053.357521057129,702.2661437988281,1303.6701889038086,1072.0065612792969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00020.jpeg.json,1046.0297088623047,701.266845703125,1328.9148712158203,1075.1461181640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00021.jpeg.json,1054.1534576416016,702.5439605712891,1288.656234741211,1070.173080444336
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00022.jpeg.json,1050.119155883789,700.5544281005859,1317.261215209961,1073.6261138916016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00023.jpeg.json,1043.5676574707031,702.5782928466797,1330.5016784667969,1076.8009796142578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00024.jpeg.json,1045.0828704833984,702.7995758056641,1298.479995727539,1044.4493255615234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00025.jpeg.json,1051.6053314208984,700.665283203125,1298.7877349853516,1077.96533203125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00026.jpeg.json,1040.9314727783203,706.5444641113281,1278.7913055419922,1060.2491149902344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00027.jpeg.json,1042.448486328125,706.3699645996094,1306.638427734375,1073.4287414550781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00028.jpeg.json,1051.1553192138672,703.4351501464844,1309.7975616455078,1085.4459533691406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00029.jpeg.json,1049.0736389160156,706.8409271240234,1330.3367614746094,1052.364517211914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00030.jpeg.json,1051.906494140625,694.6181488037109,1309.954833984375,1079.895034790039
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00031.jpeg.json,1042.6264038085938,701.6634063720703,1305.5133666992188,1042.7727508544922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00032.jpeg.json,1030.0023345947266,701.5120086669922,1327.0633392333984,1063.6565704345703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00033.jpeg.json,1044.5831909179688,702.5205688476562,1298.6600952148438,1070.6900024414062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00034.jpeg.json,1041.1417388916016,701.0228118896484,1321.372055053711,1073.1334381103516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00035.jpeg.json,1050.165756225586,701.3491516113281,1297.595474243164,1083.4109802246094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00036.jpeg.json,1046.3791809082031,703.6961212158203,1328.3246765136719,1037.1991424560547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00037.jpeg.json,1042.0770263671875,700.4209747314453,1313.3961181640625,1069.7595672607422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00038.jpeg.json,1051.878761291504,697.2762298583984,1295.8957748413086,1081.166763305664
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00039.jpeg.json,1042.2276000976562,702.0518035888672,1335.6298217773438,1048.8866729736328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00040.jpeg.json,1044.6667022705078,701.0312042236328,1310.3773651123047,1066.5608367919922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00041.jpeg.json,1038.1682205200195,703.1082305908203,1293.3185958862305,1029.5498504638672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00042.jpeg.json,1036.5724487304688,702.2447204589844,1321.3429565429688,1057.8146057128906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__31-agachamento/ann/00043.jpeg.json,1048.966552734375,697.3890838623047,1296.1097412109375,1075.4452667236328
