ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00001.jpeg.json,796.342658996582,937.6243057250977,1036.0200729370117,1086.936424255371
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00002.jpeg.json,799.6736907958984,941.8137359619141,1038.2528839111328,1087.3556365966797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00003.jpeg.json,799.4908218383789,943.1829833984375,1041.9547958374023,1085.5275268554688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00004.jpeg.json,805.6156311035156,945.9751129150391,1043.0938415527344,1084.3209686279297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00005.jpeg.json,793.9172592163086,945.5716323852539,1034.9052505493164,1085.418357849121
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00006.jpeg.json,799.7689361572266,942.9060287475586,1036.3201751708984,1084.4640274047852
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00007.jpeg.json,803.7454681396484,945.0388870239258,1038.0473175048828,1085.6088180541992
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00008.jpeg.json,806.1181106567383,943.2063293457031,1046.663444519043,1082.7264709472656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00009.jpeg.json,795.8555450439453,946.4978637695312,1032.5301971435547,1084.898681640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00010.jpeg.json,800.1002731323242,943.9023132324219,1037.0741653442383,1085.8658142089844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00011.jpeg.json,805.9115142822266,948.2604827880859,1044.2071380615234,1084.332778930664
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00012.jpeg.json,800.4876708984375,943.4708786010742,1034.1323852539062,1085.7789993286133
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00013.jpeg.json,794.9620208740234,944.2823638916016,1038.7595977783203,1086.2864837646484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00014.jpeg.json,797.4505233764648,943.522346496582,1040.1495742797852,1085.8049850463867
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00015.jpeg.json,797.0956649780273,945.0998764038086,1042.6286392211914,1085.0666275024414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00016.jpeg.json,797.4564590454102,943.6132507324219,1045.037986755371,1086.5284118652344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00017.jpeg.json,801.6177139282227,947.0405731201172,1046.8570175170898,1083.9779205322266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00018.jpeg.json,797.1946792602539,944.9625091552734,1031.980613708496,1085.1879425048828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00019.jpeg.json,802.4790115356445,945.751350402832,1041.1269454956055,1085.2802658081055
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00020.jpeg.json,803.5070953369141,947.4839401245117,1043.3064422607422,1084.1776809692383
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__5-sentando-no-chao/ann/00021.jpeg.json,794.1762771606445,945.4037780761719,1036.8557662963867,1086.8830871582031
