ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00001.jpeg.json,616.863109588623,649.5200538635254,681.196475982666,761.9997673034668
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00002.jpeg.json,613.8970832824707,676.422721862793,677.4796409606934,762.9012985229492
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00003.jpeg.json,587.2427158355713,705.6753158569336,646.2406063079834,811.2045822143555
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00004.jpeg.json,607.5928421020508,667.5429420471191,675.6602249145508,769.9845390319824
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00005.jpeg.json,613.586254119873,654.5674591064453,679.8033485412598,760.8323974609375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00006.jpeg.json,614.9387359619141,663.6454772949219,678.6088256835938,763.4986114501953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00007.jpeg.json,621.0674057006836,660.015323638916,681.3082504272461,760.4658622741699
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00008.jpeg.json,613.0241546630859,682.6257171630859,668.7348937988281,767.0665893554688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00009.jpeg.json,617.7799243927002,684.2674140930176,675.3961772918701,760.3591270446777
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00010.jpeg.json,613.6449317932129,689.5211868286133,670.3150749206543,765.297477722168
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00011.jpeg.json,606.522533416748,690.5749664306641,667.8815956115723,777.6734466552734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00012.jpeg.json,616.6273651123047,659.025520324707,681.1365661621094,762.2114791870117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00013.jpeg.json,616.2459564208984,658.1327362060547,680.5140686035156,758.1515350341797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00014.jpeg.json,615.1052322387695,669.3213806152344,679.0827713012695,762.7394409179688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00015.jpeg.json,616.6799926757812,660.2354583740234,681.6203765869141,760.9928436279297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00016.jpeg.json,615.7110595703125,665.9624862670898,680.5186920166016,762.2027053833008
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00017.jpeg.json,615.3199234008789,663.8635711669922,680.4209060668945,761.1936187744141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00018.jpeg.json,616.4976425170898,655.1202430725098,681.9390487670898,758.9447288513184
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00019.jpeg.json,618.0145683288574,658.8158187866211,684.4321632385254,762.318244934082
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00020.jpeg.json,619.5344352722168,653.9651260375977,684.134220123291,756.9280624389648
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00021.jpeg.json,619.6945133209229,660.4599609375,682.4737758636475,758.2118835449219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00022.jpeg.json,617.3631076812744,672.8169288635254,680.1117610931396,762.9376487731934
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00023.jpeg.json,617.8316078186035,662.0727691650391,682.1217765808105,759.9170989990234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00024.jpeg.json,617.5617160797119,660.9584770202637,681.5414485931396,756.7392463684082
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00025.jpeg.json,617.486650466919,670.0174674987793,679.5994243621826,761.0814399719238
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00026.jpeg.json,619.0918083190918,666.8010597229004,681.3313941955566,759.0984153747559
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00027.jpeg.json,617.6221370697021,674.9444770812988,678.0813083648682,763.2617301940918
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00028.jpeg.json,617.2966690063477,663.9936103820801,679.9224319458008,757.6910514831543
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00029.jpeg.json,619.4398021697998,674.6315765380859,678.0287799835205,756.8075714111328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00030.jpeg.json,620.0764846801758,688.8535041809082,674.5114669799805,757.6916160583496
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00031.jpeg.json,615.538293838501,697.1922054290771,664.7683162689209,760.2434177398682
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00032.jpeg.json,613.9299964904785,693.1136627197266,667.6625633239746,763.4302825927734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__8-caindo-de-costas/ann/00033.jpeg.json,618.0928707122803,668.6863136291504,679.2509098052979,757.0919761657715
