ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00001.jpeg.json,980.7043304443359,414.1056365966797,1223.1936798095703,610.7177886962891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00002.jpeg.json,970.1499786376953,403.17054748535156,1220.3408660888672,585.9384613037109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00003.jpeg.json,971.4040451049805,414.18819427490234,1221.5394973754883,601.4220352172852
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00004.jpeg.json,975.8843841552734,402.98815155029297,1219.6148834228516,593.0415725708008
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00005.jpeg.json,967.7794342041016,412.36964416503906,1221.304916381836,599.2789764404297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00006.jpeg.json,976.950813293457,419.5702819824219,1224.6074752807617,601.5426940917969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00007.jpeg.json,973.2018737792969,411.25196075439453,1218.7713928222656,589.052360534668
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00008.jpeg.json,974.889045715332,410.9788131713867,1221.8620529174805,598.398078918457
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00009.jpeg.json,973.3605194091797,421.7617645263672,1227.0036163330078,604.2667999267578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00010.jpeg.json,970.268928527832,411.4268112182617,1217.898551940918,589.150520324707
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00011.jpeg.json,975.0137023925781,406.04341888427734,1223.1054992675781,599.4034805297852
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00012.jpeg.json,974.3092956542969,400.76763916015625,1225.1671447753906,587.486572265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00013.jpeg.json,973.9197006225586,417.7757797241211,1221.3946914672852,600.8846817016602
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00014.jpeg.json,982.7542724609375,410.45558166503906,1222.9819946289062,603.0070648193359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00015.jpeg.json,976.3920288085938,418.2529602050781,1221.6410522460938,597.4504089355469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00016.jpeg.json,974.9370727539062,415.5805969238281,1225.2388916015625,596.1051940917969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00017.jpeg.json,970.4973602294922,412.26139068603516,1217.1659088134766,588.6555404663086
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00018.jpeg.json,981.3792495727539,405.37408447265625,1220.650779724121,597.3760986328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00019.jpeg.json,976.7683029174805,420.42832946777344,1221.5633010864258,597.8685455322266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00020.jpeg.json,980.3378448486328,410.13734436035156,1217.312973022461,591.4571380615234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00021.jpeg.json,972.6349182128906,409.3070373535156,1230.5143737792969,599.9371032714844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00022.jpeg.json,962.485595703125,402.52491760253906,1215.3818359375,580.6602020263672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00023.jpeg.json,974.2836074829102,410.28399658203125,1222.3849716186523,598.2532958984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00024.jpeg.json,976.5883255004883,418.89451599121094,1225.429069519043,602.4356231689453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00025.jpeg.json,971.1026992797852,407.5900421142578,1213.0453720092773,585.8553924560547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00026.jpeg.json,973.8495330810547,405.84461975097656,1220.9510650634766,595.3325653076172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00027.jpeg.json,970.6922912597656,409.89424896240234,1217.8155212402344,595.0198135375977
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00028.jpeg.json,973.139030456543,405.2640838623047,1219.9922561645508,593.8959503173828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00029.jpeg.json,968.8934097290039,411.5165786743164,1221.5858993530273,594.7853012084961
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00030.jpeg.json,975.0986938476562,411.4479522705078,1221.7193603515625,593.2787933349609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00031.jpeg.json,968.8214416503906,401.1049499511719,1216.7539367675781,583.9172058105469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00032.jpeg.json,967.5306549072266,415.53856658935547,1226.1822967529297,595.7527542114258
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00033.jpeg.json,982.2672424316406,405.54027557373047,1222.5248107910156,600.681282043457
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00034.jpeg.json,983.7330169677734,421.71387481689453,1220.0777130126953,595.1008224487305
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00035.jpeg.json,973.9873275756836,413.7672424316406,1217.7133560180664,593.5184020996094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00036.jpeg.json,972.7112426757812,413.58575439453125,1223.2785034179688,594.5169067382812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00037.jpeg.json,978.6171875,414.90254974365234,1223.129150390625,604.7118911743164
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00038.jpeg.json,970.1896286010742,409.44493865966797,1217.2171096801758,592.105110168457
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00039.jpeg.json,973.9260330200195,413.68157958984375,1221.7180099487305,598.60546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00040.jpeg.json,980.1590805053711,413.1933059692383,1227.2237930297852,602.0938034057617
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00041.jpeg.json,968.1057281494141,413.9147720336914,1218.5274505615234,589.6813583374023
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00042.jpeg.json,978.5570831298828,407.99334716796875,1222.6256561279297,596.5390625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00043.jpeg.json,977.4528121948242,415.86722564697266,1221.1782302856445,596.9112777709961
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00044.jpeg.json,970.3124313354492,410.4611053466797,1221.087532043457,593.8335113525391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00045.jpeg.json,959.7252044677734,401.6992721557617,1217.4318389892578,582.323371887207
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00046.jpeg.json,978.8721923828125,409.5213928222656,1224.4664916992188,598.5445251464844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00047.jpeg.json,975.5451965332031,417.4059600830078,1220.4314270019531,595.1504974365234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00048.jpeg.json,968.1116333007812,407.5154724121094,1224.0233154296875,592.0010681152344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00049.jpeg.json,977.8622207641602,412.40457916259766,1220.3937606811523,602.7502670288086
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00050.jpeg.json,982.5751419067383,419.9783935546875,1219.5461349487305,602.9476318359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00051.jpeg.json,982.2701034545898,420.0707092285156,1222.340675354004,601.0276794433594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__12-cair-no-escuro/ann/00052.jpeg.json,983.1567306518555,414.55826568603516,1221.284797668457,600.1187362670898
