ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__16-abdominal-no-escuro/ann/00001.jpeg.json,589.1226043701172,708.8747482299805,801.9259185791016,878.3105545043945
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__16-abdominal-no-escuro/ann/00002.jpeg.json,588.6601638793945,705.544677734375,802.8789596557617,892.7139282226562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__16-abdominal-no-escuro/ann/00003.jpeg.json,588.7160110473633,708.8120040893555,800.4770431518555,899.9594802856445
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__16-abdominal-no-escuro/ann/00004.jpeg.json,589.8645706176758,699.4470062255859,804.0437545776367,904.1364898681641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__16-abdominal-no-escuro/ann/00005.jpeg.json,589.1279373168945,707.9592056274414,802.3929977416992,893.7760238647461
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__16-abdominal-no-escuro/ann/00006.jpeg.json,589.0520095825195,707.4597396850586,800.2463302612305,893.0342178344727
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__16-abdominal-no-escuro/ann/00007.jpeg.json,591.6287612915039,694.3569183349609,803.4673080444336,900.2574615478516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__16-abdominal-no-escuro/ann/00008.jpeg.json,589.5196075439453,708.6336975097656,803.3878631591797,900.7665710449219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__16-abdominal-no-escuro/ann/00009.jpeg.json,589.3272171020508,706.9703903198242,802.109245300293,900.0174026489258
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__16-abdominal-no-escuro/ann/00010.jpeg.json,587.190544128418,709.6051864624023,799.5701370239258,899.9264907836914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__16-abdominal-no-escuro/ann/00011.jpeg.json,586.0677108764648,695.2920989990234,802.0234756469727,902.7057647705078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__16-abdominal-no-escuro/ann/00012.jpeg.json,588.0700836181641,707.8320922851562,798.8823699951172,904.0074462890625
