ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00001.jpeg.json,584.8206481933594,662.5393295288086,803.1327209472656,892.1555557250977
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00002.jpeg.json,588.3230361938477,676.5201187133789,797.1773300170898,887.6620712280273
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00003.jpeg.json,588.2553253173828,673.8687133789062,804.3990936279297,928.303466796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00004.jpeg.json,587.0208282470703,666.199951171875,802.9067230224609,892.2378540039062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00005.jpeg.json,590.8349151611328,661.4093322753906,803.7786712646484,887.6406555175781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00006.jpeg.json,588.0908889770508,702.70849609375,798.7175216674805,906.1494140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00007.jpeg.json,589.851692199707,696.2771835327148,800.9965744018555,902.0242691040039
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00008.jpeg.json,590.2301177978516,686.6691360473633,800.3471527099609,908.8278732299805
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00009.jpeg.json,592.6431274414062,699.7196884155273,800.5069580078125,919.6226577758789
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00010.jpeg.json,587.9133071899414,689.023551940918,803.3121566772461,911.9421463012695
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00011.jpeg.json,590.4498825073242,684.3386383056641,800.4777297973633,902.8724212646484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00012.jpeg.json,589.5842666625977,699.7466659545898,803.6283187866211,913.5101699829102
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00013.jpeg.json,588.7002105712891,700.5109024047852,805.0894622802734,892.7993392944336
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00014.jpeg.json,587.6840667724609,697.2003631591797,800.2220611572266,897.9549102783203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00015.jpeg.json,591.2083129882812,695.1827850341797,804.0130004882812,908.6189727783203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00016.jpeg.json,591.979606628418,686.9478225708008,799.9209060668945,883.2009201049805
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00017.jpeg.json,592.7841110229492,696.0667724609375,795.6062698364258,925.2584228515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00018.jpeg.json,585.1684265136719,667.7764129638672,791.7649841308594,956.1057281494141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00019.jpeg.json,590.4257049560547,648.4311828613281,799.0003814697266,896.9812316894531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00020.jpeg.json,587.6838760375977,642.7000732421875,799.1125717163086,918.312255859375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00021.jpeg.json,590.9700469970703,645.0850982666016,799.1274261474609,911.4072723388672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00022.jpeg.json,589.8037567138672,657.2313537597656,801.2685699462891,926.3766784667969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00023.jpeg.json,590.4975280761719,700.2065124511719,798.9867858886719,934.3740539550781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00024.jpeg.json,593.3229827880859,655.5145263671875,799.1276397705078,912.7805786132812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00025.jpeg.json,586.7086791992188,655.2903137207031,798.0123291015625,915.3430480957031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00026.jpeg.json,589.9801635742188,650.3038482666016,797.796142578125,909.2953338623047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00027.jpeg.json,592.2582550048828,694.0378112792969,802.3773651123047,938.0903625488281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00028.jpeg.json,590.8854370117188,661.2681655883789,802.0471801757812,907.8787460327148
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00029.jpeg.json,588.0527648925781,678.6619033813477,797.8637390136719,895.0219345092773
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00030.jpeg.json,587.0258102416992,683.0568771362305,802.5719680786133,913.5592727661133
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00031.jpeg.json,589.3361434936523,666.113899230957,804.9823989868164,902.0873947143555
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00032.jpeg.json,587.1840515136719,707.2839813232422,795.6881408691406,911.9511260986328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__18-agachamento-no-escuro/ann/00033.jpeg.json,589.2422027587891,694.0657119750977,798.5022430419922,910.1299667358398
