ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00001.jpeg.json,591.5961608886719,655.6697998046875,795.3264465332031,923.0718994140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00002.jpeg.json,596.4414596557617,662.8774108886719,799.360969543457,918.1622009277344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00003.jpeg.json,594.7118072509766,655.2725982666016,799.8620452880859,923.7021331787109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00004.jpeg.json,593.1144943237305,675.4526519775391,804.3813552856445,952.7596893310547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00005.jpeg.json,592.9232406616211,643.9608917236328,801.7225723266602,908.7250823974609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00006.jpeg.json,590.677001953125,703.3755950927734,786.6921997070312,1013.9623565673828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00007.jpeg.json,597.7349548339844,738.86181640625,758.6387023925781,1048.0341796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00008.jpeg.json,602.8195343017578,738.8477172851562,734.1293182373047,1050.7798461914062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00009.jpeg.json,597.1647796630859,709.772102355957,808.2756500244141,909.7665328979492
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00010.jpeg.json,595.0278549194336,706.1147537231445,800.6877822875977,906.6484298706055
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00011.jpeg.json,590.9014129638672,703.9163818359375,797.9464874267578,922.5808715820312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00012.jpeg.json,601.2663040161133,755.484619140625,723.2848434448242,1046.08935546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00013.jpeg.json,595.0592269897461,703.2716217041016,805.5447158813477,901.9633636474609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00014.jpeg.json,592.6716690063477,704.1201934814453,799.5830307006836,931.9983978271484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00015.jpeg.json,590.5042114257812,707.6137237548828,800.673583984375,946.2961883544922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00016.jpeg.json,594.6232986450195,702.1634979248047,797.064323425293,920.1829376220703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__22-toalha-na-cabeca-no-escuro/ann/00017.jpeg.json,590.553352355957,707.625846862793,804.1372604370117,955.872932434082
