ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00001.jpeg.json,770.8939819335938,118.42938232421875,963.6829833984375,394.01824951171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00002.jpeg.json,763.8330230712891,116.62730407714844,956.1721649169922,381.9300079345703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00003.jpeg.json,775.1402206420898,130.22117614746094,965.8734512329102,406.7034454345703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00004.jpeg.json,770.0362548828125,119.92669677734375,963.5133056640625,386.879638671875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00005.jpeg.json,771.2462310791016,121.98345947265625,963.1919403076172,399.904296875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00006.jpeg.json,773.6248092651367,111.84458923339844,956.736457824707,399.95509338378906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00007.jpeg.json,763.4481658935547,88.25180053710938,926.1480255126953,372.0771179199219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00008.jpeg.json,763.5302124023438,100.16561889648438,951.2278442382812,387.3485412597656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00009.jpeg.json,763.4420166015625,116.72697448730469,944.1640014648438,391.75355529785156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00010.jpeg.json,762.7611846923828,91.55461120605469,936.6562347412109,371.99635314941406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00011.jpeg.json,780.9903717041016,86.79393005371094,966.8445892333984,379.46852111816406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00012.jpeg.json,751.0423126220703,110.67205810546875,939.2255096435547,368.6451416015625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00013.jpeg.json,766.1619186401367,106.17790222167969,953.1228713989258,394.29652404785156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00014.jpeg.json,761.0935592651367,117.18417358398438,943.2534255981445,387.7433166503906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00015.jpeg.json,772.3080520629883,118.58985900878906,960.5976486206055,395.26329040527344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00016.jpeg.json,766.9773025512695,117.19477844238281,956.4130783081055,389.04075622558594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00017.jpeg.json,774.6183776855469,114.31706237792969,964.6264343261719,392.50184631347656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00018.jpeg.json,760.6468505859375,114.43678283691406,955.2109375,381.9432830810547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00019.jpeg.json,768.0123748779297,118.23095703125,956.9875030517578,395.721435546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00020.jpeg.json,752.6925430297852,114.71368408203125,937.9316024780273,377.174072265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00021.jpeg.json,770.8096618652344,124.10009765625,957.1830139160156,418.35980224609375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00022.jpeg.json,778.8845825195312,114.99641418457031,965.1377563476562,400.2872772216797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00023.jpeg.json,752.9560394287109,121.14599609375,933.9628448486328,377.74786376953125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00024.jpeg.json,745.5117721557617,109.706298828125,920.3745193481445,365.748046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00025.jpeg.json,766.4258804321289,127.530029296875,960.4259872436523,408.69720458984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00026.jpeg.json,766.2103271484375,121.06222534179688,963.6193237304688,378.9391784667969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00027.jpeg.json,767.3770980834961,110.67716979980469,961.5770034790039,389.0603790283203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00028.jpeg.json,783.5042190551758,108.11674499511719,976.9996871948242,393.8273468017578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__25-queda-com-manequim/ann/00029.jpeg.json,780.9906311035156,118.14021301269531,975.0048522949219,402.3489227294922
