ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00001.jpeg.json,751.3743133544922,85.87666320800781,966.9027862548828,380.51573181152344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00002.jpeg.json,744.7241287231445,81.94609069824219,960.413444519043,382.27113342285156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00003.jpeg.json,744.9774017333984,71.42874145507812,958.8297271728516,373.2645568847656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00004.jpeg.json,745.572395324707,96.94755554199219,958.9657516479492,387.2534942626953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00005.jpeg.json,738.0006256103516,82.89112854003906,954.3964691162109,368.82383728027344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00006.jpeg.json,742.1527481079102,41.329742431640625,964.6205673217773,358.8531188964844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00007.jpeg.json,772.9184646606445,49.16912841796875,968.018180847168,369.23492431640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00008.jpeg.json,746.6882095336914,86.17999267578125,953.5385971069336,376.45574951171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00009.jpeg.json,754.2123489379883,68.118408203125,954.7296676635742,381.5836181640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00010.jpeg.json,737.4233703613281,71.93528747558594,952.6805114746094,369.10609436035156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00011.jpeg.json,742.2381591796875,45.42481994628906,945.616943359375,366.13194274902344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00012.jpeg.json,758.2591781616211,30.737014770507812,967.0699234008789,362.5449676513672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00013.jpeg.json,741.772087097168,57.5638427734375,949.1814041137695,368.10235595703125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00014.jpeg.json,755.3418807983398,30.169174194335938,954.9383926391602,364.5080108642578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00015.jpeg.json,757.6026077270508,54.767974853515625,975.7131881713867,376.1732482910156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00016.jpeg.json,746.5257339477539,90.93206787109375,964.2914047241211,380.85760498046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00017.jpeg.json,742.7694396972656,78.55206298828125,957.4838562011719,370.87567138671875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00018.jpeg.json,745.1361770629883,79.15068054199219,969.4421920776367,390.5845489501953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00019.jpeg.json,752.713623046875,43.635894775390625,961.65966796875,371.4839782714844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00020.jpeg.json,737.6030807495117,58.989898681640625,942.3535842895508,367.5988464355469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00021.jpeg.json,735.556266784668,75.63264465332031,942.617805480957,386.72129821777344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00022.jpeg.json,744.135383605957,75.51593017578125,970.849235534668,387.3631591796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00023.jpeg.json,752.3400344848633,44.39398193359375,964.5974655151367,368.6302490234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00024.jpeg.json,762.6526336669922,52.400970458984375,967.7863311767578,382.4427185058594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00025.jpeg.json,745.1005096435547,103.13449096679688,960.9696807861328,375.2563171386719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00026.jpeg.json,749.6998519897461,70.89637756347656,950.7533950805664,379.1101531982422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00027.jpeg.json,743.7855987548828,56.20417785644531,974.0256805419922,379.03904724121094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00028.jpeg.json,739.7567291259766,43.9306640625,960.2692718505859,371.22637939453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00029.jpeg.json,742.8459930419922,54.78800964355469,948.5309600830078,374.04505920410156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00030.jpeg.json,747.8787231445312,76.48890686035156,978.7091674804688,378.7342987060547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__36-teste-com-cachorro/ann/00031.jpeg.json,756.2664566040039,38.53167724609375,962.2324447631836,364.7579345703125
