ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00001.jpeg.json,1229.5099983215332,598.9110927581787,1321.6163291931152,642.9209461212158
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00002.jpeg.json,1231.3762855529785,599.3103313446045,1321.7207145690918,645.1186008453369
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00003.jpeg.json,1228.4927024841309,599.9227485656738,1319.8393745422363,642.5583686828613
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00004.jpeg.json,1227.1504135131836,598.3535499572754,1317.8914108276367,642.5010414123535
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00005.jpeg.json,1230.5626831054688,597.5074863433838,1318.5341033935547,641.4223003387451
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00006.jpeg.json,1229.0412521362305,598.064287185669,1318.101676940918,642.2538967132568
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00007.jpeg.json,1228.6448669433594,599.5536022186279,1317.6501007080078,645.0324954986572
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00008.jpeg.json,1230.7281761169434,593.2154178619385,1317.8150215148926,639.7110424041748
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00009.jpeg.json,1236.1694869995117,488.08989334106445,1316.151237487793,551.1627998352051
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00010.jpeg.json,1237.3682670593262,464.8477020263672,1308.7148475646973,540.628532409668
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00011.jpeg.json,1234.121395111084,430.9512519836426,1314.4738655090332,500.77995681762695
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00012.jpeg.json,1234.63623046875,422.5054702758789,1309.8181915283203,491.3104248046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00013.jpeg.json,1238.7235374450684,417.40710067749023,1305.4151802062988,486.0697441101074
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00014.jpeg.json,1230.825309753418,413.5941925048828,1299.7507858276367,481.69640350341797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00015.jpeg.json,1229.5969924926758,416.96340560913086,1305.2527236938477,482.8012809753418
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00016.jpeg.json,1240.4943466186523,467.5213050842285,1313.2000045776367,546.0410041809082
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00017.jpeg.json,1236.5602836608887,476.80566787719727,1315.6836585998535,550.2767524719238
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00018.jpeg.json,1219.8066749572754,470.78490829467773,1300.6346244812012,532.253963470459
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00019.jpeg.json,1241.6819305419922,484.23208236694336,1313.36279296875,559.3292503356934
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00020.jpeg.json,1243.0112190246582,497.4455223083496,1314.335506439209,563.0573081970215
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00021.jpeg.json,1244.1016464233398,505.0355396270752,1316.3590927124023,567.6131343841553
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00022.jpeg.json,1244.1764678955078,500.75840950012207,1313.7283630371094,562.7216243743896
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00023.jpeg.json,1246.5290641784668,504.4203910827637,1314.3640480041504,568.3291893005371
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__1-andando-normalmente/ann/00024.jpeg.json,1246.5349655151367,506.6002883911133,1313.966941833496,571.1732788085938
