ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00001.jpeg.json,1102.0872650146484,398.58705139160156,1365.9580535888672,681.4404754638672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00002.jpeg.json,1117.4926300048828,372.84303283691406,1400.5741729736328,654.4573211669922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00003.jpeg.json,1125.9185333251953,370.6737365722656,1402.5056915283203,643.4806213378906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00004.jpeg.json,1158.0066986083984,337.63673400878906,1435.9221649169922,620.9300994873047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00005.jpeg.json,1157.5611114501953,228.0731658935547,1444.0249786376953,541.4758453369141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00006.jpeg.json,1200.2393188476562,244.41287231445312,1441.8113708496094,578.3043518066406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00007.jpeg.json,1191.7660751342773,294.96409606933594,1445.2235794067383,610.6479034423828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00008.jpeg.json,1187.9828186035156,385.0502624511719,1463.8709716796875,654.7981262207031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00009.jpeg.json,1160.0551147460938,351.71295166015625,1440.7710876464844,641.8341674804688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00010.jpeg.json,1169.6588745117188,282.40431213378906,1437.6071472167969,615.5021820068359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00011.jpeg.json,1184.6610717773438,224.95130920410156,1441.8874206542969,575.9246673583984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00012.jpeg.json,1200.7147903442383,205.0809783935547,1451.2608261108398,533.6195831298828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00013.jpeg.json,1202.430290222168,295.2488250732422,1437.3716201782227,609.0756988525391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00014.jpeg.json,1144.5439987182617,361.4813232421875,1397.766944885254,644.7614135742188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00015.jpeg.json,1129.3002548217773,398.6535186767578,1382.3604202270508,652.7653045654297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00016.jpeg.json,1092.8988876342773,427.0188293457031,1347.4413528442383,677.9271545410156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00017.jpeg.json,1133.2225341796875,353.9986114501953,1373.3907165527344,630.3707122802734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00018.jpeg.json,1115.2174453735352,351.33170318603516,1363.1501998901367,605.8762435913086
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__11-sentando-com-casaco-na-cadeira/ann/00019.jpeg.json,1162.304313659668,374.5396270751953,1398.3229141235352,636.7902679443359
