ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__14-polichinelo-no-escuro/ann/00001.jpeg.json,393.7303009033203,5.262725830078125,671.6060028076172,242.75668334960938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__14-polichinelo-no-escuro/ann/00002.jpeg.json,393.16583251953125,5.6623382568359375,671.9924926757812,242.52308654785156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__14-polichinelo-no-escuro/ann/00003.jpeg.json,393.74134826660156,5.642219543457031,671.5977630615234,242.15013885498047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__14-polichinelo-no-escuro/ann/00004.jpeg.json,393.4886474609375,5.617851257324219,672.141357421875,242.98957061767578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__14-polichinelo-no-escuro/ann/00005.jpeg.json,394.1034698486328,5.847282409667969,672.2633514404297,243.41248321533203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__14-polichinelo-no-escuro/ann/00006.jpeg.json,394.37213134765625,6.146278381347656,672.1615600585938,242.66829681396484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__14-polichinelo-no-escuro/ann/00007.jpeg.json,394.0708770751953,7.514198303222656,672.8870086669922,242.07503509521484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__14-polichinelo-no-escuro/ann/00008.jpeg.json,392.0,9.0,678.0,246.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__14-polichinelo-no-escuro/ann/00009.jpeg.json,393.68121337890625,7.624443054199219,673.1126098632812,241.78998565673828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__14-polichinelo-no-escuro/ann/00010.jpeg.json,393.927001953125,6.475250244140625,672.82080078125,242.23995971679688
