ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00001.jpeg.json,1051.156660079956,730.806282043457,1109.2204303741455,845.6948318481445
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00002.jpeg.json,1049.3940544128418,727.1993637084961,1107.9935035705566,846.6827926635742
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00003.jpeg.json,1047.9858150482178,717.3844909667969,1102.8790073394775,844.2952117919922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00004.jpeg.json,1049.4479675292969,721.1809158325195,1104.0692901611328,844.894416809082
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00005.jpeg.json,1048.6112022399902,719.5941162109375,1103.2085456848145,844.7188262939453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00006.jpeg.json,1049.2091083526611,721.3836059570312,1104.9183177947998,845.0102691650391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00007.jpeg.json,1049.2705173492432,722.1496963500977,1105.9105892181396,844.2711563110352
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00008.jpeg.json,1045.4291496276855,719.5802917480469,1110.3365516662598,845.8531646728516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00009.jpeg.json,1050.1359024047852,718.2490882873535,1110.1784744262695,844.9437980651855
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00010.jpeg.json,1050.0501880645752,722.3692283630371,1110.589994430542,845.4046516418457
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00011.jpeg.json,1049.6662940979004,716.0691223144531,1105.6725578308105,844.1986541748047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00012.jpeg.json,1050.5993118286133,719.1156463623047,1106.205940246582,844.5398254394531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00013.jpeg.json,1048.5596675872803,719.7713203430176,1106.29026222229,844.0412864685059
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__15-apoio-de-frente-escuro/ann/00014.jpeg.json,1047.487148284912,720.6590003967285,1109.7302742004395,845.1182975769043
