ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__17-flexao-com-pesos-no-escuro/ann/00001.jpeg.json,478.7533721923828,55.91163635253906,689.7090911865234,394.02037048339844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__17-flexao-com-pesos-no-escuro/ann/00002.jpeg.json,531.1054306030273,106.45455932617188,701.6102066040039,393.8732604980469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__17-flexao-com-pesos-no-escuro/ann/00003.jpeg.json,529.9646987915039,80.4609375,695.6656723022461,391.2781982421875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__17-flexao-com-pesos-no-escuro/ann/00004.jpeg.json,529.562629699707,89.61595153808594,688.3199996948242,387.4351348876953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__17-flexao-com-pesos-no-escuro/ann/00005.jpeg.json,516.2109909057617,66.58370971679688,697.0604934692383,386.4628601074219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__17-flexao-com-pesos-no-escuro/ann/00006.jpeg.json,534.1216583251953,107.01470947265625,692.0793914794922,394.6337890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__17-flexao-com-pesos-no-escuro/ann/00007.jpeg.json,519.4829330444336,71.8753662109375,699.4630508422852,386.76214599609375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__17-flexao-com-pesos-no-escuro/ann/00008.jpeg.json,519.4837951660156,70.93919372558594,686.3316345214844,388.24501037597656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__17-flexao-com-pesos-no-escuro/ann/00009.jpeg.json,532.8712844848633,88.99026489257812,699.3762741088867,395.7075500488281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__17-flexao-com-pesos-no-escuro/ann/00010.jpeg.json,531.4274978637695,104.62181091308594,708.784049987793,389.9230499267578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__17-flexao-com-pesos-no-escuro/ann/00011.jpeg.json,512.1851119995117,60.62321472167969,690.6702346801758,382.78456115722656
