ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00001.jpeg.json,989.3231353759766,379.5109558105469,1389.452621459961,704.0221252441406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00002.jpeg.json,988.8451385498047,415.9441375732422,1327.7863311767578,837.3180694580078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00003.jpeg.json,984.7389831542969,400.27394104003906,1344.9363098144531,707.7418060302734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00004.jpeg.json,989.3760070800781,410.43597412109375,1370.9689636230469,837.7022094726562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00005.jpeg.json,988.1273040771484,410.88340759277344,1369.186294555664,793.6078033447266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00006.jpeg.json,1009.4789581298828,379.4580993652344,1419.7485809326172,699.5519104003906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00007.jpeg.json,978.0893707275391,356.7811737060547,1430.5494232177734,688.4572296142578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00008.jpeg.json,990.5430603027344,423.30491638183594,1426.2121887207031,842.5913238525391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00009.jpeg.json,992.0673675537109,387.16339111328125,1275.972427368164,841.7736206054688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00010.jpeg.json,984.9390258789062,375.6419219970703,1304.3622436523438,712.0869598388672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00011.jpeg.json,986.2481079101562,418.88201904296875,1416.0703735351562,769.9921264648438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00012.jpeg.json,991.6455535888672,408.9073486328125,1344.1109161376953,844.47509765625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00013.jpeg.json,989.8648071289062,390.8070373535156,1251.8566284179688,837.4421081542969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00014.jpeg.json,978.1229400634766,399.12774658203125,1322.971664428711,689.7173461914062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00015.jpeg.json,1030.342056274414,489.73439025878906,1463.393783569336,850.2477874755859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00016.jpeg.json,980.4607543945312,384.8168640136719,1344.5100708007812,664.0323791503906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00017.jpeg.json,992.7855224609375,410.0090789794922,1372.613525390625,830.8593292236328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00018.jpeg.json,988.48291015625,385.20184326171875,1321.904296875,717.6373901367188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00019.jpeg.json,996.1061859130859,377.6808319091797,1310.0748443603516,847.9062042236328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00020.jpeg.json,991.4533386230469,411.5213165283203,1385.2069396972656,799.5007781982422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00021.jpeg.json,982.5266418457031,370.5033416748047,1389.2238464355469,676.2303009033203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00022.jpeg.json,981.9441375732422,390.70330810546875,1406.3523712158203,680.5593872070312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00023.jpeg.json,992.4786071777344,377.5258483886719,1325.7063293457031,842.2716369628906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00024.jpeg.json,984.2609558105469,414.4543914794922,1411.3855285644531,689.6132354736328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00025.jpeg.json,977.9495544433594,412.18260192871094,1359.9070129394531,817.7111968994141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00026.jpeg.json,994.2052459716797,391.8424377441406,1319.4732208251953,843.5502624511719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00027.jpeg.json,985.9658508300781,391.8147277832031,1422.7124938964844,689.8359069824219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00028.jpeg.json,988.4630126953125,387.9666290283203,1350.3809814453125,805.2789764404297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00029.jpeg.json,986.3937683105469,386.50445556640625,1407.6741027832031,673.3450317382812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00030.jpeg.json,999.5457000732422,397.2803649902344,1446.8589630126953,772.3692932128906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00031.jpeg.json,1009.58447265625,425.3487548828125,1439.8194580078125,754.9866943359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00032.jpeg.json,988.295654296875,401.99267578125,1366.318115234375,664.54345703125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00033.jpeg.json,995.9350280761719,422.33766174316406,1386.7815246582031,848.4140472412109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00034.jpeg.json,987.3235626220703,409.3166961669922,1370.1986541748047,726.6944122314453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00035.jpeg.json,983.70703125,380.1119384765625,1352.7752685546875,725.2095947265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00036.jpeg.json,990.2491760253906,401.85975646972656,1298.2448425292969,829.9516448974609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00037.jpeg.json,984.9228973388672,385.6081085205078,1296.3213653564453,693.0767059326172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00038.jpeg.json,984.4062652587891,408.5403289794922,1382.4827728271484,682.5512237548828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00039.jpeg.json,989.7339324951172,417.6171569824219,1351.9438018798828,838.0382385253906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00040.jpeg.json,986.7209320068359,423.7225646972656,1404.272720336914,716.9253845214844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00041.jpeg.json,985.7514801025391,426.06105041503906,1457.6780853271484,715.6635589599609
