ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00001.jpeg.json,1019.2688827514648,437.76927185058594,1232.7733535766602,771.9640045166016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00002.jpeg.json,998.6757049560547,432.57164001464844,1227.242202758789,701.8114166259766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00003.jpeg.json,1009.2174224853516,439.495849609375,1259.8202362060547,771.5723876953125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00004.jpeg.json,1017.2117462158203,450.4993896484375,1249.440170288086,824.635498046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00005.jpeg.json,1030.5358276367188,466.6211395263672,1281.873779296875,834.5711212158203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00006.jpeg.json,1027.5563430786133,454.16795349121094,1258.409538269043,828.5899810791016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00007.jpeg.json,1026.834457397461,455.303955078125,1266.8164825439453,837.1722412109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00008.jpeg.json,1030.2159729003906,528.0216064453125,1269.3158264160156,866.7701416015625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00009.jpeg.json,1018.8677978515625,439.41517639160156,1233.5827026367188,784.3896331787109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00010.jpeg.json,1027.0961532592773,434.8353271484375,1245.512794494629,785.8231201171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00011.jpeg.json,1025.5047149658203,448.32041931152344,1243.9854583740234,823.1657867431641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00012.jpeg.json,989.2911071777344,440.65179443359375,1261.3197937011719,736.6932983398438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00013.jpeg.json,1035.256202697754,452.88885498046875,1253.6982040405273,830.4557495117188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00014.jpeg.json,1024.7404861450195,454.4664001464844,1269.3671188354492,830.9886779785156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00015.jpeg.json,1029.1633377075195,452.6735534667969,1245.9832077026367,835.3584289550781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00016.jpeg.json,999.8169860839844,438.8642578125,1249.1487731933594,734.6182861328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00017.jpeg.json,1023.8957824707031,444.34332275390625,1250.5263977050781,828.3034057617188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00018.jpeg.json,1013.5767822265625,446.85809326171875,1235.6815795898438,828.5501098632812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00019.jpeg.json,1027.9132843017578,464.8738098144531,1252.967025756836,850.1144714355469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00020.jpeg.json,1016.9647750854492,453.4828338623047,1235.890266418457,831.5825958251953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00021.jpeg.json,1013.7717056274414,458.7945098876953,1243.2170028686523,830.5408172607422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00022.jpeg.json,1031.5988388061523,464.6891632080078,1269.434425354004,844.7227020263672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00023.jpeg.json,1030.433853149414,447.5036926269531,1259.6836395263672,842.2436218261719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00024.jpeg.json,1032.061866760254,449.8810119628906,1249.3842391967773,837.6276550292969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00025.jpeg.json,1034.5965194702148,451.3574981689453,1244.008399963379,844.8359832763672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00026.jpeg.json,1025.7803802490234,458.0127258300781,1248.7520294189453,842.0747985839844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00027.jpeg.json,1023.6930694580078,453.24639892578125,1242.667709350586,840.3246459960938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00028.jpeg.json,1038.5654220581055,445.074951171875,1238.3305130004883,852.4410400390625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00029.jpeg.json,1028.9220581054688,445.05291748046875,1235.69482421875,824.4736938476562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00030.jpeg.json,1034.0030517578125,460.213623046875,1258.3234252929688,851.7850341796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00031.jpeg.json,1042.0649642944336,443.0220489501953,1239.3386611938477,838.5864715576172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00032.jpeg.json,1026.9855117797852,445.9170837402344,1241.049461364746,826.9613342285156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00033.jpeg.json,1024.1423950195312,444.04139709472656,1233.2471923828125,825.3254241943359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00034.jpeg.json,1045.9042434692383,462.5406494140625,1242.532829284668,848.5567626953125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__26-teste-camisa-com-botoes/ann/00035.jpeg.json,1020.9524383544922,435.52101135253906,1244.880142211914,775.0984954833984
