ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00001.jpeg.json,1003.5946960449219,462.22413635253906,1399.2090148925781,709.3921966552734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00002.jpeg.json,1004.6526489257812,459.8510437011719,1388.6780395507812,718.0248107910156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00003.jpeg.json,1003.1074523925781,462.3933563232422,1402.6593933105469,710.4042510986328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00004.jpeg.json,999.0957183837891,463.9219055175781,1403.9993743896484,712.1871032714844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00005.jpeg.json,1003.9228057861328,463.77867126464844,1400.0391082763672,712.0117340087891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00006.jpeg.json,1000.3346252441406,464.6107177734375,1398.0680847167969,719.1640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00007.jpeg.json,1011.4691162109375,463.3684768676758,1403.794189453125,718.4447555541992
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00008.jpeg.json,1003.0567016601562,462.7462615966797,1398.2157592773438,719.6140899658203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00009.jpeg.json,1008.7494812011719,463.19596099853516,1402.7471008300781,715.6031112670898
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00010.jpeg.json,1005.4260101318359,463.35308837890625,1397.323257446289,716.5200805664062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00011.jpeg.json,1008.2561950683594,463.51195526123047,1399.2638244628906,715.6906814575195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00012.jpeg.json,1000.4804382324219,460.7337341308594,1386.3589172363281,725.9630432128906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00013.jpeg.json,1007.5274505615234,462.59486389160156,1409.2640533447266,712.0364837646484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00014.jpeg.json,1003.7673645019531,463.0503234863281,1405.6075134277344,718.6423034667969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00015.jpeg.json,1014.4591217041016,460.64862060546875,1405.670639038086,714.8189086914062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00016.jpeg.json,996.6864013671875,466.37945556640625,1406.2236328125,720.8169555664062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00017.jpeg.json,1016.2908325195312,459.73358154296875,1399.4620971679688,718.6356811523438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00018.jpeg.json,1002.3768310546875,461.1246337890625,1396.4149169921875,712.694580078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00019.jpeg.json,994.8064270019531,460.19956970214844,1384.2225036621094,724.4893951416016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00020.jpeg.json,1005.9158935546875,463.8440628051758,1402.0548095703125,707.1510543823242
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00021.jpeg.json,998.9794311523438,465.3959503173828,1399.0556030273438,714.6376190185547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00022.jpeg.json,1006.6780700683594,462.87622833251953,1401.8734436035156,714.343376159668
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00023.jpeg.json,999.6100463867188,466.0763397216797,1398.5093383789062,710.0390167236328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00024.jpeg.json,1000.7311553955078,464.6444091796875,1393.8992156982422,716.78564453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00025.jpeg.json,1004.8938293457031,465.8746643066406,1397.2952575683594,713.7382507324219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00026.jpeg.json,1008.0368347167969,457.69822692871094,1382.0432434082031,725.1120758056641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00027.jpeg.json,1000.2050170898438,463.43843841552734,1407.4201049804688,694.9822158813477
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00028.jpeg.json,999.6455535888672,465.9305725097656,1401.5285186767578,713.8984069824219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00029.jpeg.json,1014.2723693847656,464.2704315185547,1405.2091979980469,714.8407745361328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00030.jpeg.json,1010.8914947509766,459.37779235839844,1391.017074584961,729.6425933837891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00031.jpeg.json,1005.3640289306641,460.18853759765625,1395.332015991211,711.6697387695312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00032.jpeg.json,1001.812744140625,460.5813980102539,1395.1138916015625,706.6659164428711
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00033.jpeg.json,997.0269012451172,460.6207580566406,1391.6950225830078,716.7406921386719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00034.jpeg.json,1008.4729309082031,464.21705627441406,1407.6147155761719,708.3795013427734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00035.jpeg.json,1005.5423736572266,463.9817199707031,1394.7571868896484,724.0717468261719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00036.jpeg.json,1006.2009887695312,464.67250061035156,1399.8303833007812,714.7165374755859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00037.jpeg.json,1002.7848205566406,464.33570098876953,1395.2347106933594,714.309928894043
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00038.jpeg.json,1001.3884582519531,466.9820098876953,1404.7184753417969,710.5741424560547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00039.jpeg.json,1006.5156707763672,464.87010955810547,1405.1206817626953,720.842170715332
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00040.jpeg.json,1006.2352905273438,464.7547149658203,1403.7009887695312,712.8638153076172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00041.jpeg.json,1006.5753936767578,464.13702392578125,1403.2007293701172,719.3921508789062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00042.jpeg.json,1005.7666015625,465.32894134521484,1404.251708984375,711.9845352172852
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00043.jpeg.json,1004.3050689697266,464.626220703125,1398.843978881836,721.68310546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00044.jpeg.json,1003.5587158203125,465.85681915283203,1401.857421875,711.820182800293
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00045.jpeg.json,1002.2361907958984,464.59461212158203,1399.2418365478516,717.4699630737305
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00046.jpeg.json,1005.0922698974609,461.48683166503906,1390.629898071289,716.7153167724609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00047.jpeg.json,996.4627227783203,465.17237091064453,1399.5085906982422,705.960807800293
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00048.jpeg.json,998.4351501464844,465.6405792236328,1401.0691223144531,711.6571502685547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00049.jpeg.json,1002.1087646484375,465.42688751220703,1401.2083740234375,710.931022644043
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00050.jpeg.json,998.7290191650391,468.6821746826172,1399.7972259521484,717.8964385986328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00051.jpeg.json,1010.4026794433594,465.89380645751953,1399.4502258300781,716.032341003418
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00052.jpeg.json,998.3099670410156,471.5409393310547,1407.6468200683594,710.4694366455078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00053.jpeg.json,1012.3553771972656,461.09974670410156,1395.0789489746094,724.5031585693359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00054.jpeg.json,999.6330108642578,468.2725296020508,1404.6226043701172,704.7097702026367
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00055.jpeg.json,1012.5915222167969,463.9222183227539,1398.8069152832031,719.6554183959961
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00056.jpeg.json,1000.5968780517578,466.2313766479492,1396.5635223388672,712.7891311645508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00057.jpeg.json,1003.1870574951172,466.3117141723633,1396.9738311767578,711.5253219604492
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00058.jpeg.json,1000.1064910888672,469.2994689941406,1398.3617706298828,709.2886657714844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00059.jpeg.json,1008.6617126464844,463.5494842529297,1395.6770324707031,720.9503936767578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00060.jpeg.json,1005.4473876953125,462.8432312011719,1394.1890869140625,714.4884338378906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00061.jpeg.json,1001.4653015136719,461.4773178100586,1395.7200012207031,714.8572769165039
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00062.jpeg.json,1007.7491912841797,465.08489990234375,1396.3068389892578,705.9743041992188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00063.jpeg.json,1000.7089385986328,460.3490753173828,1390.8163299560547,730.6731414794922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00064.jpeg.json,1009.1109313964844,465.2112350463867,1404.0242004394531,708.7637405395508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00065.jpeg.json,1006.7955169677734,460.61981201171875,1394.6920318603516,724.0554809570312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00066.jpeg.json,996.7880249023438,458.58917236328125,1380.9636840820312,725.3993530273438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00067.jpeg.json,1011.2496032714844,459.5525894165039,1400.6924133300781,709.0848617553711
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__27-polichinelo/ann/00068.jpeg.json,998.4363555908203,463.6565170288086,1391.8324432373047,715.0025405883789
