ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00001.jpeg.json,976.1691703796387,314.2017135620117,1083.9667778015137,424.1581039428711
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00002.jpeg.json,980.1297340393066,315.17342376708984,1095.8750801086426,424.80321502685547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00003.jpeg.json,978.0521926879883,314.09215545654297,1096.7786712646484,424.74828338623047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00004.jpeg.json,978.7624855041504,312.19910049438477,1098.8704414367676,424.9850273132324
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00005.jpeg.json,976.5608177185059,315.0068130493164,1087.7587852478027,430.32288360595703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00006.jpeg.json,979.1151084899902,308.9418487548828,1084.6480674743652,423.61700439453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00007.jpeg.json,977.886116027832,312.1063003540039,1089.2188262939453,423.6881790161133
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00008.jpeg.json,975.786678314209,311.42317962646484,1082.6280784606934,425.39815521240234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00009.jpeg.json,979.8054237365723,313.5245170593262,1089.68111038208,423.63708877563477
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00010.jpeg.json,979.4959754943848,311.7155418395996,1094.637622833252,423.0021553039551
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00011.jpeg.json,975.8900108337402,312.6523094177246,1098.7727317810059,423.6839790344238
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00012.jpeg.json,978.0801048278809,307.2061767578125,1101.9796409606934,429.7235870361328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00013.jpeg.json,985.2787322998047,329.3822898864746,1103.9363174438477,455.7632026672363
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00014.jpeg.json,977.819408416748,315.06921768188477,1110.0000114440918,425.3490409851074
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00015.jpeg.json,974.1575050354004,314.3188362121582,1100.2806587219238,424.685359954834
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00016.jpeg.json,974.2693862915039,314.57143783569336,1099.7559051513672,426.6632881164551
