ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00001.jpeg.json,1181.6630020141602,177.22103881835938,1304.647117614746,319.0218200683594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00002.jpeg.json,1176.346580505371,171.59212493896484,1312.708106994629,306.79337310791016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00003.jpeg.json,1183.2601356506348,172.96514892578125,1305.877498626709,310.24688720703125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00004.jpeg.json,1192.7315292358398,168.5414047241211,1322.7280960083008,294.4631118774414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00005.jpeg.json,1196.8770446777344,154.35195541381836,1356.3414916992188,267.0151710510254
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00006.jpeg.json,1161.8821029663086,156.83866119384766,1300.8909378051758,305.7046127319336
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00007.jpeg.json,1175.271469116211,179.03150939941406,1297.873275756836,322.48915100097656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00008.jpeg.json,1180.7141723632812,174.95439910888672,1301.7081298828125,312.4791030883789
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00009.jpeg.json,1191.064281463623,168.42827987670898,1312.1642951965332,288.17331314086914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00010.jpeg.json,1174.2801895141602,158.69322967529297,1306.4126205444336,296.2175064086914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00011.jpeg.json,1179.1510467529297,164.36382293701172,1315.9212799072266,301.99503326416016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00012.jpeg.json,1176.5019073486328,164.37020111083984,1311.6177825927734,312.5634231567383
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00013.jpeg.json,1162.233383178711,168.83309936523438,1302.299819946289,316.41412353515625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00014.jpeg.json,1160.3348922729492,158.74349212646484,1302.1480178833008,307.47632598876953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00015.jpeg.json,1165.4765930175781,164.5686798095703,1306.5807189941406,307.90357971191406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00016.jpeg.json,1173.0619888305664,171.9245834350586,1303.6167221069336,310.48426055908203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00017.jpeg.json,1193.987392425537,166.73058700561523,1319.4727821350098,287.1897315979004
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00018.jpeg.json,1180.8393173217773,162.91675567626953,1312.298957824707,294.06258392333984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00019.jpeg.json,1172.904525756836,158.2693862915039,1305.7015838623047,301.3882369995117
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00020.jpeg.json,1171.8228607177734,152.5089874267578,1310.6554412841797,287.58900451660156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00021.jpeg.json,1163.9700012207031,158.22832870483398,1303.5463256835938,284.86886978149414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00022.jpeg.json,1166.4317016601562,163.4539451599121,1304.0451049804688,282.48938369750977
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00023.jpeg.json,1202.0735626220703,159.85723876953125,1325.8509674072266,284.2327880859375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00024.jpeg.json,1192.7111587524414,164.62899780273438,1327.473014831543,288.99847412109375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00025.jpeg.json,1196.858039855957,151.37999725341797,1322.9087753295898,285.5708999633789
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00026.jpeg.json,1190.7600326538086,153.16656494140625,1322.6015701293945,286.2430114746094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00027.jpeg.json,1183.1864547729492,151.00747680664062,1318.4595108032227,291.84808349609375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00028.jpeg.json,1175.1400756835938,157.34934997558594,1333.2602233886719,289.4083709716797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00029.jpeg.json,1199.729263305664,147.83702850341797,1356.0519561767578,282.49369049072266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00030.jpeg.json,1160.452018737793,152.64613342285156,1305.1164321899414,294.29701232910156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00031.jpeg.json,1183.8079986572266,155.15218353271484,1322.230697631836,288.1643753051758
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00032.jpeg.json,1154.8336791992188,152.99768829345703,1295.01123046875,289.14546966552734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00033.jpeg.json,1169.0375061035156,159.78480529785156,1301.0091857910156,301.2924346923828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00034.jpeg.json,1170.2959251403809,162.2864227294922,1296.6612281799316,301.3536834716797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00035.jpeg.json,1184.786849975586,163.85842895507812,1318.719009399414,299.89080810546875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00036.jpeg.json,1195.448143005371,157.59673309326172,1310.1535720825195,282.74756622314453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00037.jpeg.json,1192.1689071655273,154.52451705932617,1324.197364807129,273.3383369445801
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00038.jpeg.json,1189.5688247680664,155.48320770263672,1318.7515487670898,281.66065216064453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00039.jpeg.json,1189.1647262573242,149.63285064697266,1318.0114517211914,269.8126449584961
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00040.jpeg.json,1185.2163467407227,165.25848388671875,1319.0909957885742,302.88787841796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00041.jpeg.json,1175.6896286010742,161.24517059326172,1304.718360900879,290.62683868408203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00042.jpeg.json,1185.5962371826172,160.22507095336914,1323.2532501220703,284.58730697631836
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00043.jpeg.json,1166.5682525634766,155.46305084228516,1311.5753021240234,302.21236419677734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00044.jpeg.json,1161.7787399291992,155.95209503173828,1297.115852355957,294.33141326904297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00045.jpeg.json,1164.158462524414,153.1267204284668,1304.178726196289,271.84892654418945
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00046.jpeg.json,1189.5189476013184,149.5371856689453,1311.2942237854004,270.44557189941406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00047.jpeg.json,1170.3640594482422,155.06854629516602,1306.8043365478516,280.2626609802246
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00048.jpeg.json,1204.417552947998,147.58985900878906,1328.4609565734863,277.68775939941406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00049.jpeg.json,1174.1501388549805,153.7828712463379,1311.1048965454102,275.7228355407715
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__8-caindo-de-costas/ann/00050.jpeg.json,1181.5077819824219,157.4442596435547,1318.8331298828125,288.4995574951172
