ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00001.jpeg.json,712.6643981933594,286.2127990722656,993.1160583496094,561.8325500488281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00002.jpeg.json,717.1520385742188,272.1983947753906,992.593994140625,569.8850402832031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00003.jpeg.json,729.8314971923828,282.0989227294922,989.3488616943359,565.9531402587891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00004.jpeg.json,713.5021667480469,282.05322265625,989.0446472167969,568.0319213867188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00005.jpeg.json,710.7302093505859,279.29576110839844,987.1497344970703,570.9022979736328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00006.jpeg.json,725.7448883056641,281.49644470214844,993.2841033935547,573.8266143798828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00007.jpeg.json,721.4066162109375,272.38783264160156,972.8800659179688,560.0738983154297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00008.jpeg.json,789.3837509155273,293.5265350341797,994.1310195922852,567.8168487548828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00009.jpeg.json,731.8964233398438,284.8257751464844,997.0861206054688,573.9153137207031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__20-entrar-agachar-e-para-no-escuro/ann/00010.jpeg.json,746.1007690429688,272.32493591308594,991.4396362304688,569.5460357666016
