ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00001.jpeg.json,104.30121231079102,431.26634979248047,197.49920272827148,532.6651992797852
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00002.jpeg.json,104.59859848022461,431.29532623291016,197.33746719360352,532.6094284057617
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00003.jpeg.json,104.72808456420898,430.78269958496094,197.01266860961914,532.4993133544922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00004.jpeg.json,104.46760559082031,431.42298126220703,196.85008239746094,532.9797592163086
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00005.jpeg.json,104.61583709716797,431.2034378051758,196.05768585205078,533.0030136108398
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00006.jpeg.json,104.41767120361328,431.31591033935547,196.17382049560547,532.8386917114258
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00007.jpeg.json,104.6464958190918,431.2086715698242,195.94398880004883,533.0049819946289
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00008.jpeg.json,104.4594612121582,431.3455619812012,195.95493698120117,532.947681427002
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00009.jpeg.json,104.00859451293945,431.7666435241699,196.1723747253418,532.6422920227051
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00010.jpeg.json,104.46709060668945,430.97597885131836,195.62577438354492,532.7183570861816
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00011.jpeg.json,103.90174865722656,431.2972183227539,195.8566131591797,532.4576950073242
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00012.jpeg.json,103.81435775756836,431.4018211364746,195.7982521057129,532.4555702209473
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00013.jpeg.json,103.98988342285156,431.04572677612305,195.48658752441406,533.0129585266113
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00014.jpeg.json,100.0,434.0,199.0,531.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00015.jpeg.json,103.87581253051758,431.18543243408203,195.65952682495117,532.8339157104492
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00016.jpeg.json,103.70164108276367,431.5366973876953,196.02995681762695,532.2163543701172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00017.jpeg.json,104.0362663269043,431.71068572998047,195.8452033996582,532.4433059692383
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00018.jpeg.json,106.0,432.0,196.0,534.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00019.jpeg.json,106.07612609863281,432.6703872680664,196.37144470214844,531.9208602905273
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00020.jpeg.json,106.4925651550293,432.53601455688477,196.67403030395508,531.6756553649902
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00021.jpeg.json,106.39427185058594,432.944580078125,196.6100616455078,531.5272521972656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00022.jpeg.json,106.8105239868164,432.6679382324219,196.98360443115234,531.5996398925781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00023.jpeg.json,106.6902847290039,432.8092269897461,196.8296127319336,531.777473449707
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00024.jpeg.json,106.555908203125,432.87246322631836,196.77151489257812,531.8763465881348
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00025.jpeg.json,106.41755676269531,432.95441818237305,196.6451873779297,532.0255012512207
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00026.jpeg.json,106.28159713745117,433.0623970031738,196.53190994262695,532.1580924987793
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00027.jpeg.json,106.99263381958008,432.5909080505371,196.9589958190918,531.5873756408691
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00028.jpeg.json,107.25414276123047,432.1839027404785,197.44889068603516,531.6378440856934
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__3-deitando-nas-cadeiras/ann/00029.jpeg.json,106.49293518066406,432.9594268798828,197.30589294433594,532.2482147216797
