ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00001.jpeg.json,105.0,422.0,199.0,527.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00002.jpeg.json,105.0,422.0,199.0,527.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00003.jpeg.json,105.0,423.0,199.0,527.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00004.jpeg.json,105.0,421.0,199.0,528.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00005.jpeg.json,97.50903701782227,428.7184753417969,204.5426902770996,521.2283630371094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00006.jpeg.json,97.62179946899414,428.92026138305664,203.6166648864746,521.8928489685059
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00007.jpeg.json,97.93207168579102,428.3935012817383,203.1779441833496,521.5175704956055
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00008.jpeg.json,97.76962280273438,428.5948791503906,202.71920776367188,521.3431091308594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00009.jpeg.json,97.93040084838867,428.7362594604492,202.33412551879883,521.7588272094727
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00010.jpeg.json,98.16926956176758,428.64661407470703,202.63334274291992,521.5795211791992
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00011.jpeg.json,98.74322509765625,428.4552574157715,202.48165893554688,521.5140419006348
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00012.jpeg.json,98.62474060058594,429.258602142334,202.44554138183594,521.8431129455566
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00013.jpeg.json,98.52942276000977,428.48005294799805,202.42480087280273,521.3042793273926
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00014.jpeg.json,98.53848266601562,429.1789321899414,202.47885131835938,521.6808395385742
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00015.jpeg.json,98.06070327758789,429.6489601135254,202.65130233764648,521.814754486084
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00016.jpeg.json,98.1600112915039,429.0067138671875,202.5376205444336,521.7955627441406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00017.jpeg.json,98.64757537841797,428.91062927246094,202.67972564697266,521.9089813232422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00018.jpeg.json,98.01723861694336,429.4475288391113,202.91803359985352,521.8340263366699
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00019.jpeg.json,98.20174026489258,428.5248794555664,203.1390495300293,521.121452331543
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00020.jpeg.json,98.52202606201172,428.9497375488281,202.63516998291016,521.6020202636719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00021.jpeg.json,98.3804931640625,428.7291717529297,202.6199951171875,521.3019256591797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00022.jpeg.json,98.30939865112305,428.4138984680176,202.56267166137695,521.1205253601074
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00023.jpeg.json,98.42811584472656,428.98904037475586,202.5089569091797,521.6397438049316
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00024.jpeg.json,98.3576774597168,428.42226791381836,202.69536209106445,521.3828468322754
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00025.jpeg.json,97.740966796875,428.8723793029785,202.74200439453125,521.289608001709
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00026.jpeg.json,98.33680725097656,428.5597114562988,202.73451232910156,521.5217704772949
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00027.jpeg.json,97.88238143920898,428.79638671875,202.72241592407227,521.5061340332031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00028.jpeg.json,97.99249649047852,428.01388931274414,202.6601219177246,521.2206687927246
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00029.jpeg.json,98.31421279907227,428.3268394470215,202.46316146850586,521.5324440002441
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00030.jpeg.json,98.73122787475586,427.97008514404297,202.73523330688477,521.5661392211914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00031.jpeg.json,98.83080673217773,428.3353691101074,202.7494239807129,521.8003730773926
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00032.jpeg.json,98.30669021606445,428.5021514892578,202.84727096557617,521.7357635498047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00033.jpeg.json,98.33136367797852,427.7518653869629,202.74648666381836,521.2840843200684
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00034.jpeg.json,98.54581451416016,428.29222869873047,202.66368865966797,521.448616027832
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00035.jpeg.json,98.20794296264648,429.1266288757324,202.96530532836914,521.1065254211426
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00036.jpeg.json,98.52659225463867,428.5091247558594,202.79408645629883,520.949462890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00037.jpeg.json,98.73661422729492,429.13458251953125,202.6878547668457,521.6443481445312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00038.jpeg.json,98.2022476196289,429.7752113342285,202.98531341552734,521.5868492126465
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00039.jpeg.json,98.49433135986328,428.8608818054199,202.8286361694336,521.7118110656738
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00040.jpeg.json,98.13946151733398,429.48107528686523,203.05905532836914,521.4375648498535
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00041.jpeg.json,98.43739318847656,428.7562789916992,202.84922790527344,521.4121170043945
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00042.jpeg.json,98.15670013427734,429.25042724609375,203.0230484008789,521.2525329589844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00043.jpeg.json,98.53256607055664,428.5259666442871,202.7832908630371,521.2310523986816
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00044.jpeg.json,102.0,389.0,202.0,525.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00045.jpeg.json,102.0,389.0,202.0,525.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00046.jpeg.json,103.0,388.0,201.0,525.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00047.jpeg.json,102.0,388.0,201.0,525.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__33-andar-agachado/ann/00048.jpeg.json,102.0,387.0,201.0,525.0
