ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00001.jpeg.json,1312.3743171691895,518.5230941772461,1369.06937789917,686.7911148071289
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00002.jpeg.json,1311.1718521118164,518.5124282836914,1370.5280380249023,695.7843246459961
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00003.jpeg.json,1309.762809753418,518.1278915405273,1373.8456802368164,701.7488174438477
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00004.jpeg.json,1307.7674598693848,516.7881011962891,1375.036708831787,712.2308197021484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00005.jpeg.json,1306.6290092468262,517.9754867553711,1375.153003692627,716.2988662719727
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00006.jpeg.json,1309.9009895324707,521.2177276611328,1377.4653434753418,709.4600067138672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00007.jpeg.json,1308.9039306640625,522.7763671875,1380.4208374023438,714.3092041015625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00008.jpeg.json,1308.0012817382812,520.1036376953125,1381.0344848632812,716.8795166015625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00009.jpeg.json,1307.5270385742188,523.9765319824219,1381.2322387695312,720.7378845214844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00010.jpeg.json,1307.1443176269531,518.1029663085938,1382.8128967285156,718.6896362304688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00011.jpeg.json,1305.1148986816406,517.0360946655273,1382.1557312011719,724.9524307250977
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00012.jpeg.json,1302.3940315246582,518.5399627685547,1383.426586151123,725.5117950439453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00013.jpeg.json,1305.5528564453125,516.8796463012695,1381.9913940429688,733.999137878418
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00014.jpeg.json,1306.8763427734375,517.5487899780273,1382.8524780273438,732.8449478149414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00015.jpeg.json,1306.650749206543,517.9255828857422,1383.4135208129883,730.8226470947266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00016.jpeg.json,1305.9506301879883,521.7920227050781,1381.294059753418,733.0184631347656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00017.jpeg.json,1305.097915649414,522.4794311523438,1383.868881225586,739.6735229492188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00018.jpeg.json,1306.4521217346191,519.3923034667969,1381.2656517028809,736.9259948730469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00019.jpeg.json,1308.237205505371,518.7033386230469,1380.891456604004,734.5398254394531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00020.jpeg.json,1308.1439094543457,518.5257568359375,1384.7533683776855,730.5413208007812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00021.jpeg.json,1306.3821144104004,521.5383758544922,1380.7238426208496,746.3733673095703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00022.jpeg.json,1308.416748046875,520.2180786132812,1382.6598510742188,736.05078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00023.jpeg.json,1306.485507965088,521.2384185791016,1383.8437156677246,744.2052459716797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00024.jpeg.json,1306.0730209350586,513.2773590087891,1383.3918838500977,747.4034271240234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00025.jpeg.json,1305.8162879943848,514.0348358154297,1380.222957611084,753.3446807861328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00026.jpeg.json,1308.2212753295898,516.0473175048828,1386.922950744629,754.1458587646484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00027.jpeg.json,1304.6512031555176,523.9275436401367,1379.27006149292,764.4201736450195
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__4-sentando-na-cadeira-com-gatinho/ann/00028.jpeg.json,1308.9508590698242,522.3755264282227,1382.995246887207,760.3711776733398
