ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00001.jpeg.json,106.0,429.0,197.0,533.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00002.jpeg.json,106.0,429.0,197.0,533.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00003.jpeg.json,106.0,429.0,197.0,532.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00004.jpeg.json,106.20191955566406,429.21669006347656,197.00904846191406,531.9919891357422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00005.jpeg.json,106.0,428.0,197.0,533.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00006.jpeg.json,106.0,428.0,197.0,533.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00007.jpeg.json,105.66618347167969,429.27993392944336,197.3871307373047,531.7832374572754
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00008.jpeg.json,105.38516235351562,429.23939514160156,197.06106567382812,531.3765106201172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00009.jpeg.json,105.09016418457031,429.49195861816406,197.2102813720703,531.1609039306641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00010.jpeg.json,105.00212478637695,429.6134490966797,197.15952682495117,531.1725311279297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00011.jpeg.json,104.98622131347656,429.5032386779785,197.0841522216797,531.2235374450684
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00012.jpeg.json,104.93761444091797,429.476806640625,196.99625396728516,531.1922302246094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00013.jpeg.json,105.82978057861328,429.353946685791,197.0379867553711,531.2214012145996
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00014.jpeg.json,105.94680786132812,429.8907241821289,197.38571166992188,531.407829284668
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00015.jpeg.json,105.6799201965332,429.9462127685547,197.09284591674805,531.2913360595703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00016.jpeg.json,105.30978012084961,430.1028633117676,196.95407485961914,531.2941398620605
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00017.jpeg.json,105.1164665222168,430.10610580444336,196.64363479614258,531.560733795166
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__5-sentando-no-chao/ann/00018.jpeg.json,105.76411056518555,430.0771369934082,197.11787796020508,531.8141288757324
