ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00001.jpeg.json,110.0,429.0,201.0,542.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00002.jpeg.json,110.0,429.0,201.0,542.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00003.jpeg.json,110.0,429.0,200.0,541.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00004.jpeg.json,110.0,429.0,200.0,542.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00005.jpeg.json,110.0,431.0,200.0,542.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00006.jpeg.json,106.72970962524414,434.8467216491699,203.58105087280273,535.4901313781738
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00007.jpeg.json,107.72725296020508,434.5669975280762,203.58097457885742,535.4995613098145
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00008.jpeg.json,109.0,431.0,200.0,542.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00009.jpeg.json,109.0,432.0,200.0,543.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00010.jpeg.json,106.48772811889648,435.0440330505371,202.61957168579102,538.1716346740723
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00011.jpeg.json,106.4064712524414,434.6873970031738,202.22383880615234,536.4922904968262
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00012.jpeg.json,108.0,432.0,202.0,542.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00013.jpeg.json,108.0,432.0,202.0,542.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00014.jpeg.json,108.0,432.0,202.0,541.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00015.jpeg.json,108.0,431.0,202.0,540.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00016.jpeg.json,107.0,428.0,205.0,545.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00017.jpeg.json,108.0,431.0,202.0,542.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00018.jpeg.json,106.0,428.0,205.0,545.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00019.jpeg.json,106.0,428.0,206.0,545.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00020.jpeg.json,107.0,428.0,205.0,544.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00021.jpeg.json,107.0,428.0,205.0,544.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00022.jpeg.json,106.0,428.0,205.0,543.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00023.jpeg.json,106.0,428.0,206.0,543.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00024.jpeg.json,108.0,429.0,203.0,542.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00025.jpeg.json,108.0,429.0,203.0,542.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00026.jpeg.json,108.0,429.0,203.0,542.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00027.jpeg.json,108.0,429.0,203.0,542.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00028.jpeg.json,108.0,429.0,203.0,541.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00029.jpeg.json,108.0,428.0,202.0,540.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00030.jpeg.json,107.0,428.0,203.0,541.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00031.jpeg.json,107.0,431.0,202.0,541.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00032.jpeg.json,108.0,429.0,202.0,541.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00033.jpeg.json,108.0,429.0,202.0,541.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00034.jpeg.json,108.0,428.0,202.0,540.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00035.jpeg.json,108.0,429.0,201.0,541.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_3__7-andando-com-anda-ja/ann/00036.jpeg.json,108.0,431.0,200.0,538.0
