ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00001.jpeg.json,326.53765869140625,735.3694000244141,922.7195434570312,1046.2129974365234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00002.jpeg.json,376.0899353027344,653.6582336425781,932.5270080566406,1049.9032897949219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00003.jpeg.json,298.48846435546875,587.8409881591797,923.8594360351562,1028.1082305908203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00004.jpeg.json,196.94692993164062,574.8818511962891,831.4190368652344,966.3488616943359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00005.jpeg.json,355.8644104003906,612.3197937011719,924.3169860839844,1038.1103820800781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00006.jpeg.json,304.3210754394531,605.3271331787109,926.7238464355469,1023.2805328369141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00007.jpeg.json,216.61923217773438,585.7377624511719,855.3990783691406,983.2190246582031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00008.jpeg.json,278.60626220703125,622.3831634521484,931.7252807617188,1020.4962310791016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00009.jpeg.json,186.7625732421875,548.3443450927734,748.4857177734375,947.5968170166016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00010.jpeg.json,305.5508728027344,627.3627166748047,924.6183166503906,1028.7935333251953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00011.jpeg.json,285.91644287109375,596.5357055664062,889.2461547851562,1004.7174682617188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00012.jpeg.json,213.60125732421875,569.1005249023438,753.7349243164062,950.9320678710938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00013.jpeg.json,217.19363403320312,570.6857147216797,752.7843933105469,961.4862823486328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__13-teste-da-camisa-de-botoes/ann/00014.jpeg.json,189.65667724609375,549.0912780761719,725.4447631835938,919.5231018066406
