ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00001.jpeg.json,100.53315734863281,552.9210205078125,245.18736267089844,698.6895751953125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00002.jpeg.json,86.96128845214844,541.1663360595703,240.9705352783203,690.9366302490234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00003.jpeg.json,95.20633697509766,550.5666122436523,241.0425033569336,710.8658828735352
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00004.jpeg.json,89.06092071533203,561.3732452392578,242.19951629638672,701.2530364990234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00005.jpeg.json,86.25958251953125,544.8088836669922,242.60675048828125,696.0546417236328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00006.jpeg.json,94.02967834472656,562.6607971191406,247.91111755371094,721.4853210449219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00007.jpeg.json,91.83027648925781,555.3109893798828,243.5266571044922,711.1931610107422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00008.jpeg.json,91.54336547851562,565.6958312988281,244.75778198242188,701.7651062011719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00009.jpeg.json,87.26359558105469,564.2432861328125,238.1430206298828,697.0440063476562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00010.jpeg.json,94.38790130615234,543.6920623779297,231.9137954711914,682.9434967041016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00011.jpeg.json,99.54633331298828,574.0527954101562,240.77947235107422,687.4109497070312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00012.jpeg.json,89.7587661743164,545.0509567260742,224.1852035522461,683.936164855957
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00013.jpeg.json,108.14960098266602,565.8632316589355,231.75567245483398,688.7116889953613
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00014.jpeg.json,100.75511169433594,557.0279350280762,232.5667266845703,684.4178352355957
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00015.jpeg.json,100.19865417480469,551.7181777954102,232.0052032470703,684.6172409057617
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00016.jpeg.json,109.12370300292969,563.828254699707,232.8378448486328,695.7014999389648
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00017.jpeg.json,103.7010269165039,556.0407257080078,232.81954193115234,691.1329498291016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00018.jpeg.json,104.36397552490234,565.8589782714844,233.05423736572266,695.1495666503906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_4__24-sentar-levantar-com-dificuldade-no-escuro/ann/00019.jpeg.json,99.73294067382812,561.0539398193359,233.19528198242188,691.4926910400391
