seq_label,img_name,confidence,class,x_min,y_min,x_max,y_max
person-1,00000001.jpg,1,person,456.0,346.0,659.0,631.0
person-1,00000002.jpg,1,person,455.76,330.23,648.73,615.31
person-1,00000003.jpg,1,person,454.06,312.18,645.8,595.5
person-1,00000004.jpg,1,person,454.58,293.58,645.25,577.46
person-1,00000005.jpg,1,person,458.34,278.07,649.07,564.08
person-1,00000006.jpg,1,person,460.01,265.2,652.45,549.93
person-1,00000007.jpg,1,person,462.88,253.96,658.65,539.56
person-1,00000008.jpg,1,person,468.05,245.81,665.28,527.82
person-1,00000009.jpg,1,person,476.41,235.17,672.47,519.78
person-1,00000010.jpg,1,person,483.21,228.51,679.63,513.68
person-1,00000011.jpg,1,person,494.51,219.51,688.26,504.46
person-1,00000012.jpg,1,person,498.23,212.5,694.88,498.61
person-1,00000013.jpg,1,person,503.8,203.26,700.19,494.47
person-1,00000014.jpg,1,person,509.74,203.84,706.17,489.81
person-1,00000015.jpg,1,person,514.86,201.53,709.77,488.65
person-1,00000016.jpg,1,person,517.04,200.49,708.5,489.48
person-1,00000017.jpg,1,person,517.39,203.03,708.65,491.99
person-1,00000018.jpg,1,person,511.94,207.3,705.82,496.81
person-1,00000019.jpg,1,person,513.63,211.47,707.49,501.94
person-1,00000020.jpg,1,person,510.94,219.96,705.07,508.88
person-1,00000021.jpg,1,person,513.54,230.11,705.56,518.86
person-1,00000022.jpg,1,person,517.9,245.26,710.21,538.58
person-1,00000023.jpg,1,person,514.96,251.04,710.15,544.16
person-1,00000024.jpg,1,person,516.05,253.97,710.46,550.93
person-1,00000025.jpg,1,person,514.78,254.94,709.46,553.41
person-1,00000026.jpg,1,person,512.73,258.92,709.4,558.05
person-1,00000027.jpg,1,person,517.79,260.22,710.32,559.37
person-1,00000028.jpg,1,person,515.47,258.44,708.93,557.82
person-1,00000029.jpg,1,person,514.65,256.77,710.23,560.59
person-1,00000030.jpg,1,person,516.27,256.66,707.72,560.7
person-1,00000031.jpg,1,person,518.26,254.86,705.53,558.35
person-1,00000032.jpg,1,person,510.68,252.2,701.12,557.85
person-1,00000033.jpg,1,person,509.09,252.3,697.98,555.23
person-1,00000034.jpg,1,person,508.35,250.0,698.76,556.06
person-1,00000035.jpg,1,person,510.06,247.87,697.67,553.13
person-1,00000036.jpg,1,person,506.19,245.97,698.81,551.93
person-1,00000037.jpg,1,person,508.74,243.88,697.03,549.78
person-1,00000038.jpg,1,person,505.96,241.6,695.86,549.74
person-1,00000039.jpg,1,person,504.85,240.96,694.39,547.75
person-1,00000040.jpg,1,person,502.24,239.81,693.33,547.03
person-1,00000041.jpg,1,person,506.25,237.76,692.0,545.9
person-1,00000042.jpg,1,person,500.42,235.65,690.31,544.78
person-1,00000043.jpg,1,person,506.17,235.84,689.93,543.55
person-1,00000044.jpg,1,person,494.48,232.89,687.47,541.7
person-1,00000045.jpg,1,person,502.36,232.9,687.75,540.89
person-1,00000046.jpg,1,person,495.56,231.46,685.23,542.45
person-1,00000047.jpg,1,person,486.61,235.68,683.35,542.58
person-1,00000048.jpg,1,person,493.83,236.27,682.05,541.43
person-1,00000049.jpg,1,person,493.05,238.74,680.77,545.77
person-1,00000050.jpg,1,person,488.22,240.73,679.11,547.16
person-1,00000051.jpg,1,person,498.85,243.24,679.96,548.37
person-1,00000052.jpg,1,person,494.13,244.72,680.55,549.58
person-1,00000053.jpg,1,person,496.46,247.75,682.86,550.8
person-1,00000054.jpg,1,person,496.73,253.54,682.29,552.76
person-1,00000055.jpg,1,person,499.11,259.92,685.27,553.39
person-1,00000056.jpg,1,person,498.58,264.01,686.21,553.42
person-1,00000057.jpg,1,person,500.52,267.08,688.09,556.51
person-1,00000058.jpg,1,person,499.97,269.08,687.88,556.92
person-1,00000059.jpg,1,person,498.6,273.71,686.22,558.99
person-1,00000060.jpg,1,person,495.38,275.09,686.21,562.6
person-1,00000061.jpg,1,person,493.96,278.7,686.32,563.76
person-1,00000062.jpg,1,person,494.95,276.87,685.68,561.46
person-1,00000063.jpg,1,person,494.25,277.77,686.87,560.9
person-1,00000064.jpg,1,person,494.11,279.25,687.15,563.15
person-1,00000065.jpg,1,person,494.64,282.68,686.89,561.77
person-1,00000066.jpg,1,person,496.57,281.29,689.75,561.08
person-1,00000067.jpg,1,person,498.31,278.41,690.66,560.92
person-1,00000068.jpg,1,person,497.78,276.45,693.89,559.55
person-1,00000069.jpg,1,person,499.58,269.45,695.92,557.9
person-1,00000070.jpg,1,person,502.82,260.6,696.28,556.05
person-1,00000071.jpg,1,person,504.83,251.89,698.87,558.29
person-1,00000072.jpg,1,person,505.16,240.79,703.99,556.68
person-1,00000073.jpg,1,person,507.66,229.43,706.15,555.88
person-1,00000074.jpg,1,person,513.11,216.38,703.09,553.57
person-1,00000075.jpg,1,person,520.36,196.4,701.16,557.08
person-1,00000076.jpg,1,person,518.79,184.55,701.4,555.71
person-1,00000077.jpg,1,person,519.24,160.18,702.18,553.75
person-1,00000078.jpg,1,person,517.53,147.53,703.59,555.61
person-1,00000079.jpg,1,person,526.07,137.78,702.47,553.97
person-1,00000080.jpg,1,person,528.69,130.6,698.45,555.83
person-1,00000081.jpg,1,person,533.23,121.67,697.67,559.56
person-1,00000082.jpg,1,person,539.43,110.62,695.63,560.12
person-1,00000083.jpg,1,person,541.5,107.17,692.47,564.92
person-1,00000084.jpg,1,person,543.14,96.39,691.97,569.81
person-1,00000085.jpg,1,person,549.54,95.48,687.6,572.7
person-1,00000086.jpg,1,person,549.96,97.29,688.91,580.27
