ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000001.jpg.json,585.0,283.0,695.0,608.0
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000002.jpg.json,574.64,283.27,691.85,603.68
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000003.jpg.json,570.38,283.46,691.92,604.1
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000004.jpg.json,569.87,284.09,693.56,604.04
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000005.jpg.json,567.0,284.27,692.63,604.08
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000006.jpg.json,567.84,283.95,693.14,604.2
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000007.jpg.json,568.27,283.65,691.73,604.04
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000008.jpg.json,569.68,284.23,689.75,604.61
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000009.jpg.json,572.53,284.4,689.02,604.78
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000010.jpg.json,578.1,283.3,688.91,604.84
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000011.jpg.json,578.07,282.92,687.99,604.81
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000012.jpg.json,580.12,283.4,684.97,605.51
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000013.jpg.json,581.92,284.36,684.59,606.76
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000014.jpg.json,585.26,283.93,685.75,605.35
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000015.jpg.json,586.02,284.29,682.66,605.71
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000016.jpg.json,587.72,284.28,684.75,605.96
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000017.jpg.json,588.6,285.02,682.98,605.08
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000018.jpg.json,588.31,283.83,682.6,604.99
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000019.jpg.json,587.93,284.9,681.55,605.92
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000020.jpg.json,586.91,284.3,681.66,605.0
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000021.jpg.json,586.28,284.49,680.53,605.15
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000022.jpg.json,584.8,283.72,680.55,604.01
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000023.jpg.json,580.79,283.94,679.05,603.97
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000024.jpg.json,579.24,283.75,680.23,604.02
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000025.jpg.json,574.84,283.99,679.72,603.96
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000026.jpg.json,572.4,283.06,679.53,602.18
/run/media/eduardo/SSD/Unifall/dataset/LaSOT/lasot_person/person-16/ann/00000027.jpg.json,571.25,282.26,680.88,602.71
