seq_label,img_name,confidence,class,x_min,y_min,x_max,y_max
person-18,00000001.jpg,1,person,136.0,8.0,173.0,131.0
person-18,00000002.jpg,1,person,135.96,5.96,173.85,129.67
person-18,00000003.jpg,1,person,136.03,8.14,173.13,130.37
person-18,00000004.jpg,1,person,136.26,7.61,173.61,130.21
person-18,00000005.jpg,1,person,135.71,11.5,172.3,130.98
person-18,00000006.jpg,1,person,135.01,10.62,171.62,130.37
person-18,00000007.jpg,1,person,133.01,11.54,170.32,130.97
person-18,00000008.jpg,1,person,133.03,11.45,169.8,131.28
person-18,00000009.jpg,1,person,131.1,12.35,168.19,131.4
person-18,00000010.jpg,1,person,131.02,12.33,168.02,131.34
person-18,00000011.jpg,1,person,127.89,11.03,165.33,131.91
person-18,00000012.jpg,1,person,128.18,12.26,165.74,131.25
person-18,00000013.jpg,1,person,124.54,11.13,163.09,131.53
person-18,00000014.jpg,1,person,124.65,12.9,163.67,131.3
person-18,00000015.jpg,1,person,121.58,12.31,160.16,131.78
person-18,00000016.jpg,1,person,121.87,12.14,160.53,131.26
person-18,00000017.jpg,1,person,118.16,13.61,157.37,131.51
person-18,00000018.jpg,1,person,117.81,12.78,157.22,131.72
person-18,00000019.jpg,1,person,113.53,13.7,151.54,131.71
person-18,00000020.jpg,1,person,113.93,12.89,151.67,131.84
person-18,00000021.jpg,1,person,109.74,13.24,148.62,132.07
person-18,00000022.jpg,1,person,110.13,12.3,148.74,131.3
person-18,00000023.jpg,1,person,106.47,11.87,144.76,131.39
person-18,00000024.jpg,1,person,105.22,11.21,143.31,131.0
person-18,00000025.jpg,1,person,102.0,10.83,140.98,131.23
person-18,00000026.jpg,1,person,102.76,10.75,141.19,131.75
person-18,00000027.jpg,1,person,98.75,10.62,138.15,131.58
person-18,00000028.jpg,1,person,98.93,9.77,138.3,131.2
person-18,00000029.jpg,1,person,94.99,9.18,135.21,131.82
person-18,00000030.jpg,1,person,94.73,7.46,134.01,131.31
person-18,00000031.jpg,1,person,92.1,8.69,131.88,130.76
person-18,00000032.jpg,1,person,93.01,8.66,131.83,131.2
person-18,00000033.jpg,1,person,90.04,7.8,130.24,131.04
person-18,00000034.jpg,1,person,90.04,9.14,128.65,131.56
person-18,00000035.jpg,1,person,87.27,7.08,128.16,130.76
person-18,00000036.jpg,1,person,87.41,7.3,127.07,130.67
person-18,00000037.jpg,1,person,85.5,7.81,125.5,130.93
person-18,00000038.jpg,1,person,86.32,7.02,127.46,130.56
person-18,00000039.jpg,1,person,84.11,6.2,126.29,130.1
person-18,00000040.jpg,1,person,83.91,6.98,123.57,129.74
person-18,00000041.jpg,1,person,82.12,8.1,121.78,131.07
person-18,00000042.jpg,1,person,82.72,7.47,121.91,130.21
person-18,00000043.jpg,1,person,81.17,7.53,121.46,130.31
person-18,00000044.jpg,1,person,81.43,7.76,121.02,130.47
person-18,00000045.jpg,1,person,79.78,6.43,120.01,129.48
person-18,00000046.jpg,1,person,80.89,8.07,120.31,130.25
person-18,00000047.jpg,1,person,79.18,6.62,119.31,130.05
person-18,00000048.jpg,1,person,80.24,6.9,119.99,130.16
person-18,00000049.jpg,1,person,78.73,6.22,119.35,129.76
person-18,00000050.jpg,1,person,78.88,6.77,119.27,130.06
person-18,00000051.jpg,1,person,79.77,7.15,120.09,129.29
person-18,00000052.jpg,1,person,79.5,6.65,120.54,129.13
person-18,00000053.jpg,1,person,80.38,5.97,120.34,128.5
person-18,00000054.jpg,1,person,80.86,6.73,121.0,128.62
person-18,00000055.jpg,1,person,81.16,4.95,121.17,128.09
person-18,00000056.jpg,1,person,80.79,5.33,121.25,127.78
person-18,00000057.jpg,1,person,81.49,3.64,121.43,127.01
person-18,00000058.jpg,1,person,81.95,3.66,121.97,126.97
person-18,00000059.jpg,1,person,83.5,2.74,122.9,126.3
person-18,00000060.jpg,1,person,83.77,2.85,123.29,126.2
person-18,00000061.jpg,1,person,85.24,1.63,124.23,125.26
person-18,00000062.jpg,1,person,84.89,1.8,124.67,125.9
person-18,00000063.jpg,1,person,87.23,1.2,125.02,124.06
person-18,00000064.jpg,1,person,87.42,0.62,124.98,123.41
person-18,00000065.jpg,1,person,88.22,0.47,125.28,122.82
person-18,00000066.jpg,1,person,88.79,1.2,126.14,123.81
person-18,00000067.jpg,1,person,89.22,0.51,126.29,122.29
person-18,00000068.jpg,1,person,89.18,0.8,125.84,123.16
person-18,00000069.jpg,1,person,89.56,0.76,126.43,122.75
person-18,00000070.jpg,1,person,89.49,0.21,126.56,122.04
person-18,00000071.jpg,1,person,90.09,0.69,126.96,122.18
person-18,00000072.jpg,1,person,90.27,0.2,126.8,122.22
person-18,00000073.jpg,1,person,89.13,1.09,126.44,122.25
person-18,00000074.jpg,1,person,89.39,0.5,127.07,121.56
person-18,00000075.jpg,1,person,89.83,0.73,127.18,122.84
person-18,00000076.jpg,1,person,88.96,0.34,126.31,122.21
person-18,00000077.jpg,1,person,88.76,0.39,127.29,124.01
person-18,00000078.jpg,1,person,88.07,0.49,126.65,123.36
person-18,00000079.jpg,1,person,88.33,1.66,128.52,126.04
person-18,00000080.jpg,1,person,88.37,1.8,127.74,125.33
person-18,00000081.jpg,1,person,86.34,3.09,126.55,128.27
person-18,00000082.jpg,1,person,87.44,3.44,127.21,127.0
person-18,00000083.jpg,1,person,85.86,5.14,127.66,129.49
person-18,00000084.jpg,1,person,86.32,6.01,127.84,128.97
person-18,00000085.jpg,1,person,85.97,9.49,129.8,133.26
person-18,00000086.jpg,1,person,85.91,8.38,129.33,132.68
person-18,00000087.jpg,1,person,84.88,11.79,130.01,134.54
person-18,00000088.jpg,1,person,85.3,11.79,130.14,134.28
person-18,00000089.jpg,1,person,84.71,13.88,127.82,137.55
person-18,00000090.jpg,1,person,84.45,13.62,128.35,137.59
person-18,00000091.jpg,1,person,84.56,16.43,127.21,140.55
person-18,00000092.jpg,1,person,85.09,15.56,128.49,140.25
person-18,00000093.jpg,1,person,85.52,18.84,128.45,144.44
person-18,00000094.jpg,1,person,85.23,18.07,128.01,142.38
person-18,00000095.jpg,1,person,86.52,23.43,129.6,146.71
person-18,00000096.jpg,1,person,86.65,23.01,129.35,146.18
person-18,00000097.jpg,1,person,87.07,25.24,130.83,148.98
person-18,00000098.jpg,1,person,87.57,24.82,131.08,148.42
person-18,00000099.jpg,1,person,88.82,27.09,132.4,150.84
person-18,00000100.jpg,1,person,88.77,27.14,132.36,150.45
person-18,00000101.jpg,1,person,90.33,30.2,134.56,152.8
person-18,00000102.jpg,1,person,89.91,29.95,133.65,152.42
person-18,00000103.jpg,1,person,89.0,28.0,144.0,159.0
person-18,00000104.jpg,1,person,87.69,27.43,144.5,155.31
person-18,00000105.jpg,1,person,88.69,28.8,144.98,156.77
person-18,00000106.jpg,1,person,88.82,28.91,145.68,156.47
person-18,00000107.jpg,1,person,89.82,30.22,145.53,158.35
person-18,00000108.jpg,1,person,89.74,30.3,146.19,157.55
person-18,00000109.jpg,1,person,90.96,31.12,146.03,158.93
person-18,00000110.jpg,1,person,90.81,30.85,146.1,157.9
person-18,00000111.jpg,1,person,91.43,31.95,146.57,159.66
person-18,00000112.jpg,1,person,90.86,32.42,146.33,159.64
person-18,00000113.jpg,1,person,91.52,31.78,145.43,158.69
