ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00093.jpeg.json,742.0,110.0,1010.0,509.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00094.jpeg.json,743.4119110107422,113.05531311035156,1019.2260284423828,505.65367126464844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00095.jpeg.json,745.2895660400391,114.906982421875,1027.3958587646484,499.9189453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00096.jpeg.json,747.5296630859375,115.94866943359375,1031.322265625,497.81329345703125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00097.jpeg.json,738.0,125.0,1042.0,509.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00098.jpeg.json,730.1063232421875,127.54080200195312,1046.34326171875,502.4403991699219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00099.jpeg.json,730.7831878662109,129.2790069580078,1049.7928619384766,518.7894744873047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00100.jpeg.json,719.4243774414062,129.70208740234375,1059.7732543945312,529.4353637695312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00101.jpeg.json,741.0,140.0,1075.0,589.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00102.jpeg.json,743.7667083740234,140.03648376464844,1072.169692993164,601.9941558837891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00103.jpeg.json,741.6664123535156,147.46607971191406,1080.2829284667969,612.1216888427734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00104.jpeg.json,748.2555389404297,153.86915588378906,1092.8678741455078,621.2786712646484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00105.jpeg.json,742.0,163.0,1116.0,631.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00106.jpeg.json,744.1574401855469,160.6724395751953,1116.3121643066406,631.5399627685547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00107.jpeg.json,740.4386901855469,169.8998260498047,1128.9044494628906,632.4517364501953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00108.jpeg.json,740.1533355712891,180.86968994140625,1142.8040618896484,634.8513793945312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00109.jpeg.json,783.0,184.0,1150.0,630.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00110.jpeg.json,783.3740539550781,187.6025390625,1146.5351257324219,636.9713134765625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00111.jpeg.json,788.75927734375,195.20936584472656,1147.3826904296875,668.1448822021484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00112.jpeg.json,786.113525390625,197.48060607910156,1148.2283935546875,682.6826019287109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00113.jpeg.json,781.0,205.0,1151.0,714.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00114.jpeg.json,776.5566253662109,207.97494506835938,1145.689712524414,708.8017883300781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_1__32-entrar-e-agachar/ann/00115.jpeg.json,778.5987091064453,213.38604736328125,1146.1754608154297,710.1613159179688
