ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00088.jpeg.json,966.0,375.0,1370.0,702.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00089.jpeg.json,973.3766937255859,368.077880859375,1349.418960571289,705.041748046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00090.jpeg.json,970.0230560302734,371.63145446777344,1349.4298248291016,704.3327789306641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00091.jpeg.json,963.9970245361328,372.89198303222656,1349.9507293701172,707.8657073974609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00092.jpeg.json,934.0,381.0,1366.0,696.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00093.jpeg.json,932.1053924560547,378.16737365722656,1350.2716827392578,700.3295745849609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00094.jpeg.json,894.9638977050781,383.7048645019531,1348.8101501464844,710.3073425292969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00095.jpeg.json,877.3673553466797,381.809326171875,1342.5567169189453,721.668701171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00096.jpeg.json,885.3952941894531,388.0755310058594,1328.2162780761719,730.9907531738281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00097.jpeg.json,859.0,391.0,1322.0,733.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00098.jpeg.json,875.9065399169922,385.5319061279297,1293.2993927001953,739.2276153564453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00099.jpeg.json,874.425048828125,391.8782196044922,1284.5614013671875,751.8426055908203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00100.jpeg.json,864.2642364501953,395.9522399902344,1281.1222381591797,760.2814025878906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00101.jpeg.json,861.0,396.0,1282.0,790.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00102.jpeg.json,862.7736206054688,402.47532653808594,1272.5023803710938,786.4333648681641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00103.jpeg.json,865.38818359375,420.36920166015625,1269.0401611328125,790.4613647460938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00104.jpeg.json,860.3079986572266,437.5124053955078,1269.0904388427734,795.3672332763672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00105.jpeg.json,859.0,459.0,1276.0,818.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00106.jpeg.json,857.3750915527344,466.034912109375,1273.6676330566406,811.1929931640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00107.jpeg.json,845.9977722167969,472.49481201171875,1271.5981750488281,811.0433959960938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00108.jpeg.json,826.5830383300781,482.2899169921875,1269.9662780761719,814.04150390625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00109.jpeg.json,813.0,490.0,1263.0,825.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00110.jpeg.json,789.9069976806641,493.5189971923828,1248.9346771240234,818.1147918701172
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00111.jpeg.json,761.0215759277344,500.92498779296875,1238.8421936035156,832.9679565429688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00112.jpeg.json,784.6096038818359,505.2227478027344,1222.815689086914,825.7677307128906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00113.jpeg.json,694.0,508.0,1212.0,858.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00114.jpeg.json,678.1930084228516,500.1465301513672,1185.4996185302734,854.4571075439453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00115.jpeg.json,681.3674163818359,495.3080139160156,1167.0548248291016,857.1604919433594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00116.jpeg.json,679.7976989746094,488.72869873046875,1152.6000061035156,861.5914916992188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00117.jpeg.json,679.0,475.0,1141.0,871.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00118.jpeg.json,670.9261932373047,472.6208038330078,1120.1643829345703,873.5168914794922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00119.jpeg.json,653.5779571533203,475.21270751953125,1103.8970184326172,887.7822875976562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00120.jpeg.json,621.891845703125,481.4176483154297,1093.64599609375,898.7893829345703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00121.jpeg.json,566.0,491.0,1067.0,914.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00122.jpeg.json,548.8907318115234,497.7041473388672,1050.563003540039,904.0930938720703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00123.jpeg.json,538.7221374511719,508.0262908935547,1026.2068176269531,909.6865997314453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00124.jpeg.json,536.9899597167969,510.9744415283203,994.8161926269531,905.1337127685547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00125.jpeg.json,547.0,518.0,978.0,912.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00126.jpeg.json,538.8356170654297,509.97589111328125,957.7101593017578,909.1979370117188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00127.jpeg.json,517.7761840820312,508.2003479003906,937.1041870117188,903.2557067871094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00128.jpeg.json,499.3197937011719,499.2119445800781,921.9452209472656,895.3565368652344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00129.jpeg.json,445.0,494.0,884.0,912.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00130.jpeg.json,403.5857391357422,483.66302490234375,862.2855987548828,900.2985229492188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00131.jpeg.json,395.3446807861328,464.2471923828125,829.6069793701172,892.526611328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00132.jpeg.json,392.818603515625,446.9819030761719,785.7020263671875,891.6974182128906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00133.jpeg.json,385.0,428.0,757.0,911.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00134.jpeg.json,359.7544250488281,416.2972869873047,740.0815124511719,901.9495391845703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00135.jpeg.json,345.29734802246094,405.20489501953125,719.9384918212891,889.5023803710938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00136.jpeg.json,323.61927795410156,396.3912353515625,690.3284759521484,883.371826171875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00137.jpeg.json,305.0,397.0,663.0,899.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00138.jpeg.json,285.9536437988281,393.8194580078125,637.0686950683594,890.890380859375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00139.jpeg.json,268.27464294433594,410.2036590576172,606.4072418212891,885.2997589111328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00140.jpeg.json,248.1815185546875,420.2759704589844,574.6895751953125,888.4442443847656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00141.jpeg.json,213.0,436.0,544.0,897.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00142.jpeg.json,188.37698364257812,438.285888671875,518.8750915527344,893.898681640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00143.jpeg.json,177.24830627441406,442.46514892578125,502.23460388183594,897.5126342773438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__10-andando-com-casaco-na-cadeira/ann/00144.jpeg.json,143.52752685546875,446.18324279785156,488.31561279296875,903.2623138427734
