ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00001.jpeg.json,978.6499176025391,698.1250991821289,1145.069076538086,952.3771591186523
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00002.jpeg.json,1005.0693588256836,654.0238876342773,1149.4087295532227,902.3344497680664
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00003.jpeg.json,979.2457733154297,690.4119033813477,1157.896743774414,938.3011703491211
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00004.jpeg.json,1012.0237121582031,689.3144226074219,1152.5039367675781,947.1537780761719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00005.jpeg.json,1010.6607360839844,683.2105941772461,1149.6157531738281,931.7721939086914
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00006.jpeg.json,1008.2637405395508,694.5337524414062,1155.7358322143555,931.6458129882812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00007.jpeg.json,998.8277816772461,666.162712097168,1161.4297256469727,901.0983352661133
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00008.jpeg.json,983.5395278930664,661.0695648193359,1158.2217025756836,936.8787384033203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00009.jpeg.json,964.3826522827148,691.839111328125,1150.9909439086914,954.9448852539062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00010.jpeg.json,1007.0642929077148,667.2467803955078,1153.1281509399414,914.1974334716797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00011.jpeg.json,1010.4567413330078,670.7944564819336,1162.5923309326172,906.6583633422852
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00012.jpeg.json,961.0037612915039,671.3890609741211,1158.6325912475586,924.0953140258789
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00013.jpeg.json,1007.0196838378906,667.9060440063477,1169.0393981933594,890.3393783569336
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00014.jpeg.json,956.4452056884766,657.4649200439453,1155.4904022216797,920.0624237060547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00015.jpeg.json,992.2109909057617,640.8572235107422,1171.8762893676758,898.4160308837891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00016.jpeg.json,990.8904418945312,578.8585968017578,1202.0991821289062,876.8489837646484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00017.jpeg.json,963.802619934082,656.7332992553711,1182.3450241088867,908.3216934204102
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00018.jpeg.json,984.2519149780273,654.3996429443359,1150.665382385254,924.8670196533203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00019.jpeg.json,1010.9274597167969,661.4190521240234,1154.1690368652344,903.2334747314453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00020.jpeg.json,994.4058990478516,683.7923431396484,1157.2358856201172,944.7025299072266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00021.jpeg.json,988.8914489746094,656.2077789306641,1150.7752990722656,910.3981170654297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00022.jpeg.json,1006.9275360107422,662.6997604370117,1152.7184600830078,897.111946105957
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00023.jpeg.json,1004.4686431884766,636.6374435424805,1156.8441619873047,884.2051467895508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00024.jpeg.json,988.3175506591797,629.5888214111328,1170.625015258789,916.9283294677734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00025.jpeg.json,996.0954895019531,635.2398986816406,1154.7503967285156,912.5956726074219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00026.jpeg.json,974.0131225585938,651.41357421875,1154.5432739257812,895.178955078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00027.jpeg.json,1016.1610946655273,669.984489440918,1178.6757583618164,918.8793411254883
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00028.jpeg.json,965.4823303222656,672.3430938720703,1160.3953552246094,940.9021453857422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00029.jpeg.json,991.3797836303711,631.6686096191406,1177.6839981079102,910.8853454589844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00030.jpeg.json,1012.1264114379883,683.4966125488281,1183.2812423706055,951.4046325683594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00031.jpeg.json,991.3679580688477,628.4713745117188,1181.5879745483398,889.2503051757812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00032.jpeg.json,1007.4965438842773,548.3566741943359,1224.1350479125977,868.1628570556641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00033.jpeg.json,982.1992797851562,598.8474426269531,1189.4463500976562,899.8074035644531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00034.jpeg.json,977.9686584472656,641.4271545410156,1153.7615661621094,909.8246154785156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00035.jpeg.json,984.3716201782227,699.6050033569336,1162.5384140014648,932.0669326782227
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00036.jpeg.json,1001.946891784668,705.1545257568359,1158.0889358520508,952.7382354736328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00037.jpeg.json,1003.9841384887695,682.71630859375,1152.9909591674805,903.5438232421875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00038.jpeg.json,1000.5666809082031,622.0004348754883,1146.7143859863281,876.7566452026367
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00039.jpeg.json,1002.9082870483398,641.4749603271484,1150.0289688110352,901.3521270751953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00040.jpeg.json,1012.680290222168,688.5203170776367,1169.5375442504883,932.4512405395508
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00041.jpeg.json,993.7664031982422,677.1980743408203,1157.8618927001953,925.1780242919922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00042.jpeg.json,995.2645721435547,644.3864135742188,1168.9252471923828,900.0188598632812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00043.jpeg.json,960.4467849731445,644.1092071533203,1170.9089279174805,914.2167205810547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00044.jpeg.json,968.4508666992188,651.6337890625,1183.8592529296875,917.2048950195312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00045.jpeg.json,1002.7070617675781,648.6384429931641,1202.5166320800781,945.6760711669922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00046.jpeg.json,989.9966812133789,578.8029174804688,1216.9522323608398,880.66796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00047.jpeg.json,954.3291702270508,652.2843170166016,1193.8124923706055,925.4993743896484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00048.jpeg.json,987.5101699829102,654.6883392333984,1215.3418807983398,936.5052642822266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00049.jpeg.json,969.1063461303711,617.8211822509766,1194.5322036743164,908.4279632568359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00050.jpeg.json,975.8524627685547,692.2994232177734,1194.0771026611328,951.6332550048828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00051.jpeg.json,978.8644866943359,648.1446380615234,1155.6971588134766,916.5979766845703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00052.jpeg.json,1004.9639511108398,670.7714080810547,1165.0995864868164,898.4315338134766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00053.jpeg.json,1009.8602447509766,692.1224365234375,1183.8334197998047,960.1541137695312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00054.jpeg.json,955.360221862793,706.0493392944336,1151.4724807739258,960.8469009399414
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00055.jpeg.json,1015.7489395141602,692.4975357055664,1158.1355819702148,922.6823959350586
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00056.jpeg.json,1013.9349670410156,681.8605728149414,1158.0380554199219,932.6877670288086
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__12-cair-no-escuro/ann/00057.jpeg.json,1006.7305526733398,654.9299545288086,1169.565773010254,898.7859878540039
