ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__16-abdominal-no-escuro/ann/00001.jpeg.json,975.8240203857422,342.8921203613281,1294.3234405517578,719.1635437011719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__16-abdominal-no-escuro/ann/00002.jpeg.json,961.7113647460938,346.32090759277344,1300.8076782226562,711.7758941650391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__16-abdominal-no-escuro/ann/00003.jpeg.json,973.7931823730469,350.29908752441406,1312.6352844238281,794.1219329833984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__16-abdominal-no-escuro/ann/00004.jpeg.json,983.1919097900391,355.2240753173828,1324.7859954833984,775.8008270263672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__16-abdominal-no-escuro/ann/00005.jpeg.json,962.0245819091797,350.70225524902344,1347.0076446533203,708.8125152587891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__16-abdominal-no-escuro/ann/00006.jpeg.json,985.2125701904297,358.96368408203125,1320.7642364501953,823.1691284179688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__16-abdominal-no-escuro/ann/00007.jpeg.json,963.0298614501953,354.8068084716797,1381.7787322998047,754.2525177001953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__16-abdominal-no-escuro/ann/00008.jpeg.json,965.3356475830078,363.3758544921875,1315.5502166748047,819.9154052734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__16-abdominal-no-escuro/ann/00009.jpeg.json,965.50830078125,347.72021484375,1311.6578369140625,759.7161865234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__16-abdominal-no-escuro/ann/00010.jpeg.json,976.6240081787109,367.0866394042969,1362.060806274414,768.4938049316406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__16-abdominal-no-escuro/ann/00011.jpeg.json,972.7089691162109,344.1689758300781,1319.1019439697266,807.1161804199219
