ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00110.jpeg.json,920.0,298.0,1330.0,716.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00111.jpeg.json,933.2967987060547,284.42970275878906,1316.7523956298828,728.1316986083984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00112.jpeg.json,930.6036071777344,282.65992736816406,1322.3244934082031,730.4905853271484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00113.jpeg.json,936.8787536621094,278.0431365966797,1312.3338928222656,735.7556915283203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00114.jpeg.json,913.0,294.0,1310.0,689.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00115.jpeg.json,915.2188110351562,289.1570129394531,1300.7000122070312,691.1619567871094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00116.jpeg.json,908.1679382324219,291.0955352783203,1300.6728820800781,694.4748992919922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00117.jpeg.json,900.4857025146484,291.5978546142578,1293.444595336914,695.2151336669922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00118.jpeg.json,868.0,289.0,1300.0,704.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00119.jpeg.json,883.1586761474609,275.3152160644531,1272.8209381103516,714.2314147949219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00120.jpeg.json,882.6263580322266,277.42369079589844,1260.336410522461,708.5919342041016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00121.jpeg.json,883.2543334960938,280.0115661621094,1251.6311645507812,703.8124084472656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00122.jpeg.json,865.0,272.0,1268.0,695.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00123.jpeg.json,877.7300415039062,259.45567321777344,1248.8888549804688,698.9450836181641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00124.jpeg.json,877.9889221191406,258.71778869628906,1244.2203063964844,695.7606048583984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__2-desmaiando/ann/00125.jpeg.json,876.1083831787109,259.97442626953125,1240.389907836914,688.7814331054688
