ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00086.jpeg.json,979.0,431.0,1450.0,744.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00087.jpeg.json,985.1104278564453,422.1535949707031,1437.3966522216797,755.9198913574219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00088.jpeg.json,987.9505462646484,413.2621307373047,1432.4864654541016,800.0750274658203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00089.jpeg.json,976.2150115966797,423.30079650878906,1432.3664093017578,823.4772796630859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00090.jpeg.json,981.0,411.0,1441.0,781.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00091.jpeg.json,1000.6700592041016,394.0530242919922,1414.6575775146484,785.1430206298828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00092.jpeg.json,991.1979064941406,396.1802978515625,1413.7239685058594,783.9906005859375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00093.jpeg.json,984.9118804931641,405.9406280517578,1417.550033569336,788.2460174560547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00094.jpeg.json,964.0,412.0,1432.0,787.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00095.jpeg.json,969.9290924072266,402.6475524902344,1416.6732025146484,790.0821838378906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00096.jpeg.json,958.8052978515625,409.60926818847656,1410.96337890625,789.7999114990234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00097.jpeg.json,940.4657135009766,415.40972900390625,1399.7010345458984,782.1001586914062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00098.jpeg.json,892.0,427.0,1409.0,780.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00099.jpeg.json,908.7017822265625,422.096923828125,1392.326416015625,782.117431640625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00100.jpeg.json,904.9413146972656,425.873779296875,1392.3393249511719,785.700439453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00101.jpeg.json,900.4789276123047,428.0933074951172,1390.0352325439453,796.8168487548828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00102.jpeg.json,882.0,433.0,1398.0,784.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00103.jpeg.json,892.130615234375,419.32313537597656,1375.6357421875,792.2161712646484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00104.jpeg.json,868.8463439941406,420.09034729003906,1367.4043884277344,790.1154632568359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00105.jpeg.json,849.0420379638672,416.6239013671875,1354.8532257080078,802.7509765625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00106.jpeg.json,776.0,409.0,1356.0,784.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00107.jpeg.json,791.7947998046875,390.8353271484375,1333.6973876953125,785.406982421875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00108.jpeg.json,786.2115783691406,383.4568176269531,1323.1807556152344,772.1380310058594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00109.jpeg.json,782.8024291992188,370.4872589111328,1304.3967895507812,784.7948455810547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00110.jpeg.json,760.0,359.0,1288.0,780.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00111.jpeg.json,782.4204711914062,324.34423828125,1259.6187133789062,796.33447265625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00112.jpeg.json,747.2357635498047,322.9294891357422,1249.5937042236328,791.1120147705078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00113.jpeg.json,719.4361877441406,325.6798095703125,1232.0809020996094,789.3902587890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00114.jpeg.json,704.0,315.0,1204.0,777.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00115.jpeg.json,705.8641204833984,311.21165466308594,1200.3626861572266,771.7066802978516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00116.jpeg.json,701.6454772949219,310.4224853515625,1206.8395080566406,769.6473388671875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00117.jpeg.json,709.7535858154297,311.9222717285156,1200.1585235595703,768.7345886230469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00118.jpeg.json,706.7439880371094,324.22021484375,1203.1341857910156,776.922119140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00119.jpeg.json,708.0,331.0,1192.0,778.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00120.jpeg.json,704.0011596679688,334.4353942871094,1200.5043334960938,766.4985656738281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00121.jpeg.json,703.8173828125,334.5342712402344,1198.837158203125,766.8609924316406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00122.jpeg.json,706.8656463623047,333.31732177734375,1195.9361114501953,768.1664428710938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00123.jpeg.json,698.7094116210938,336.0653381347656,1191.6643676757812,769.2602233886719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00124.jpeg.json,706.0,361.0,1169.0,781.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00125.jpeg.json,705.6450500488281,365.5611267089844,1168.3702087402344,771.7645568847656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00126.jpeg.json,702.3109893798828,371.1545715332031,1143.6998748779297,772.8849792480469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00127.jpeg.json,700.8617706298828,377.8939666748047,1127.4924774169922,778.3947296142578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00128.jpeg.json,704.0,415.0,1084.0,781.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00129.jpeg.json,691.3526000976562,441.29090881347656,1080.9104614257812,765.2060394287109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00130.jpeg.json,691.3322296142578,466.6127471923828,1062.4040985107422,767.6879119873047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__21-andar-agachado-no-escuro/ann/00131.jpeg.json,686.1350860595703,480.1268005371094,1053.6007537841797,771.8712463378906
