ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__25-queda-com-manequim/ann/00001.jpeg.json,1052.5431823730469,410.466796875,1339.8805236816406,651.5013427734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__25-queda-com-manequim/ann/00002.jpeg.json,1024.1893005371094,405.59228515625,1346.7859191894531,681.0849609375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__25-queda-com-manequim/ann/00003.jpeg.json,1035.9056701660156,425.133056640625,1380.9123229980469,750.8214111328125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__25-queda-com-manequim/ann/00004.jpeg.json,1020.1970520019531,401.85377502441406,1352.9894714355469,708.1375579833984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__25-queda-com-manequim/ann/00005.jpeg.json,1032.3824157714844,407.42283630371094,1386.5355529785156,782.9879302978516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__25-queda-com-manequim/ann/00006.jpeg.json,1048.7770538330078,408.34996032714844,1379.0303192138672,826.7745513916016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__25-queda-com-manequim/ann/00007.jpeg.json,1052.2663879394531,419.23939514160156,1367.4263610839844,817.5815277099609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__25-queda-com-manequim/ann/00008.jpeg.json,1040.4967803955078,423.4520721435547,1406.2186737060547,830.7625274658203
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__25-queda-com-manequim/ann/00009.jpeg.json,1029.3196105957031,441.616455078125,1393.8414001464844,846.3433837890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__25-queda-com-manequim/ann/00010.jpeg.json,1051.2466735839844,501.0411376953125,1491.1449279785156,887.886962890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__25-queda-com-manequim/ann/00011.jpeg.json,1024.6881256103516,417.3725128173828,1352.7635345458984,820.0372772216797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__25-queda-com-manequim/ann/00012.jpeg.json,1044.5284881591797,468.087646484375,1413.3632354736328,845.5078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__25-queda-com-manequim/ann/00013.jpeg.json,1028.5131225585938,402.6166534423828,1352.3300170898438,710.3636932373047
