ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00001.jpeg.json,990.8508758544922,424.4344024658203,1409.8278350830078,773.5090789794922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00002.jpeg.json,993.5634918212891,416.1830596923828,1432.1907806396484,755.3219451904297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00003.jpeg.json,1000.1226806640625,411.7747802734375,1430.4693603515625,795.200439453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00004.jpeg.json,1001.6813812255859,416.0895690917969,1418.959976196289,776.0786437988281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00005.jpeg.json,996.5332336425781,423.46038818359375,1419.4262390136719,778.5656127929688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00006.jpeg.json,993.6848297119141,418.4257507324219,1446.186508178711,743.1972961425781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00007.jpeg.json,1008.8446655273438,400.0583953857422,1449.9343872070312,813.8526153564453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00008.jpeg.json,998.9162750244141,415.0701446533203,1432.541976928711,765.9664764404297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00009.jpeg.json,1002.1286926269531,406.75794982910156,1440.4911804199219,781.5254974365234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00010.jpeg.json,1001.5129547119141,408.61865234375,1440.355697631836,783.600830078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00011.jpeg.json,994.3477478027344,417.0877227783203,1433.9924621582031,760.1254119873047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00012.jpeg.json,994.0877532958984,421.0729217529297,1431.851089477539,782.0331573486328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00013.jpeg.json,1000.8594207763672,409.89215087890625,1431.0786895751953,769.3735961914062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00014.jpeg.json,996.8156585693359,418.1966094970703,1425.3109283447266,779.7897186279297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00015.jpeg.json,999.7837829589844,417.53662109375,1429.9342346191406,771.2679443359375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00016.jpeg.json,1000.5316467285156,415.1430969238281,1440.0635681152344,780.4609069824219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00017.jpeg.json,1005.5852203369141,399.86500549316406,1440.607162475586,782.5583343505859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00018.jpeg.json,996.9228820800781,414.1975860595703,1422.6978454589844,763.7041473388672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00019.jpeg.json,994.1007232666016,420.3260040283203,1407.083236694336,780.3258514404297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00020.jpeg.json,997.596923828125,420.99603271484375,1416.56787109375,775.3910522460938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00021.jpeg.json,997.8097686767578,419.08795166015625,1426.6835174560547,781.1040649414062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00022.jpeg.json,1007.1904602050781,394.8301696777344,1444.7372741699219,786.9764709472656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00023.jpeg.json,992.0848388671875,413.4343566894531,1431.165771484375,758.8113708496094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00024.jpeg.json,1004.4220275878906,405.7610626220703,1426.3075866699219,800.5343475341797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00025.jpeg.json,1000.1199035644531,409.92762756347656,1433.0655212402344,774.5652923583984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00026.jpeg.json,999.2434539794922,410.22418212890625,1441.2439727783203,783.0103149414062
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00027.jpeg.json,997.2009735107422,411.45086669921875,1435.8632354736328,768.3068237304688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00028.jpeg.json,1000.5728302001953,415.56256103515625,1419.4613494873047,764.1257934570312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00029.jpeg.json,998.7082824707031,420.12913513183594,1404.8006286621094,808.8706207275391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00030.jpeg.json,1004.5706481933594,420.9875183105469,1410.9481506347656,796.3262023925781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00031.jpeg.json,1000.060791015625,423.90086364746094,1432.09716796875,780.6173248291016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00032.jpeg.json,1000.1852416992188,417.7728271484375,1414.9844360351562,800.2509765625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00033.jpeg.json,991.2585601806641,421.1464538574219,1428.406234741211,763.4748840332031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00034.jpeg.json,993.1442565917969,423.55845642089844,1417.5481262207031,805.8437652587891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00035.jpeg.json,994.6630554199219,421.93280029296875,1419.7284240722656,765.8085327148438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00036.jpeg.json,997.4873962402344,428.56715393066406,1399.6603088378906,789.8408050537109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00037.jpeg.json,995.8141479492188,425.7538146972656,1396.1203002929688,792.7256774902344
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00038.jpeg.json,1002.6668090820312,419.1842041015625,1399.9386596679688,796.3450927734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00039.jpeg.json,1002.8057861328125,421.62120056152344,1408.86865234375,791.7185211181641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00040.jpeg.json,996.1404113769531,419.02027893066406,1418.4495544433594,787.7861175537109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00041.jpeg.json,993.2791595458984,423.326416015625,1420.907485961914,770.3623046875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00042.jpeg.json,996.3162384033203,426.2554016113281,1391.3712615966797,781.3627624511719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00043.jpeg.json,994.1526336669922,427.04685974121094,1412.7959747314453,778.0560455322266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00044.jpeg.json,997.9840545654297,415.46031188964844,1403.5711212158203,799.1089019775391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00045.jpeg.json,992.1857604980469,414.6880645751953,1422.1855773925781,776.7086639404297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00046.jpeg.json,993.2506408691406,416.3172607421875,1418.7636413574219,770.1246337890625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00047.jpeg.json,994.1378631591797,423.20294189453125,1408.4261016845703,767.7277221679688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00048.jpeg.json,995.5904693603516,423.6870422363281,1417.8973236083984,780.4364929199219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00049.jpeg.json,997.2765197753906,427.0646667480469,1401.5986022949219,794.4764709472656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00050.jpeg.json,999.7587432861328,426.7920837402344,1391.5386199951172,795.0455627441406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00051.jpeg.json,997.0671539306641,430.4405975341797,1409.9112396240234,781.3722686767578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00052.jpeg.json,999.5166931152344,428.26637268066406,1400.5421447753906,790.9383392333984
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00053.jpeg.json,996.9406585693359,422.59930419921875,1415.437271118164,786.4679565429688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00054.jpeg.json,998.7275238037109,419.2487487792969,1428.8521881103516,780.8570861816406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00055.jpeg.json,1005.4506378173828,417.87672424316406,1435.6240692138672,780.9597015380859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00056.jpeg.json,1005.9912872314453,407.18202209472656,1443.7361297607422,781.7336273193359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00057.jpeg.json,1004.7006225585938,404.5060577392578,1442.0122680664062,778.9698944091797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00058.jpeg.json,997.5779571533203,421.2196350097656,1426.4596405029297,767.8494567871094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00059.jpeg.json,996.3790588378906,426.861572265625,1425.4269714355469,765.4818115234375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00060.jpeg.json,996.2831268310547,426.5011444091797,1391.2820587158203,794.2108917236328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00061.jpeg.json,1001.1451110839844,424.43414306640625,1404.4493713378906,784.6790161132812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00062.jpeg.json,997.2350311279297,420.7288513183594,1413.1924591064453,790.4171447753906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00063.jpeg.json,1000.8955535888672,410.4674987792969,1426.3067169189453,786.2978820800781
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00064.jpeg.json,998.9599151611328,413.50196838378906,1415.8483123779297,773.4918060302734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00065.jpeg.json,996.7371215820312,423.6963806152344,1403.8676147460938,762.0229797363281
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00066.jpeg.json,1000.7516632080078,418.5208282470703,1401.6249237060547,786.6449432373047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00067.jpeg.json,993.7457122802734,429.3009948730469,1417.1978912353516,769.0953674316406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00068.jpeg.json,995.0992431640625,421.66514587402344,1395.7017822265625,802.9354400634766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00069.jpeg.json,994.7736968994141,418.1246643066406,1414.648422241211,765.4963073730469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00070.jpeg.json,994.8558959960938,421.05023193359375,1405.4462280273438,768.7774047851562
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00071.jpeg.json,1001.8341827392578,419.7117156982422,1387.2449188232422,808.7616729736328
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00072.jpeg.json,1001.2189788818359,422.05859375,1408.471206665039,794.4210205078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00073.jpeg.json,994.6085815429688,424.9021759033203,1420.0657348632812,770.4921112060547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00074.jpeg.json,995.2127990722656,427.3689880371094,1402.0927429199219,793.6653137207031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00075.jpeg.json,995.1998596191406,430.2025146484375,1400.8959655761719,786.801025390625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__29-abdominal/ann/00076.jpeg.json,1003.4946746826172,413.65626525878906,1427.6198272705078,773.9161224365234
