ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00099.jpeg.json,967.0,443.0,1425.0,725.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00100.jpeg.json,973.0527038574219,429.49388122558594,1412.4956359863281,730.7801666259766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00101.jpeg.json,974.9925384521484,424.08802795410156,1412.2801666259766,722.5938568115234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00102.jpeg.json,974.6714172363281,415.16441345214844,1408.5926208496094,733.9716949462891
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00103.jpeg.json,963.0,408.0,1412.0,761.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00104.jpeg.json,978.8997802734375,392.5771789550781,1389.78369140625,772.5462341308594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00105.jpeg.json,974.0019989013672,394.5226287841797,1388.0556182861328,764.4877471923828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00106.jpeg.json,967.2778930664062,389.32171630859375,1380.7359008789062,768.2704467773438
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00107.jpeg.json,934.0,394.0,1398.0,777.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00108.jpeg.json,911.9650573730469,393.51036071777344,1389.1844787597656,774.7787017822266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00109.jpeg.json,899.5371551513672,391.01512145996094,1380.2152862548828,773.3580474853516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00110.jpeg.json,879.9449005126953,398.7351989746094,1380.7441864013672,773.7911682128906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00111.jpeg.json,869.0,408.0,1379.0,769.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00112.jpeg.json,879.4619293212891,402.73316955566406,1373.4456634521484,772.8587493896484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00113.jpeg.json,876.0806427001953,405.9941101074219,1369.4418182373047,775.0838928222656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00114.jpeg.json,875.3569030761719,405.79991149902344,1365.6944885253906,775.1761627197266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00115.jpeg.json,867.0,424.0,1360.0,771.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00116.jpeg.json,877.0641784667969,410.56166076660156,1348.9273986816406,774.2913665771484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00117.jpeg.json,853.1788024902344,404.7550506591797,1345.8176574707031,763.7386016845703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00118.jpeg.json,808.8724060058594,402.0263671875,1340.4701232910156,754.657958984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00119.jpeg.json,801.0,405.0,1317.0,767.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00120.jpeg.json,790.4873352050781,400.3748321533203,1324.5856628417969,755.4109344482422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00121.jpeg.json,787.9195251464844,386.4599914550781,1317.0311584472656,750.4926452636719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00122.jpeg.json,783.6117858886719,379.60137939453125,1311.6555480957031,751.7614135742188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00123.jpeg.json,775.0,359.0,1279.0,767.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00124.jpeg.json,782.2293090820312,357.09320068359375,1272.4074096679688,768.5075073242188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00125.jpeg.json,777.9614105224609,357.7163543701172,1267.740249633789,757.2917022705078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00126.jpeg.json,767.0613708496094,350.8175354003906,1253.7019348144531,750.7707214355469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00127.jpeg.json,748.0,338.0,1248.0,739.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00128.jpeg.json,744.5646820068359,339.11224365234375,1232.735855102539,725.1090698242188
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00129.jpeg.json,740.0474853515625,340.7116394042969,1212.672119140625,715.4081115722656
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00130.jpeg.json,732.6400451660156,347.2876892089844,1213.2500915527344,709.4255676269531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00131.jpeg.json,728.0,318.0,1203.0,717.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00132.jpeg.json,726.6053314208984,324.166259765625,1192.455825805664,707.7152099609375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00133.jpeg.json,725.0242309570312,325.49017333984375,1186.4483032226562,705.7356567382812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00134.jpeg.json,718.7641754150391,332.5688934326172,1185.8096771240234,706.0117950439453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00135.jpeg.json,719.0,311.0,1187.0,714.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00136.jpeg.json,715.2619781494141,311.2966613769531,1179.655990600586,706.2109069824219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00137.jpeg.json,711.9643402099609,312.67559814453125,1175.914077758789,702.9320678710938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00138.jpeg.json,714.3661193847656,313.67787170410156,1171.6657409667969,704.3713226318359
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00139.jpeg.json,712.8225555419922,316.43309020996094,1169.1710968017578,703.6186676025391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00140.jpeg.json,720.0,311.0,1181.0,709.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00141.jpeg.json,719.0709991455078,310.3454895019531,1176.0207977294922,701.4583435058594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00142.jpeg.json,721.3904876708984,312.4765319824219,1172.623550415039,700.1803283691406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00143.jpeg.json,722.1683654785156,312.1321105957031,1166.5778503417969,703.8842468261719
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00144.jpeg.json,721.8006134033203,314.68064880371094,1151.1362762451172,708.6178131103516
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00145.jpeg.json,729.0,291.0,1114.0,711.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00146.jpeg.json,719.8831176757812,304.38629150390625,1101.7255249023438,701.4503784179688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00147.jpeg.json,714.2257995605469,323.7463684082031,1075.8867492675781,703.3094177246094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00148.jpeg.json,699.2683563232422,331.3124542236328,1041.7348175048828,706.1555633544922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00149.jpeg.json,703.0,350.0,1011.0,714.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00150.jpeg.json,709.0157470703125,355.04920959472656,994.4520263671875,715.6142425537109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00151.jpeg.json,713.3411865234375,369.7462158203125,982.5264892578125,716.9635009765625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00152.jpeg.json,705.054931640625,383.4156036376953,975.6317138671875,715.5310516357422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00153.jpeg.json,711.2483825683594,391.6079559326172,965.4397277832031,717.8341827392578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00154.jpeg.json,712.5666351318359,398.15150451660156,964.9155426025391,715.1002044677734
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00155.jpeg.json,710.7928924560547,406.73036193847656,961.1028594970703,716.4326019287109
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00156.jpeg.json,696.8388214111328,413.80870056152344,960.3219451904297,718.6277008056641
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00157.jpeg.json,691.7236175537109,395.0575714111328,966.7353668212891,714.8060760498047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00158.jpeg.json,719.9768218994141,372.45262145996094,983.9007415771484,714.0753326416016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00159.jpeg.json,720.0031433105469,356.6294860839844,995.1781311035156,711.0284729003906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00160.jpeg.json,725.2218170166016,345.11817932128906,1023.9388275146484,710.4936370849609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00161.jpeg.json,726.0,331.0,1048.0,715.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00162.jpeg.json,735.8298645019531,322.04161071777344,1069.6241149902344,709.9434967041016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00163.jpeg.json,738.9195556640625,319.6031799316406,1101.892822265625,711.2931823730469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00164.jpeg.json,736.1873321533203,318.8110656738281,1123.0112762451172,709.6255798339844
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00165.jpeg.json,741.8128814697266,329.68756103515625,1141.4500579833984,715.1876831054688
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00166.jpeg.json,738.5303192138672,315.3961944580078,1150.5358428955078,710.6140594482422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00167.jpeg.json,723.0,302.0,1187.0,717.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00168.jpeg.json,730.4448547363281,308.9866027832031,1180.4527282714844,710.8332214355469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00169.jpeg.json,734.5582733154297,315.6576232910156,1181.7899932861328,711.2121276855469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00170.jpeg.json,735.1588439941406,323.4839172363281,1184.7360534667969,716.1531677246094
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00171.jpeg.json,730.8606719970703,328.0264434814453,1190.1221160888672,715.2302703857422
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00172.jpeg.json,732.7634735107422,327.3373718261719,1190.7274932861328,719.6407775878906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00173.jpeg.json,732.2442626953125,326.52618408203125,1190.5352783203125,716.8025512695312
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00174.jpeg.json,723.0,336.0,1210.0,719.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00175.jpeg.json,731.5157318115234,334.7724914550781,1197.2362213134766,717.0549011230469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00176.jpeg.json,729.6140594482422,338.86805725097656,1194.1864776611328,717.1155853271484
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00177.jpeg.json,730.2097015380859,340.4931335449219,1196.868179321289,716.4085998535156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00178.jpeg.json,732.3314819335938,341.8910369873047,1192.3690795898438,717.5006866455078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00179.jpeg.json,735.8221588134766,340.1781311035156,1192.274887084961,717.7253112792969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00180.jpeg.json,732.2330017089844,342.71156311035156,1192.8501281738281,718.4858245849609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00181.jpeg.json,732.7992248535156,340.4984436035156,1189.8964538574219,718.7985534667969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00182.jpeg.json,731.5464782714844,338.6982879638672,1192.7286682128906,716.4018096923828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00183.jpeg.json,731.9961090087891,338.9967041015625,1193.0457611083984,716.7103271484375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00184.jpeg.json,733.4486846923828,341.6260986328125,1195.0175018310547,715.3555908203125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00185.jpeg.json,733.0721435546875,344.3004455566406,1195.8707275390625,717.6344909667969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00186.jpeg.json,731.0973968505859,349.9491882324219,1194.771255493164,717.5827941894531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00187.jpeg.json,735.3537139892578,345.65684509277344,1190.2534637451172,719.6883697509766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00188.jpeg.json,733.8123321533203,346.6549530029297,1193.7112274169922,719.0325469970703
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00189.jpeg.json,734.1918182373047,345.3567810058594,1193.8744659423828,718.3053283691406
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00190.jpeg.json,734.7118988037109,346.2277374267578,1194.5582427978516,719.1750946044922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00191.jpeg.json,722.0,349.0,1201.0,717.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00192.jpeg.json,728.3999176025391,352.4685363769531,1189.5264739990234,712.0351257324219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00193.jpeg.json,732.6324462890625,354.11083984375,1184.1468505859375,712.428466796875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00194.jpeg.json,728.4476928710938,349.97259521484375,1183.4161987304688,710.2962036132812
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00195.jpeg.json,731.8163757324219,343.8066711425781,1186.1181945800781,711.0954284667969
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00196.jpeg.json,732.5413360595703,345.52003479003906,1187.6323699951172,711.9196624755859
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00197.jpeg.json,730.4250640869141,344.18701171875,1185.374008178711,712.453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00198.jpeg.json,732.5195922851562,350.9097900390625,1186.5816040039062,712.0098876953125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00199.jpeg.json,729.8551177978516,351.2886047363281,1189.8624114990234,711.3866882324219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00200.jpeg.json,732.5502471923828,347.2138366699219,1189.3352508544922,714.2950744628906
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00201.jpeg.json,732.7229614257812,350.3390350341797,1194.3259887695312,713.3949737548828
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00202.jpeg.json,722.5661468505859,351.43408203125,1193.2975006103516,713.224609375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00203.jpeg.json,720.9731903076172,351.5667419433594,1197.1073760986328,712.9660949707031
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__30-flexao-com-pesos/ann/00204.jpeg.json,722.2322845458984,342.19288635253906,1192.356704711914,714.6373138427734
