ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00086.jpeg.json,956.0,309.0,1320.0,661.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00087.jpeg.json,942.4532318115234,315.6824951171875,1323.764907836914,648.984375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00088.jpeg.json,940.4771728515625,312.1810302734375,1318.2872314453125,651.4310302734375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00089.jpeg.json,934.9110565185547,313.4763488769531,1313.3179473876953,658.4833679199219
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00090.jpeg.json,917.0,316.0,1307.0,677.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00091.jpeg.json,913.7239685058594,317.6289367675781,1302.0909729003906,673.5851745605469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00092.jpeg.json,919.5337982177734,320.73426818847656,1296.005386352539,672.5528411865234
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00093.jpeg.json,926.5177459716797,323.22308349609375,1292.6546173095703,678.1078491210938
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00094.jpeg.json,900.0,343.0,1307.0,693.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00095.jpeg.json,922.7302703857422,321.4272003173828,1283.1265411376953,705.8595428466797
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00096.jpeg.json,912.7700805664062,326.6104278564453,1287.1395874023438,694.3340301513672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00097.jpeg.json,896.0930023193359,326.7758331298828,1286.060073852539,687.7767791748047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00098.jpeg.json,864.0,350.0,1297.0,689.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00099.jpeg.json,886.1055297851562,322.7447204589844,1265.6091918945312,709.3093566894531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00100.jpeg.json,874.4483642578125,324.2762756347656,1263.95068359375,702.3507995605469
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__5-sentando-no-chao/ann/00101.jpeg.json,874.4677124023438,314.1200256347656,1237.2232055664062,712.3715515136719
