ann_path,x_min,y_min,x_max,y_max
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00107.jpeg.json,1001.0,358.0,1297.0,653.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00108.jpeg.json,989.5399475097656,365.40086364746094,1297.3073425292969,648.4436187744141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00109.jpeg.json,991.5106353759766,361.4208526611328,1292.9107513427734,651.8453826904297
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00110.jpeg.json,986.6358642578125,364.63523864746094,1290.909912109375,650.6778717041016
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00111.jpeg.json,1005.0,374.0,1266.0,703.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00112.jpeg.json,987.0838775634766,388.50962829589844,1280.192367553711,684.0570220947266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00113.jpeg.json,990.2503051757812,384.6461639404297,1276.2516479492188,690.1706085205078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00114.jpeg.json,993.3101501464844,385.5765838623047,1276.1319885253906,695.5412139892578
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00115.jpeg.json,997.3329467773438,389.6013946533203,1276.8931274414062,698.7873992919922
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00116.jpeg.json,997.9009857177734,392.5308074951172,1280.879653930664,696.2354278564453
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00117.jpeg.json,1011.0,390.0,1310.0,690.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00118.jpeg.json,1014.3426361083984,384.25364685058594,1304.6312408447266,694.2612457275391
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00119.jpeg.json,1009.9964752197266,388.5896759033203,1306.6492767333984,691.2543182373047
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00120.jpeg.json,1006.4502258300781,388.541259765625,1306.6694030761719,688.189453125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00121.jpeg.json,992.776123046875,388.9651794433594,1305.2987060546875,686.9499816894531
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00122.jpeg.json,986.1170806884766,388.27476501464844,1301.6861419677734,692.9491119384766
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00123.jpeg.json,954.0,383.0,1310.0,692.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00124.jpeg.json,962.1016235351562,375.55335998535156,1296.7586059570312,697.3090667724609
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00125.jpeg.json,960.9518127441406,374.79307556152344,1292.2641296386719,697.4729156494141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00126.jpeg.json,963.4544525146484,373.41796875,1286.839126586914,696.968994140625
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00127.jpeg.json,965.4520111083984,370.2718505859375,1280.877212524414,699.10205078125
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00128.jpeg.json,961.3344268798828,368.6824493408203,1281.1077117919922,704.7137908935547
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00129.jpeg.json,960.0,369.0,1275.0,692.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00130.jpeg.json,968.0782928466797,364.565185546875,1266.0142364501953,696.3045654296875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00131.jpeg.json,966.1159820556641,365.79429626464844,1264.9009857177734,697.7083892822266
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00132.jpeg.json,964.2505493164062,368.1664123535156,1263.0933227539062,699.8851013183594
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00133.jpeg.json,961.7630767822266,375.09141540527344,1261.2850189208984,696.9611968994141
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00134.jpeg.json,961.9391021728516,377.6118621826172,1257.353988647461,699.4127960205078
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00135.jpeg.json,950.0,378.0,1267.0,708.0
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00136.jpeg.json,953.7992401123047,380.4348907470703,1262.6382598876953,705.1855926513672
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00137.jpeg.json,957.8171234130859,387.0834655761719,1264.1146392822266,707.3314514160156
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00138.jpeg.json,959.0121612548828,388.4856414794922,1268.0452117919922,706.8443145751953
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00139.jpeg.json,956.4430694580078,389.019775390625,1270.1605682373047,706.7572021484375
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00140.jpeg.json,956.5517272949219,391.7763671875,1275.4377746582031,708.55419921875
/run/media/eduardo/SSD/Unifall/dataset/T-set/projects/Tset_images/cam_2__6-andando-com-bengala/ann/00141.jpeg.json,938.0,393.0,1284.0,706.0
